Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.02485	0.02485	T	T
A1CF	ENST00000373995	0.02485	0.02485	T	T
A1CF	ENST00000374001	0.02485	0.02485	T	T
A1CF	ENST00000395489	0.02485	0.02485	T	T
A1CF	ENST00000395495	0.02485	0.02485	T	T
A1CF	ENST00000414883	0.02485	0.02485	T	T
A1CF	ENST00000282641	0.02546	0.02546	F	T
A1CF	ENST00000373995	0.02546	0.02546	F	T
A1CF	ENST00000374001	0.02546	0.02546	F	T
A1CF	ENST00000395489	0.02546	0.02546	F	T
A1CF	ENST00000395495	0.02546	0.02546	F	T
A1CF	ENST00000414883	0.02546	0.02546	F	T
A2M	ENST00000318602	0.0989	0.0989	T	T
A2M	ENST00000318602	0.09918	0.09918	F	T
A2M	ENST00000318602	0.103	0.103	F	T
A4GALT	ENST00000249005	0.0008296	0.0008296	T	T
A4GALT	ENST00000249005	0.009108	0.009108	F	T
A4GALT	ENST00000401850	0.03076	0.03076	F	T
A4GALT	ENST00000642412	0.03232	0.03232	T	T
A4GALT	ENST00000642412	0.08105	0.08105	F	T
A4GALT	ENST00000642412	0.08161	0.08161	F	T
AACS	ENST00000316519	0.02977	0.02977	T	T
AACS	ENST00000316519	0.05672	0.05672	F	T
AADACL4	ENST00000376221	0.0675	0.0675	T	T
AADAT	ENST00000502392	0.7008	0.7008	F	T
AADAT	ENST00000502392	0.7011	0.7011	F	T
AADAT	ENST00000502392	0.8843	0.8843	F	T
AADAT	ENST00000502392	0.8995	0.8995	F	T
AAK1	ENST00000606389	0.04958	0.04958	T	T
AAK1	ENST00000623317	0.04958	0.04958	T	T
AAMDC	ENST00000525034	0.01927	0.01927	T	T
AASDHPPT	ENST00000278618	0.2409	0.2409	T	T
AASS	ENST00000393376	0.1111	0.1111	T	T
AATF	ENST00000610798	0.01392	0.01392	T	T
AATF	ENST00000610798	0.01423	0.01423	F	T
ABAT	ENST00000567812	0.004147	0.004147	T	T
ABCA2	ENST00000614293	0.000282	0.000282	T	T
ABCA2	ENST00000614293	0.002191	0.002191	F	T
ABCA3	ENST00000567910	0.0233	0.0233	T	T
ABCA4	ENST00000649773	0.03821	0.03821	T	T
ABCA4	ENST00000370225	0.05218	0.05218	F	T
ABCA8	ENST00000585531	0.08341	0.08341	T	T
ABCA9	ENST00000495634	0.06249	0.06249	T	T
ABCA9	ENST00000495634	0.06352	0.06352	F	T
ABCB5	ENST00000258738	0.083	0.083	T	T
ABCC1	ENST00000572882	0.1107	0.1107	T	T
ABCC12	ENST00000311303	0.1836	0.1836	T	T
ABCC12	ENST00000311303	0.184	0.184	F	T
ABCC2	ENST00000647814	0.03287	0.03287	T	T
ABCC2	ENST00000648689	0.03287	0.03287	T	T
ABCD3	ENST00000370214	0.1471	0.1471	T	T
ABCF3	ENST00000292808	0.03589	0.03589	T	T
ABCG8	ENST00000272286	0.004356	0.004356	T	T
ABHD12	ENST00000471287	0.003813	0.003813	T	T
ABHD13	ENST00000375898	0.01739	0.01739	T	T
ABHD16A	ENST00000440843	0.0009319	0.0009319	T	T
ABHD17A	ENST00000250974	0.001504	0.001504	T	T
ABHD17A	ENST00000590661	0.01074	0.01074	F	T
ABHD17B	ENST00000333421	0.0253	0.0253	T	T
ABHD2	ENST00000352732	0.002429	0.002429	T	T
ABHD2	ENST00000352732	0.02921	0.02921	F	T
ABHD2	ENST00000352732	0.1186	0.1186	F	T
ABHD5	ENST00000463153	0.02971	0.02971	T	T
ABI2	ENST00000451591	0.03403	0.03403	T	T
ABI3BP	ENST00000495063	0.005199	0.005199	T	T
ABI3BP	ENST00000284322	0.0514	0.0514	F	T
ABI3BP	ENST00000471714	0.0514	0.0514	F	T
ABLIM1	ENST00000651092	0.001348	0.001348	T	T
ABLIM1	ENST00000651092	0.001651	0.001651	F	T
ABLIM1	ENST00000651092	0.001994	0.001994	F	T
