Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
ABCB8	ENST00000491920	0.00662	0.00662	T	T
ABCF1	ENST00000326195	0.02705	0.02705	T	T
ABCF1	ENST00000468958	0.02705	0.02705	T	T
ACADS	ENST00000411593	0.008214	0.008214	T	T
ACSL1	ENST00000515030	0.001369	0.001369	T	T
ADAMTS18	ENST00000282849	0.06759	0.06759	T	T
ADAMTS5	ENST00000284987	0.2802	0.2802	T	T
ADAMTS6	ENST00000381055	0.5205	0.5205	T	T
ADAMTSL4	ENST00000369038	0.000992	0.000992	T	T
ADARB2	ENST00000381312	0.1562	0.1562	T	T
ADGRB1	ENST00000517894	0.01286	0.01286	T	T
ADGRB1	ENST00000643448	0.01286	0.01286	T	T
ADGRE3	ENST00000443157	0.0913	0.0913	T	T
ADGRL1	ENST00000361434	0.01053	0.01053	T	T
ADGRV1	ENST00000640403	0.07139	0.07139	T	T
ADGRV1	ENST00000640403	0.07718	0.07718	F	T
ADORA2B	ENST00000304222	0.08392	0.08392	T	T
AFG3L2	ENST00000269143	0.0008503	0.0008503	T	T
AGPAT4	ENST00000320285	0.2774	0.2774	T	T
AIFM2	ENST00000373248	0.0637	0.0637	T	T
AKAP12	ENST00000402676	0.1052	0.1052	T	T
AKAP13	ENST00000559362	0.1779	0.1779	T	T
ALG2	ENST00000319033	0.01733	0.01733	T	T
ANAPC1	ENST00000628342	0.005084	0.005084	T	T
ANKRD29	ENST00000592179	0.01513	0.01513	T	T
ANKRD36B	ENST00000497329	0.05884	0.05884	T	T
AP1S3	ENST00000446015	0.2235	0.2235	T	T
APOBEC3H	ENST00000348946	0.0007035	0.0007035	T	T
APOBEC3H	ENST00000421988	0.0007035	0.0007035	T	T
APOBEC3H	ENST00000613677	0.0007035	0.0007035	T	T
ARF4	ENST00000496292	0.02916	0.02916	T	T
ARHGAP23	ENST00000614693	0.0006226	0.0006226	T	T
ARHGAP23	ENST00000614693	0.007345	0.007345	F	T
ARHGEF28	ENST00000512883	0.1012	0.1012	T	T
ARHGEF33	ENST00000433605	0.03568	0.03568	T	T
ARIH1	ENST00000564062	0.09786	0.09786	T	T
ARL6IP1	ENST00000562234	0.02278	0.02278	T	T
ASAP2	ENST00000315273	0.1251	0.1251	T	T
ASPH	ENST00000519264	0.1464	0.1464	T	T
ATP6V1H	ENST00000520188	0.4253	0.4253	T	T
AUTS2	ENST00000664521	0.3826	0.3826	T	T
B3GLCT	ENST00000343307	0.01631	0.01631	T	T
B4GALT1	ENST00000379731	0.0008044	0.0008044	T	T
B4GALT1	ENST00000535206	0.0008044	0.0008044	T	T
BAMBI	ENST00000375533	0.5764	0.5764	T	T
BCL2L11	ENST00000438054	0.4212	0.4212	T	T
