,logFC,logCPM,F,PValue,FDR
DIO3,-7.31904602227366,5.41292399905066,689.272424785319,8.27874278093493e-19,1.0701102918636501e-14
MLLT11,-2.05436086270307,7.05307688850944,435.863251221886,1.3953096936067002e-16,6.01192436652005e-13
TNFRSF11B,-5.8269865325896,4.46231440942631,403.263040465347,3.2961041070025597e-16,1.06513604217788e-12
BMP2,-5.98058750067205,7.01207705426587,377.222388335576,6.87653433859568e-16,1.58587828834455e-12
TRDN,-5.825483800848,6.30704412060959,370.3664198014,8.41235983573605e-16,1.58587828834455e-12
HSPG2,-2.81969273900728,8.22698266384051,365.200880768927,9.81512169793934e-16,1.58587828834455e-12
FAM20A,-7.94073062071199,7.21316698565812,358.904202313005,1.1878411600877e-15,1.70600387058817e-12
SLC2A3,-2.87630187775934,11.1879258335967,347.877963637973,1.6719135560979101e-15,2.16111546261216e-12
GPR37,-4.08183619460934,6.15637700425504,333.136433393569,2.68382324690228e-15,3.1537362990417098e-12
KIFC3,-3.8745298886214,5.31095428894653,328.91933506652,3.0840591511973102e-15,3.17212339411145e-12
IL6ST,-2.89294403380338,5.78515702061318,326.502888358117,3.3422758384369702e-15,3.17212339411145e-12
TAGLN2,-3.33779846493224,8.93800797841992,325.678278434877,3.43568988995515e-15,3.17212339411145e-12
VWDE,3.89403211356723,4.14759525259292,322.791870109096,3.78567561576581e-15,3.18475671328544e-12
KRT8,-3.2402156445001,10.9579729524224,321.016767743939,4.0200162715761804e-15,3.18475671328544e-12
NQO1,-2.16370380567624,7.14022767679297,316.771865087822,4.6468214339338e-15,3.18475671328544e-12
PERP,-2.92555774453342,8.21747709849937,314.277572298368,5.06408469787571e-15,3.18475671328544e-12
TSKU,-3.01883280258666,7.59711591687416,314.245272337496,5.06974802310216e-15,3.18475671328544e-12
MYL7,-7.98061661899203,7.53119114904203,312.996738516348,5.29401936602852e-15,3.18475671328544e-12
NODAL,-6.54462929876169,7.89415324993255,311.043259923664,5.666826891966971e-15,3.18475671328544e-12
DACT2,-5.62096116385527,6.28708469111309,296.624572482816,9.484058877025852e-15,5.10795604351817e-12
ABR,-2.00366182619247,6.92812217710255,294.917531096153,1.00957793566753e-14,5.219921758575399e-12
HAS2,-6.28115381581,8.52254580924192,292.535599997697,1.10220614981789e-14,5.47966026636388e-12
MYADM,-2.82431794742839,8.53683713915156,289.967768146004,1.2125109087047e-14,5.62461248085172e-12
AGPAT3,-4.34532590648123,5.47637289451147,289.838095621853,1.21839044920198e-14,5.62461248085172e-12
BCAR3,-2.69648681701608,5.26849292857205,285.182537444741,1.45142792174268e-14,6.4693645918778696e-12
KCNK12,-6.91732350852933,6.830152188106,278.85274389263,1.84929563675898e-14,7.45081407483493e-12
COL5A2,-5.02290167245175,9.90539687377813,277.948322264939,1.9152238940778202e-14,7.45081407483493e-12
SERINC3,-2.52279728494392,7.91968742870061,276.783737860803,2.0039025002957e-14,7.45081407483493e-12
VWF,-8.70544820283604,7.41835340208053,276.505319624512,2.02575701441342e-14,7.45081407483493e-12
CLMP,-3.62167030841308,6.94136683194007,276.400851676169,2.03402391462204e-14,7.45081407483493e-12
MCF2L2,-4.86069493666323,6.10478158756774,275.451403415063,2.1108588415391e-14,7.45081407483493e-12
EXT1,-2.21963414120725,5.95776882980057,275.187673800757,2.1327566205236902e-14,7.45081407483493e-12
MYL6,-2.10945606332461,10.2630614339959,273.384692557572,2.2892329854251e-14,7.62338014871207e-12
LRRC3B,7.95559662620944,0.798038236527001,273.264408427329,2.30010696116177e-14,7.62338014871207e-12
ADAM19,-4.36954033103148,8.83373194100682,267.237903494877,2.9237990486998e-14,9.21781134231551e-12
NFKBIA,-3.92451615638878,7.9860409608909,261.387917762686,3.70843844632421e-14,1.10065725386344e-11
CAMKMT,-4.60126828719443,7.38155010945409,258.287665611893,4.21475797995643e-14,1.2106658144203699e-11
TRABD2A,3.73045983382833,3.17908681833051,253.218763672822,5.2117705094787e-14,1.3943782138134199e-11
VAMP8,-2.81613999585655,6.61242904781652,252.885215288044,5.28582179149448e-14,1.3943782138134199e-11
PPP1R15A,-2.01386196161337,6.65679024001525,248.831738293373,6.283096999896851e-14,1.6243062364133297e-11
NTN1,-6.27021907769598,7.05381859261911,246.33308277509,6.99849307592636e-14,1.72903234273267e-11
PMEPA1,-2.93990599699644,6.21889190488932,245.917824213123,7.12573517629994e-14,1.72903234273267e-11
FBXO34,-3.00388581648325,6.80459281404781,245.299092295771,7.32000848858445e-14,1.72903234273267e-11
ITLN2,-3.95710879790918,4.47060680634837,245.183254296874,7.35701522901879e-14,1.72903234273267e-11
SMAP2,-2.46755201019277,3.81173024314377,240.001911442535,9.23942077607698e-14,2.0284335542778898e-11
DMTN,-4.72505509014519,3.55384667894213,239.584599854864,9.41236216993631e-14,2.0284335542778898e-11
FGF8,-5.77547216833335,4.49941120870494,239.576872477593,9.415597497808571e-14,2.0284335542778898e-11
LOXL4,-4.21844567495835,2.59097364390146,238.691919969794,9.79422441426597e-14,2.06770626278498e-11
DUSP4,-5.33890132931982,8.43490696537958,238.411056106921,9.91782363396787e-14,2.06770626278498e-11
MYCT1,-6.41186640108499,5.33162823008775,254.852012278991,1.09437980850574e-13,2.21850953530998e-11
IER3,-3.81786896965313,8.02974879965688,235.631653762553,1.12365088632311e-13,2.21850953530998e-11
STEAP2,2.61673972427276,4.00729035048054,235.45275023269,1.13276829127695e-13,2.21850953530998e-11
SERPINB6,-3.52530685398729,7.47205820882525,234.771925429104,1.16820659842784e-13,2.2537669389967497e-11
SETD7,-3.74580553193097,5.6783470479513,230.826003863646,1.39882721224241e-13,2.6204696442674397e-11
MCCC1,-2.99880110216338,6.83805146746609,229.926781694536,1.45802710789584e-13,2.6579727799257397e-11
PNPLA3,-2.42177277918119,6.35519312128015,229.297110857427,1.50109866110613e-13,2.6579727799257397e-11
UNC13C,-6.29230151459482,2.65707167330669,228.091285340312,1.58748827321108e-13,2.7304552965686196e-11
FZD8,-5.22546630225444,6.17213525165196,228.066232428069,1.58933945104637e-13,2.7304552965686196e-11
CNTNAP2,-3.08822802191373,9.53716621292903,227.591756818189,1.62484507018477e-13,2.7304552965686196e-11
ANXA2,-2.73342410445581,8.88479303167976,227.521185814197,1.63019916867805e-13,2.7304552965686196e-11
PPM1H,2.22621631900168,5.62190167074636,227.292878283643,1.64765212078255e-13,2.7304552965686196e-11
AMHR2,-6.36076036862922,2.87190019338308,224.401681254245,1.88712995242791e-13,2.9747611908638e-11
MRPL22,-3.14983811900505,7.55105813076324,223.920279846294,1.93055469384545e-13,3.00654818947545e-11
APOBEC3G,-5.52382620520976,5.55908634671608,222.672076273542,2.04828594134355e-13,3.11484047974196e-11
SERINC1,-2.14559531805898,7.54298437090182,221.7178133137,2.14354937657639e-13,3.2074307569434194e-11
SHISAL2B,-3.95856195359946,5.83890486290055,217.789951890703,2.58952001052659e-13,3.7734486012138e-11
TMSB10,-2.32114218451479,10.4126734106415,216.56194501744,2.74889688904008e-13,3.9046418887617695e-11
SACM1L,-2.01906864581512,7.4152250596453,213.684692072183,3.16563570785075e-13,4.35308586805093e-11
TVP23C,-3.06449263703718,3.57941540323263,212.611540216411,3.33823627440214e-13,4.5421096929391595e-11
ITGAV,-2.15919234672413,6.67167247579271,211.709656060641,3.49120416863061e-13,4.606124033715219e-11
ZDHHC2,-2.67290340098796,6.39804527750897,211.20716889653,3.57971947323124e-13,4.67388423343302e-11
NFASC,-3.1358800236322,6.51244719227063,209.574353120152,3.8845902564682397e-13,4.93950755283147e-11
MMP14,-2.22180971205585,7.00793771329519,209.506776170168,3.89780110156901e-13,4.93950755283147e-11
DDB2,2.20008488805454,5.51097246594282,208.115709578206,4.18087511664366e-13,5.1468563578796197e-11
DENND2B,-2.40868768130547,6.54217137093644,207.838655189737,4.2398773219072897e-13,5.1702504021673196e-11
PPARGC1A,-5.05561023550927,4.75780125431374,207.582286217947,4.29528039829608e-13,5.1888592923715094e-11
PDZRN4,-8.43302425411506,4.76656844367083,207.182928432463,4.38315668121817e-13,5.2459891908727794e-11
ANXA3,-3.11913468562389,6.71951084690469,206.555913521654,4.5250913099183797e-13,5.36617708917476e-11
ARMC7,-2.45626003672952,6.05673267494979,205.972443991121,4.66166032442306e-13,5.4778746684993096e-11
SERHL2,-6.09838601221929,6.09716999259288,203.91319080041,5.1806136842247e-13,5.97898325734718e-11
SERPINE2,-3.36331641982253,9.11667638160116,203.293872785738,5.34871432085642e-13,6.118361177999129e-11
TSPAN12,-2.1141999880337,6.07206594408703,203.012886195938,5.42692742565432e-13,6.15337402666735e-11
CTDSP1,-2.05569353116843,5.19558287874637,202.541831398168,5.56084682876379e-13,6.2115477217682e-11
FAM174B,-2.54371591590473,6.59005797614125,202.495045038201,5.57434268702701e-13,6.2115477217682e-11
BCL7C,-2.72699421862892,5.17988498759195,201.767192414863,5.788942435497659e-13,6.343359801476329e-11
FERMT2,-2.0116624284271,8.40637645896494,199.622887704474,6.47504722715075e-13,6.97470503817922e-11
SHISA2,-3.1227790044364,6.51679710209694,199.343007007262,6.570928249418889e-13,6.98162657357063e-11
NBL1,-4.49123525302527,4.61038148264606,199.289315447356,6.58949746229009e-13,6.98162657357063e-11
RHOC,-2.22351333134613,7.0327420277201,197.731064790583,7.15403672709916e-13,7.314642007362829e-11
DDX47,-2.61449211302932,3.90456691386957,197.724881637164,7.156378826967999e-13,7.314642007362829e-11
CCDC81,-7.43577016682506,6.00085389882725,196.735355978427,7.54214968088321e-13,7.515652571603019e-11
TLCD3B,3.13694938737854,3.30712127851461,196.694193371939,7.55867889763572e-13,7.515652571603019e-11
EPSTI1,-6.37996603722905,6.07664421158766,195.911073299033,7.880759536791499e-13,7.717174073679309e-11
RELN,-5.6005060227185,3.01132300039237,207.239767400679,9.021771607133199e-13,8.472954704035269e-11
LAPTM4B,-2.70459712202696,10.6820562688065,193.34325498203,9.0458591146284e-13,8.472954704035269e-11
GAB2,-3.80601671813863,6.31080160844415,192.286669506757,9.57848763897861e-13,8.719121917002639e-11
KCNH8,-4.5284947007218,4.60267288381061,192.001339239681,9.72809691480622e-13,8.793383267187779e-11
ISG20,-3.21071628409741,2.5894861481641,191.063236628715,1.0238141399703299e-12,9.190153870316969e-11
RASL12,-2.21656146023812,4.91243940835058,190.542761575424,1.0533591050349799e-12,9.390151580470459e-11
ALPL,2.00039924924913,7.91675810003695,189.08219584442,1.1413276013775998e-12,1.00359187587802e-10
MAP3K8,-3.08587933858251,4.24465831464354,187.348307724039,1.2562521991955599e-12,1.08255439512012e-10
PDE4D,-3.12329440907832,3.19913287239008,187.0337432716,1.2784182866735399e-12,1.09435991877763e-10
LRP10,-2.4097600762369,6.55982329511631,186.838365628599,1.29239934413469e-12,1.09904960015033e-10
TENM2,-2.83248924481409,3.4502425995737,186.359388507325,1.32738203531976e-12,1.12120828074231e-10
SMIM3,2.51472938241057,5.29463042933458,186.24611774981,1.3358043883205599e-12,1.12120828074231e-10
DBNDD2,-3.33614654884152,4.91343488798037,185.356544772387,1.40400274410327e-12,1.16403275128672e-10
MANEA,-4.12493509794539,6.78871017483234,185.345967324768,1.4048360606585799e-12,1.16403275128672e-10
KIT,-3.36932840763267,7.57414333560578,183.2815441714,1.5782387212356998e-12,1.28303859815677e-10
NRXN2,4.52681290790383,2.57621539326662,182.090239054322,1.68878062259407e-12,1.34748014368216e-10
NOTUM,-5.62511480233209,3.36417311200084,194.400035083048,1.7187865520484e-12,1.3553394005609802e-10
TBC1D9,-4.40094439240397,5.63388576954691,181.666673982694,1.7300866555203599e-12,1.3553394005609802e-10
ANKRD35,3.02159037129202,2.98525379655625,181.433979350524,1.75324491503505e-12,1.3652074561291002e-10
CD300E,-8.00530947242914,3.5460905717086,208.596106783949,1.78207675004998e-12,1.37112097647115e-10
KRT18,-2.17641940662495,10.0429609927365,181.045491572923,1.7926616511188598e-12,1.37112097647115e-10
CALB1,-3.20002472720286,6.02611484088419,180.537757097362,1.8456348167466e-12,1.40149908248209e-10
VANGL1,-2.69980717235487,7.04727789563135,180.458424490505,1.8540642356834e-12,1.40149908248209e-10
CLTB,-2.25551697257451,5.38391737660031,180.255249168414,1.87584370301225e-12,1.40156969393852e-10
TPRG1L,-2.17897451133429,5.19218251259527,179.148910030711,1.9994193264844e-12,1.47682824080785e-10
C5,-6.76881055052566,6.63054669336514,178.982298563473,2.01878330003095e-12,1.48265868955682e-10
LIPG,-2.61041209595996,5.23998593706777,178.623444864084,2.06118539081556e-12,1.50063694188677e-10
GLIPR2,-3.68960267871215,6.46182204062006,178.579188719026,2.06648132179982e-12,1.50063694188677e-10
TNFSF14,-7.24304300151405,2.92867666954971,204.678225374419,2.1416874090842397e-12,1.51906411475903e-10
TGFB1,-3.44773178257187,5.44059275937563,177.926678058101,2.1463035739869197e-12,1.51906411475903e-10
JAKMIP1,-2.86336105218506,3.97212423258667,177.367217953474,2.21741203955524e-12,1.54931178504276e-10
TRIM72,5.456760734659,0.698431358884437,176.564472069601,2.32394941755043e-12,1.6132114441491e-10
SEC14L2,-3.68504864462629,4.08020170278699,176.485792372759,2.33468683866099e-12,1.6132114441491e-10
DNAJC15,-3.17543238765376,6.91404769835439,176.294488713539,2.36101946296186e-12,1.6132114441491e-10
HGSNAT,-2.46810716149867,5.27768624469061,175.844349939032,2.42426142788226e-12,1.62362710967907e-10
FLRT3,-5.25862877831867,6.45064449195007,174.074761406466,2.6913095453820998e-12,1.75696298907116e-10
