,Symbol,Ensembl
1,GSX2,ENSG00000180613
2,TBX2,ENSG00000121068
3,PAX8,ENSG00000125618
4,CREB3L1,ENSG00000157613
5,NKX6-1,ENSG00000163623
6,ZNF621,ENSG00000172888
7,ZNF138,ENSG00000197008
9,POU3F3,ENSG00000198914
10,ALX1,ENSG00000180318
11,EMX1,ENSG00000135638
13,VSX2,ENSG00000119614
14,POU1F1,ENSG00000064835
15,RARA,ENSG00000131759
16,TLX3,ENSG00000164438
17,ZIC2,ENSG00000043355
18,ZNF226,ENSG00000167380
19,ZNF808,ENSG00000198482
21,NR3C1,ENSG00000113580
22,HIC2,ENSG00000169635
23,ZNF442,ENSG00000198342
24,FOSL1,ENSG00000175592
25,MTF1,ENSG00000188786
26,YBX3,ENSG00000060138
27,ZNF705A,ENSG00000196946
28,NFE2,ENSG00000123405
29,RAX2,ENSG00000173976
30,SP1,ENSG00000185591
31,ARID3A,ENSG00000116017
32,FEZF1,ENSG00000128610
33,THAP4,ENSG00000176946
34,ZNF286A,ENSG00000187607
35,FOXQ1,ENSG00000164379
36,AIRE,ENSG00000160224
37,SNAI3,ENSG00000185669
38,ZNF224,ENSG00000267680
39,ATOH8,ENSG00000168874
40,MECOM,ENSG00000085276
41,ZNF45,ENSG00000124459
42,ZNF674,ENSG00000251192
43,ZXDA,ENSG00000198205
44,ST18,ENSG00000147488
45,NKX6-2,ENSG00000148826
46,ZNF689,ENSG00000156853
47,ZNF449,ENSG00000173275
48,ZNF2,ENSG00000275111
49,TFDP2,ENSG00000114126
50,ZBTB25,ENSG00000089775
51,PIAS4,ENSG00000105229
52,HES4,ENSG00000188290
54,WT1,ENSG00000184937
55,ZBTB49,ENSG00000168826
56,PAX5,ENSG00000196092
57,MAFG,ENSG00000197063
58,ZNF837,ENSG00000152475
59,FOXD4,ENSG00000170122
60,GATA3,ENSG00000107485
61,HOMEZ,ENSG00000215271
62,ZNF26,ENSG00000198393
63,ZSCAN20,ENSG00000121903
64,MEOX2,ENSG00000106511
65,DMRTA1,ENSG00000176399
66,ZNF567,ENSG00000189042
67,OVOL1,ENSG00000172818
68,PRRX2,ENSG00000167157
69,MAFB,ENSG00000204103
70,ZNF195,ENSG00000005801
71,ZNF75D,ENSG00000186376
72,PIAS2,ENSG00000078043
73,FOXJ1,ENSG00000129654
74,GRHL1,ENSG00000134317
75,KLF11,ENSG00000172059
76,ATF2,ENSG00000115966
77,NFAT5,ENSG00000102908
78,MXD1,ENSG00000059728
79,SMAD3,ENSG00000166949
80,DMRT2,ENSG00000173253
81,BARHL1,ENSG00000125492
82,IKZF4,ENSG00000123411
83,ZNF607,ENSG00000198182
84,E2F7,ENSG00000165891
85,ZNF595,ENSG00000272602
86,ETV5,ENSG00000244405
87,CSRNP3,ENSG00000178662
88,CEBPD,ENSG00000221869
89,ZNF669,ENSG00000188295
90,TBX22,ENSG00000122145
91,ZNF304,ENSG00000131845
92,FOXN4,ENSG00000139445
93,TBX6,ENSG00000149922
94,ZBED2,ENSG00000177494
95,HES5,ENSG00000197921
96,ZNF283,ENSG00000167637
97,PLAG1,ENSG00000181690
98,ZNF512B,ENSG00000196700
100,ZMIZ2,ENSG00000122515
101,TERF2,ENSG00000132604
102,TFAM,ENSG00000108064
103,LCORL,ENSG00000178177
104,THAP5,ENSG00000177683
105,TCF15,ENSG00000125878
106,ZNF75A,ENSG00000162086
107,HMGB2,ENSG00000164104
108,EGR3,ENSG00000179388
109,ZFP69B,ENSG00000187801
110,USF1,ENSG00000158773
111,TBR1,ENSG00000136535
112,SMAD2,ENSG00000175387
113,ZNF165,ENSG00000197279
114,HOXA11,ENSG00000005073
115,LMX1A,ENSG00000162761
116,LHX6,ENSG00000106852
117,ZNF155,ENSG00000204920
118,ZNF16,ENSG00000170631
120,ZSCAN10,ENSG00000130182
121,HNF1B,ENSG00000275410
123,HOXA13,ENSG00000106031
125,TBX1,ENSG00000184058
126,ZNF70,ENSG00000187792
127,ZNF282,ENSG00000170265
128,PRDM13,ENSG00000112238
129,ZNF786,ENSG00000197362
130,ZNF547,ENSG00000152433
131,EOMES,ENSG00000163508
132,HOXB1,ENSG00000120094
133,ZKSCAN3,ENSG00000189298
134,ZNF648,ENSG00000179930
136,WIZ,ENSG00000011451
137,ZNF317,ENSG00000130803
138,ZGLP1,ENSG00000220201
139,BACH2,ENSG00000112182
140,IRX4,ENSG00000113430
141,IRF4,ENSG00000137265
142,HOXA9,ENSG00000078399
143,SMAD7,ENSG00000101665
144,ZNF613,ENSG00000176024
145,SOX30,ENSG00000039600
146,TSC22D4,ENSG00000166925
147,MEOX1,ENSG00000005102
148,ZNF438,ENSG00000183621
149,TCF4,ENSG00000196628
150,ZBTB18,ENSG00000179456
151,RBPJL,ENSG00000124232
152,LYL1,ENSG00000104903
153,BHLHE22,ENSG00000180828
155,IRF3,ENSG00000126456
156,ZNF260,ENSG00000254004
157,PROX2,ENSG00000119608
158,TP63,ENSG00000073282
159,HOXA6,ENSG00000106006
160,DMRTB1,ENSG00000143006
162,YY2,ENSG00000230797
163,ZNF143,ENSG00000166478
165,ZNF841,ENSG00000197608
166,ADNP,ENSG00000101126
167,SPIB,ENSG00000269404
168,BCL11B,ENSG00000127152
169,ZNF513,ENSG00000163795
170,NEUROD6,ENSG00000164600
171,SRF,ENSG00000112658
172,TBXT,ENSG00000164458
173,HOXD9,ENSG00000128709
174,ZBTB47,ENSG00000114853
175,ZNF22,ENSG00000165512
176,NFXL1,ENSG00000170448
177,ZNF543,ENSG00000178229
178,ZNF540,ENSG00000171817
179,SOX14,ENSG00000168875
180,TFAP4,ENSG00000090447
181,ASCL2,ENSG00000183734
182,HEY1,ENSG00000164683
183,EBF3,ENSG00000108001
184,XBP1,ENSG00000100219
185,ZNF562,ENSG00000171466
186,PROP1,ENSG00000175325
187,CDX4,ENSG00000131264
188,SOX10,ENSG00000100146
190,ZNF211,ENSG00000121417
191,ZNF266,ENSG00000174652
192,ZNF580,ENSG00000213015
193,OVOL3,ENSG00000105261
194,ZNF391,ENSG00000124613
195,ATOH1,ENSG00000172238
196,ATF5,ENSG00000169136
197,MYB,ENSG00000118513
198,ALX3,ENSG00000156150
199,SP2,ENSG00000167182
200,THAP2,ENSG00000173451
201,GATA2,ENSG00000179348
202,CDX2,ENSG00000165556
203,OLIG2,ENSG00000205927
204,SIM1,ENSG00000112246
205,ZNF445,ENSG00000185219
206,YBX2,ENSG00000006047
207,ZBTB10,ENSG00000205189
208,ZIK1,ENSG00000171649
209,ZNF611,ENSG00000213020
210,DLX2,ENSG00000115844
