Gene_ID,TSS_ID,Distance_P_Value,CnD_P_Value,Closest_Locus,Closest_TSS,lineage,TF
TMEM106A,ENST00000536052,5.8e-05,5.8e-05,T,T,h64,SMAD2
ACSL1,ENST00000515030,6e-05,6e-05,T,T,h64,SMAD2
ZNF385C,ENST00000461831,7.099e-05,7.099e-05,T,T,h64,SMAD2
H3C8,ENST00000614378,7.499e-05,7.499e-05,T,T,dEN,TCF4
ELAVL2,ENST00000440102,8.199e-05,8.199e-05,T,T,dEN,TCF4
HCN1,ENST00000634658,0.00011,0.00011,T,T,dEN,TCF4
FGF10,ENST00000513107,0.000141,0.000141,T,T,dEN,TCF4
SH2D5,ENST00000518294,0.000143,0.000143,F,T,dEN,TCF4
ECE2,ENST00000430587,0.000144,0.000144,T,T,dEN,TCF4
ADAMTSL1,ENST00000636209,0.000146,0.000146,T,T,dEN,TCF4
GABRA2,ENST00000507069,0.000158,0.000158,T,T,dEN,SRF
TRPM2,ENST00000300481,0.000164,0.000164,T,T,h64,FOXA1
FAM214B,ENST00000605244,0.000167,0.000167,T,T,dEN,TCF4
TAC3,ENST00000415231,0.000169,0.000169,T,T,dEN,CTCF
SAMD3,ENST00000324172,0.000175,0.000175,T,T,dEN,CTCF
TRPM6,ENST00000449912,0.000176,0.000176,T,T,dEN,SRF
WLS,ENST00000533537,0.000177,0.000177,T,T,dEN,SRF
GAB2,ENST00000340149,0.000179,0.000179,T,T,dEN,SRF
TCERG1L,ENST00000368642,0.000182,0.000182,T,T,dEN,SRF
TRPM6,ENST00000361255,0.000184,0.000184,T,T,dEN,CTCF
TMEM253,ENST00000556585,0.000185,0.000185,T,T,h64,THAP11
GLDC,ENST00000321612,0.000186,0.000186,T,T,h64,GATA4
COL14A1,ENST00000434620,0.000186,0.000186,T,T,h64,FOXA1
INHBE,ENST00000547970,0.000188,0.000188,T,T,dEN,CTCF
DOCK2,ENST00000519734,0.00019,0.00019,T,T,dEN,SRF
EVA1A,ENST00000410010,0.000191,0.000191,T,T,dEN,SRF
CLCF1,ENST00000533438,0.000192,0.000192,T,T,dEN,TCF4
ACSL1,ENST00000515030,0.000192,0.000192,T,T,dEN,SMAD2
ADAM19,ENST00000517374,0.000194,0.000194,T,T,dEN,SRF
NPR3,ENST00000415167,0.000199,0.000199,T,T,dEN,SRF
BTBD17,ENST00000375366,0.000199,0.000199,T,T,dEN,CTCF
TLE2,ENST00000443826,0.000201,0.000201,T,T,dEN,SRF
GATM,ENST00000561148,0.000203,0.000203,T,T,dEN,SRF
GALNT14,ENST00000349752,0.000204,0.000204,T,T,dEN,SRF
FERMT1,ENST00000217289,0.00021,0.00021,T,T,dEN,CTCF
ANKRD24,ENST00000262970,0.000214,0.000214,T,T,dEN,SRF
HTR6,ENST00000289753,0.000215,0.000215,T,T,dEN,SRF
AJAP1,ENST00000378190,0.000215,0.000215,T,T,dEN,SRF
DRD2,ENST00000544518,0.000216,0.000216,T,T,dEN,SRF
LGALS12,ENST00000340246,0.000217,0.000217,T,T,dEN,SRF
ELAVL2,ENST00000380110,0.000218,0.000218,T,T,dEN,SMAD2
MATK,ENST00000588983,0.000218,0.000218,T,T,dEN,CTCF
AJAP1,ENST00000378190,0.000218,0.000218,T,T,dEN,CTCF
SMIM43,ENST00000643802,0.00022,0.00022,T,T,dEN,SRF
TLE6,ENST00000452088,0.000221,0.000221,T,T,dEN,SRF
UGP2,ENST00000640075,0.000222,0.000222,T,T,h64,TCF4
PCDH7,ENST00000509759,0.000223,0.000223,T,T,dEN,SRF
CDH23,ENST00000644511,0.0002259,0.0002259,T,T,dEN,SRF
NLRP7,ENST00000592784,0.000229,0.000229,T,T,dEN,SRF
FAM214B,ENST00000603301,0.0002319,0.0002319,T,T,dEN,SRF
FAM20A,ENST00000592554,0.000236,0.000236,T,T,dEN,SRF
SACS,ENST00000402364,0.0002369,0.0002369,T,T,dEN,SRF
CDH12,ENST00000382254,0.0002399,0.0002399,T,T,dEN,TCF4
ECE2,ENST00000430587,0.0002409,0.0002409,T,T,h64,TCF4
CSMD2,ENST00000338325,0.0002419,0.0002419,T,T,h64,TCF4
PCDH7,ENST00000621961,0.000243,0.000243,T,T,dEN,SMAD2
CLCF1,ENST00000533438,0.0002439,0.0002439,T,T,h64,TCF4
GABRA2,ENST00000507069,0.0002459,0.0002459,T,T,dEN,CTCF
TEX15,ENST00000256246,0.0002469,0.0002469,T,T,dEN,CTCF
JAKMIP1,ENST00000282924,0.0002499,0.0002499,T,T,dEN,SRF
NTRK1,ENST00000392302,0.00025,0.00025,T,T,dEN,SRF
