,TCF4,GATA4,CTCF,PRDM1,SMAD4,GATA6,FOXA1,NANOG,HNF4A,SOX17,FOXA2,POU5F1,SP1,SOX2,STAT3,KLF5,HNF1B,SRF,OTX2,THAP11,SMAD2,EOMES
SACS,0.07721019706696065,0.4386338088132229,0.3189144738874168,0.3849563691483585,0.04523567689891023,0.7426620756844011,0.9521000971756524,0.2673967442800521,0.7792596563311258,0.6473738523884296,0.09555870761925202,0.391996421007174,0.22408973594205053,0.27334798884378286,0.6751067838881772,0.45278408383755964,0.27744984806585266,-1.0,0.24028875568795263,0.5364050411469389,0.70061757574849,0.403746482790042
GLIPR2,0.5658396461999582,0.9538460611289947,0.000957155153089589,0.4827738588737389,0.6076803408304439,0.1395995810629757,0.2293114702556188,0.01350906698141266,0.2682458128089833,0.017307985952655924,-1.0,0.10859208543790538,0.3339442281332107,0.44437223133409853,0.16385701206684988,0.2996573616936238,-1.0,0.011561870547451914,0.2967803610815724,0.040086852979363895,0.7035637999958062,0.8245807112058655
MMP17,0.4995236577156399,0.4992978519341231,0.9622001897021233,0.835697106802711,0.6004126082589725,0.36578370409990824,0.3497117830788362,0.16352854345403142,-1.0,-1.0,0.39643021557367986,0.8614239566685098,0.7474383435180656,0.7477214508974266,0.6151139843114174,0.20245953238104977,0.7416978029483949,0.6656685308987567,0.05889953156261796,0.5106102288569642,0.026799196602188685,0.714883747753323
SLC35A3,0.29714747903400734,0.5323973451891095,0.1534406783347581,0.360671221947822,0.013579323347700078,-1.0,0.5292105757908765,0.21121053680478663,0.8267372908292481,0.033938939699459776,0.21794359742207203,0.6136366732415328,-1.0,0.5105685222107876,0.24766682802597145,0.44852353941699585,0.1765238392490518,0.7258243891237947,0.5626805548845049,0.09399047837991051,0.6133599964858159,0.08729621335900521
ACER2,0.03522546241570847,0.04411169929566248,0.32558984836579297,-1.0,0.03509768093442383,0.13869629883568035,0.006113217002005554,0.004534157033085836,0.0009424507859535791,0.45766018281323817,-1.0,0.0004356345695272811,0.3302033332796027,0.007355788247424307,0.002516524624570011,0.041021748449680415,0.08589543445078832,0.475391072903973,0.07426161638409653,0.05060652688955778,0.1417075275995973,0.4207554937280469
BICDL2,0.2681142523689994,0.018782247591498973,0.0026651827452591277,0.004728555481891787,0.006709364548210619,0.3999566470707482,0.7646473054170028,0.04761341834612955,0.3218580763483015,0.5191587248989484,0.016494378346806553,0.10752884534939851,0.27235915552596973,0.34843685619285136,0.6911392761069344,0.00640387121499668,0.0029173695709234625,0.09073734081226409,0.48961692087677977,0.05757973291836044,0.908078947277545,0.8219017467831718
SMOC2,0.35483548571886925,0.49492928493214416,0.6285504753230584,0.6716805839460351,0.3703511877807294,0.9172705857265433,0.9002363951275948,0.43514286315819994,0.7876740411544891,0.34678072306145846,0.5160931104691784,0.9628307988653027,0.5955765028859047,0.7073074585050951,0.6343946074549366,0.8132167314792021,0.523602085819758,0.24587005610167406,0.9016640125927738,0.3678029148314921,0.4154411833533417,0.4333199965231097
LRRC55,0.9812325870841605,0.2162125867052904,0.8551860538281421,0.675795611174907,0.6930739868853572,0.031649671986391424,0.7029945836380531,0.6764404469123995,0.7432440112722657,0.12312310981232823,0.3576159623870563,0.39115582745833244,0.37453497973210137,0.9385380672496145,0.935468227675576,0.9682980519255434,0.6223445247395492,0.5856374639452462,0.8356069450134895,0.028309726691573903,0.022022791878595536,0.8013875398244517
PERP,0.7994320180873515,0.05118218519200786,0.00017077998519456633,0.241678453495184,0.4537221324088797,0.16288753652829233,0.11897811855162664,0.46456820630806506,0.5690598734682837,-1.0,0.05196623167288906,0.061435014530644046,0.8040873093260091,0.9117699068816707,0.4107999803668808,0.1415025067395025,7.032598134213169e-05,0.05862030836131082,0.02509199387952981,0.2775201579445602,0.7262800690229883,0.2903946044096698
RASGRF2,0.39509424153576944,0.13065446573265677,0.8687313027745468,0.025729096685428745,0.05064106306323709,-1.0,-1.0,0.5859000836600693,0.9165863092373405,-1.0,0.36425870475110333,0.217741027812127,0.7267578395227483,0.6047192106113384,0.2694302367523368,0.6407188872540397,0.10562123624271041,0.6293681827239495,0.5052475764593918,0.2540206763381848,0.0011601412737842778,0.3862461755685961
PDE4D,0.54916679813448,0.04428180044993824,0.04212195812131964,0.2009437258950601,0.20824804995763496,0.4601942522388457,0.4669139748505572,0.08165670674892919,0.8280452053202314,-1.0,0.09672696579959708,0.5414067031589553,0.9714288782835672,0.7912750004282676,0.7070147100961452,0.136586386230182,0.029451990465892062,0.03657234842284345,0.04246918596721582,0.1354008588986544,0.6030112244401695,0.7191226973288525
TESPA1,0.3150784674585521,0.0038482694489098902,0.2810885061079334,0.021367133229691266,0.11620172803256483,0.004173063188227326,0.009784923138485325,0.9549794653261131,0.011161198675832113,0.44332771251848,0.008600091820082038,0.5905436284035287,0.007886462503329474,0.12537691488157762,0.20149944398609101,0.034723477965819274,0.4922240659698882,0.07008125730209319,0.06286289834675597,0.5447853381510692,0.0025496262134797596,0.010844478347073734
COL4A1,0.9797053133276792,0.8722609053738963,0.04253714817983254,0.48667287650390467,0.21308897119831094,0.45150955564292516,0.32250031255641365,0.4326869140596379,0.7645213316139765,-1.0,0.19472066650887582,0.17789533057750517,0.7055822787319453,0.8578934203905162,0.429837851614411,0.23699355011182024,0.0004914411907546814,0.27436125626143965,0.20332440691586567,0.9579620961798618,0.6377750197740082,0.513982660860032
INHBE,0.4107012973785601,0.8197786471093376,0.10621681724166926,0.20743228313853987,0.018668570160243775,0.7828783236063613,0.8982635512391477,0.26278304451478196,0.8728787407978074,0.2245187802922377,0.8060741919859582,0.8882278814489543,0.5850176706168941,0.3007291504600418,0.9944805504876473,0.7645652401310278,0.7902576528366642,-1.0,0.20966197002248507,0.5598622609646849,0.6674607676846166,0.16877662389805168
TICAM1,0.0015680931152870557,0.4004952169044187,0.0013081376102122308,2.4709425882463488e-05,0.627695047467383,0.032994017448288636,0.4798821524251984,0.02736789028538396,-1.0,0.0554164333960124,-1.0,0.0006438818805336873,0.1580595054597682,0.8748125072702618,0.0007497289928742553,0.18886035452717614,0.0007902006521454762,9.543052855903725e-05,-1.0,0.005430596400205549,0.01575466756913634,0.9466214179456061
KCNA1,-1.0,0.6977108581569562,0.5305745940921709,0.4953161274762542,0.9169878969994409,0.6263257597358123,0.9529391684712731,0.20797447975018418,-1.0,0.5772994443186189,0.958283912270127,0.9430985656186999,0.43126070029668473,0.46557908631899014,0.2407919807289902,0.6870298986817279,0.9243365550413198,0.1621928631272684,0.33393632890893243,0.9171249976766811,0.8611679861808154,0.7259572844880247
