Gene,TF,pi_ij,Qij,Pj
NPHS1,TCF4,0.358683395930145,1.0,1.4719759021221e-06
NPHS1,GATA4,0.22869146668039,1.0,1.4719759021221e-06
NPHS1,CTCF,0.4885176187797956,0.00379,1.4719759021221e-06
NPHS1,PRDM1,0.6023190289818898,1.0,1.4719759021221e-06
NPHS1,SMAD4,0.0448920913428958,1.0,1.4719759021221e-06
NPHS1,GATA6,0.8620226653647585,1.0,1.4719759021221e-06
NPHS1,FOXA1,0.0110096660241353,1.0,1.4719759021221e-06
NPHS1,NANOG,0.0009207663227559,1.0,1.4719759021221e-06
NPHS1,HNF4A,0.0359051601769725,1.0,1.4719759021221e-06
NPHS1,SOX17,0.9683506311615724,1.0,1.4719759021221e-06
NPHS1,FOXA2,0.3748240792499299,1.0,1.4719759021221e-06
NPHS1,POU5F1,1.0,1.0,1.4719759021221e-06
NPHS1,SP1,0.8563284074681852,1.0,1.4719759021221e-06
NPHS1,SOX2,0.7976706163981542,1.0,1.4719759021221e-06
NPHS1,STAT3,0.0320598594962785,1.0,1.4719759021221e-06
NPHS1,KLF5,0.701994694710464,1.0,1.4719759021221e-06
NPHS1,HNF1B,0.1480003171818113,1.0,1.4719759021221e-06
NPHS1,SRF,0.8930058575725338,0.003851,1.4719759021221e-06
NPHS1,OTX2,0.006160403955444,1.0,1.4719759021221e-06
NPHS1,THAP11,0.0511122796552933,1.0,1.4719759021221e-06
NPHS1,SMAD2,0.0809652799168941,1.0,1.4719759021221e-06
NPHS1,EOMES,0.0292748855493737,1.0,1.4719759021221e-06
CPNE5,TCF4,0.1642812723657472,0.001205,1.67820746821478e-07
CPNE5,GATA4,0.1337462454538843,1.0,1.67820746821478e-07
CPNE5,CTCF,0.2506056886585315,0.004436,1.67820746821478e-07
CPNE5,PRDM1,0.599324798032357,1.0,1.67820746821478e-07
CPNE5,SMAD4,0.3481728742945895,1.0,1.67820746821478e-07
CPNE5,GATA6,1.0,1.0,1.67820746821478e-07
CPNE5,FOXA1,0.2202623394548448,0.01486,1.67820746821478e-07
CPNE5,NANOG,1.0,1.0,1.67820746821478e-07
CPNE5,HNF4A,0.1816214339352654,1.0,1.67820746821478e-07
CPNE5,SOX17,0.1556790245108197,0.006308,1.67820746821478e-07
CPNE5,FOXA2,0.4866120984708805,0.01489,1.67820746821478e-07
CPNE5,POU5F1,0.2319401586089838,1.0,1.67820746821478e-07
CPNE5,SP1,0.2731235684036878,1.0,1.67820746821478e-07
CPNE5,SOX2,0.6469724098039047,1.0,1.67820746821478e-07
CPNE5,STAT3,0.1517524066714593,1.0,1.67820746821478e-07
CPNE5,KLF5,0.4244592567811751,0.02829,1.67820746821478e-07
