Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AADACL4	ENST00000376221	0.06267	0.06267	T	T
AATF	ENST00000616434	0.0741	0.0741	T	T
ACACB	ENST00000544726	0.01531	0.01531	T	T
ACAD9	ENST00000308982	0.07479	0.07479	T	T
ACBD3	ENST00000366812	0.08158	0.08158	T	T
ACO1	ENST00000309951	0.0008014	0.0008014	T	T
ACO1	ENST00000379923	0.0008014	0.0008014	T	T
ACO1	ENST00000541043	0.0008014	0.0008014	T	T
ACOX2	ENST00000474098	0.02941	0.02941	T	T
ACR	ENST00000216139	0.001503	0.001503	T	T
ACR	ENST00000529621	0.001503	0.001503	T	T
ACSM4	ENST00000399422	0.05534	0.05534	T	T
ACTR1A	ENST00000487599	0.02257	0.02257	T	T
ADAMTSL1	ENST00000380545	0.004188	0.004188	T	T
ADGB	ENST00000367489	0.1267	0.1267	T	T
ADGRE3	ENST00000443157	0.0681	0.0681	T	T
ADGRG1	ENST00000563414	0.001698	0.001698	T	T
ADRA2C	ENST00000330055	0.2594	0.2594	T	T
ADRB2	ENST00000305988	0.0131	0.0131	T	T
AGAP1	ENST00000418654	0.001445	0.001445	T	T
AGBL1	ENST00000614907	0.1764	0.1764	T	T
AGTRAP	ENST00000376637	0.009039	0.009039	T	T
AHCYL1	ENST00000369799	0.03135	0.03135	T	T
AHCYL1	ENST00000393614	0.03135	0.03135	T	T
AKAIN1	ENST00000580650	0.08167	0.08167	T	T
ALCAM	ENST00000306107	0.5601	0.5601	T	T
ALDH2	ENST00000261733	0.02075	0.02075	T	T
ALG14	ENST00000370205	0.108	0.108	T	T
AMN1	ENST00000535408	0.0284	0.0284	T	T
AMPD3	ENST00000532250	0.05348	0.05348	T	T
ANK2	ENST00000511380	0.01442	0.01442	T	T
ANKDD1B	ENST00000601380	0.03274	0.03274	T	T
ANKH	ENST00000646501	0.08071	0.08071	T	T
ANKH	ENST00000284268	0.08818	0.08818	T	T
ANKRD36B	ENST00000497329	0.05256	0.05256	T	T
ANXA7	ENST00000394847	0.01942	0.01942	T	T
ARFGAP3	ENST00000437119	0.003153	0.003153	T	T
ARHGAP20	ENST00000527598	0.2177	0.2177	T	T
ARHGAP20	ENST00000533353	0.2177	0.2177	T	T
ARHGAP22	ENST00000477708	0.02613	0.02613	T	T
ARHGAP29	ENST00000260526	0.006054	0.006054	T	T
ARHGAP39	ENST00000276826	0.06964	0.06964	T	T
ARHGAP8	ENST00000412433	0.1516	0.1516	T	T
ARHGEF18	ENST00000359920	0.003849	0.003849	T	T
ARHGEF18	ENST00000617428	0.003849	0.003849	T	T
ARMH1	ENST00000434068	0.01052	0.01052	T	T
ASAP2	ENST00000641030	0.05385	0.05385	T	T
ASAP2	ENST00000641030	0.08944	0.08944	F	T
ASXL2	ENST00000336112	0.08054	0.08054	T	T
ASXL3	ENST00000269197	0.05169	0.05169	T	T
ATP2B2	ENST00000467702	0.02638	0.02638	T	T
ATP5MC3	ENST00000284727	0.7228	0.7228	T	T
ATRNL1	ENST00000526373	0.4283	0.4283	T	T
ATXN1	ENST00000436367	0.001342	0.001342	T	T
ATXN10	ENST00000381061	0.004726	0.004726	T	T
ATXN7	ENST00000538065	0.00137	0.00137	T	T
AUTS2	ENST00000664521	0.2334	0.2334	T	T
B3GAT2	ENST00000230053	0.1994	0.1994	T	T
B3GNT5	ENST00000481531	0.07277	0.07277	T	T
B4GALT4	ENST00000471675	0.02525	0.02525	T	T
BABAM2	ENST00000379629	0.4368	0.4368	T	T
BANF2	ENST00000545418	0.004493	0.004493	T	T
BLCAP	ENST00000397134	0.007207	0.007207	T	T
BLK	ENST00000645242	0.001298	0.001298	T	T
BLK	ENST00000529894	0.1207	0.1207	F	T
BLK	ENST00000529894	0.1331	0.1331	F	T
BMP4	ENST00000559642	0.1159	0.1159	T	T
BRD1	ENST00000216267	0.3839	0.3839	T	T
BRD1	ENST00000457780	0.3839	0.3839	T	T
BTRC	ENST00000370187	0.001215	0.001215	T	T
BTRC	ENST00000393441	0.001215	0.001215	T	T
BTRC	ENST00000408038	0.001215	0.001215	T	T
BUD13	ENST00000260210	0.1288	0.1288	T	T
BUD13	ENST00000375445	0.1288	0.1288	T	T
BUD13	ENST00000260210	0.1872	0.1872	F	T
BUD13	ENST00000375445	0.1872	0.1872	F	T
BUD23	ENST00000453316	0.01432	0.01432	T	T
C1GALT1	ENST00000223122	0.02357	0.02357	T	T
C2	ENST00000442278	0.001217	0.001217	T	T
C2	ENST00000447952	0.001217	0.001217	T	T
CA5A	ENST00000649794	0.06351	0.06351	T	T
CABCOCO1	ENST00000389639	0.1381	0.1381	T	T
CABP1	ENST00000453000	0.02163	0.02163	T	T
CACNA1E	ENST00000367573	0.1252	0.1252	T	T
CACNA1I	ENST00000401624	0.1377	0.1377	T	T
CACNA1I	ENST00000402142	0.1377	0.1377	T	T
CACNA1I	ENST00000404898	0.1377	0.1377	T	T
CACNA1I	ENST00000407673	0.1377	0.1377	T	T
CACNG1	ENST00000226021	0.002154	0.002154	T	T
CACNG8	ENST00000638874	0.01544	0.01544	T	T
CACUL1	ENST00000369151	0.2723	0.2723	T	T
CADM1	ENST00000545380	0.1682	0.1682	T	T
CALN1	ENST00000395275	0.02612	0.02612	T	T
CAPN12	ENST00000601953	0.01078	0.01078	T	T
CARNS1	ENST00000445895	0.00433	0.00433	T	T
CASP9	ENST00000333868	0.00172	0.00172	T	T
CASP9	ENST00000348549	0.00172	0.00172	T	T
CASP9	ENST00000375890	0.00172	0.00172	T	T
CASP9	ENST00000440484	0.00172	0.00172	T	T
CASP9	ENST00000447522	0.00172	0.00172	T	T
CASP9	ENST00000546424	0.00172	0.00172	T	T
CASP9	ENST00000333868	0.01609	0.01609	F	T
CBL	ENST00000637974	0.06527	0.06527	T	T
CBLB	ENST00000443752	0.6321	0.6321	T	T
CBX4	ENST00000269397	0.05754	0.05754	T	T
CBX8	ENST00000269385	0.0107	0.0107	T	T
CC2D2B	ENST00000602648	0.1275	0.1275	T	T
CCDC102A	ENST00000258214	0.04453	0.04453	T	T
CCDC107	ENST00000378409	0.001099	0.001099	T	T
CCDC134	ENST00000255784	0.01892	0.01892	T	T
CCDC134	ENST00000402061	0.01892	0.01892	T	T
CCDC141	ENST00000343876	0.1054	0.1054	T	T
CCDC175	ENST00000281581	0.08055	0.08055	T	T
CCDC195	ENST00000638102	0.01964	0.01964	T	T
CCL4	ENST00000615863	0.003903	0.003903	T	T
CCL4	ENST00000621626	0.003903	0.003903	T	T
CCNI2	ENST00000378731	0.02508	0.02508	T	T
CCNI2	ENST00000614847	0.02508	0.02508	T	T
CD27	ENST00000266557	0.05033	0.05033	T	T
CD47	ENST00000398258	0.1951	0.1951	T	T
CDC27	ENST00000571643	0.09249	0.09249	T	T
CDC34	ENST00000215574	0.001662	0.001662	T	T
CDC42EP4	ENST00000580315	0.01241	0.01241	T	T
CDH23	ENST00000466757	0.02221	0.02221	T	T
CDK15	ENST00000434439	0.04276	0.04276	T	T
CDR2L	ENST00000337231	0.02082	0.02082	T	T
CEP164	ENST00000639320	0.3958	0.3958	T	T
CEP70	ENST00000470159	0.008622	0.008622	T	T
CEP70	ENST00000464035	0.01918	0.01918	F	T
CFAP418	ENST00000286688	0.1163	0.1163	T	T
CHAMP1	ENST00000643483	0.2539	0.2539	T	T
CHD9	ENST00000565832	0.02391	0.02391	T	T
CHIT1	ENST00000367229	0.06091	0.06091	T	T
