Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A2ML1	ENST00000299698	0.05986	0.05986	T	T
AADAC	ENST00000488869	0.07076	0.07076	T	T
AADACL2	ENST00000356517	0.05831	0.05831	T	T
AADACL3	ENST00000359318	0.002479	0.002479	T	T
AADACL4	ENST00000376221	0.03994	0.03994	T	T
AADACL4	ENST00000376221	0.06321	0.06321	F	T
AADAT	ENST00000502392	0.1934	0.1934	T	T
AADAT	ENST00000502392	0.1979	0.1979	F	T
AASDHPPT	ENST00000278618	0.00423	0.00423	T	T
AASDHPPT	ENST00000278618	0.5124	0.5124	F	T
AASS	ENST00000417368	0.1241	0.1241	T	T
AATK	ENST00000650574	0.01248	0.01248	T	T
ABCA10	ENST00000269081	0.04613	0.04613	T	T
ABCA4	ENST00000536513	0.02446	0.02446	T	T
ABCA4	ENST00000370225	0.04722	0.04722	T	T
ABCA5	ENST00000592568	0.002643	0.002643	T	T
ABCA8	ENST00000585531	0.1249	0.1249	T	T
ABCA9	ENST00000585714	0.04103	0.04103	T	T
ABCB10	ENST00000344517	0.0104	0.0104	T	T
ABCB11	ENST00000650372	0.03916	0.03916	T	T
ABCB4	ENST00000453593	0.05385	0.05385	T	T
ABCB5	ENST00000404938	0.04953	0.04953	T	T
ABCB5	ENST00000404938	0.2742	0.2742	F	T
ABCB9	ENST00000541424	0.005999	0.005999	T	T
ABCC1	ENST00000572882	0.1469	0.1469	T	T
ABCC12	ENST00000527640	0.01032	0.01032	T	T
ABCC4	ENST00000645237	0.02381	0.02381	T	T
ABCC4	ENST00000646439	0.2856	0.2856	F	T
ABCC4	ENST00000646439	0.408	0.408	F	T
ABCC8	ENST00000644649	0.001277	0.001277	T	T
ABCD3	ENST00000370214	0.03261	0.03261	T	T
ABCD3	ENST00000315713	0.0544	0.0544	F	T
ABCG2	ENST00000503830	0.006801	0.006801	T	T
ABHD15	ENST00000307201	0.1568	0.1568	T	T
ABHD2	ENST00000352732	0.005981	0.005981	T	T
ABHD2	ENST00000569411	0.01166	0.01166	F	T
ABHD3	ENST00000580477	0.009915	0.009915	T	T
ABHD3	ENST00000580477	0.01132	0.01132	F	T
ABI3BP	ENST00000527258	0.001153	0.001153	T	T
ABLIM1	ENST00000440467	0.0006218	0.0006218	T	T
ABLIM1	ENST00000369266	0.01159	0.01159	T	T
ABLIM1	ENST00000651023	0.01764	0.01764	T	T
ABLIM1	ENST00000369256	0.04994	0.04994	T	T
ABLIM1	ENST00000651092	0.07691	0.07691	T	T
ABLIM2	ENST00000510277	0.05044	0.05044	T	T
ABRA	ENST00000311955	0.0424	0.0424	T	T
ABRA	ENST00000311955	0.2786	0.2786	F	T
ACAA1	ENST00000452171	0.02654	0.02654	T	T
ACAD9	ENST00000308982	0.08195	0.08195	T	T
ACADM	ENST00000541113	0.1096	0.1096	T	T
ACADS	ENST00000411593	0.02887	0.02887	T	T
ACADS	ENST00000411593	0.05952	0.05952	F	T
ACAT1	ENST00000265838	0.05416	0.05416	T	T
ACER2	ENST00000340967	0.1916	0.1916	T	T
ACIN1	ENST00000357481	0.007897	0.007897	T	T
ACKR1	ENST00000537147	0.009591	0.009591	T	T
ACKR3	ENST00000272928	0.257	0.257	F	T
ACO1	ENST00000541043	0.4387	0.4387	F	T
ACOT12	ENST00000513751	0.01819	0.01819	T	T
ACOT4	ENST00000326303	0.0007828	0.0007828	T	T
ACOXL	ENST00000433706	0.01701	0.01701	T	T
ACP3	ENST00000507647	0.02262	0.02262	T	T
ACSL1	ENST00000622937	0.0002959	0.0002959	T	T
ACSL1	ENST00000505492	0.01643	0.01643	T	T
ACSL3	ENST00000392066	0.02228	0.02228	T	T
ACSL3	ENST00000540115	0.0392	0.0392	T	T
ACSL3	ENST00000540115	0.1157	0.1157	F	T
ACSL3	ENST00000540115	0.1165	0.1165	F	T
ACSL3	ENST00000392066	0.1296	0.1296	F	T
ACSL3	ENST00000392066	0.1684	0.1684	F	T
ACSL3	ENST00000392066	0.1743	0.1743	F	T
ACSM6	ENST00000394005	0.02212	0.02212	T	T
ACSM6	ENST00000341686	0.05579	0.05579	F	T
ACSM6	ENST00000341686	0.07229	0.07229	F	T
ACSM6	ENST00000394005	0.09582	0.09582	F	T
ACTBL2	ENST00000423391	0.1057	0.1057	T	T
ACTBL2	ENST00000423391	0.119	0.119	F	T
ACTBL2	ENST00000423391	0.8734	0.8734	F	T
ACTL6B	ENST00000160382	0.008925	0.008925	T	T
ACTL7B	ENST00000374667	0.6241	0.6241	F	T
ACTL7B	ENST00000374667	0.83	0.83	F	T
ACTL7B	ENST00000374667	0.8359	0.8359	F	T
ACTL7B	ENST00000374667	0.8719	0.8719	F	T
ACTL7B	ENST00000374667	0.8939	0.8939	F	T
ACTL8	ENST00000617065	0.1375	0.1375	T	T
ACTN1	ENST00000553779	0.01142	0.01142	T	T
ACTN1	ENST00000553779	0.02251	0.02251	F	T
ACTN1	ENST00000553779	0.05309	0.05309	F	T
ACTR10	ENST00000254286	0.04232	0.04232	T	T
ACTR6	ENST00000551617	0.005967	0.005967	T	T
ACTRT2	ENST00000378404	0.00503	0.00503	T	T
ACTRT3	ENST00000330368	0.06346	0.06346	T	T
ACVR1C	ENST00000409680	0.01572	0.01572	T	T
ACVR1C	ENST00000409680	0.04009	0.04009	F	T
