Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.02132	0.02132	T	T
A1CF	ENST00000373993	0.08055	0.08055	T	T
A2M	ENST00000318602	0.02776	0.02776	T	T
A4GALT	ENST00000642412	0.08865	0.08865	T	T
A4GNT	ENST00000236709	0.0419	0.0419	T	T
AADACL4	ENST00000376221	0.04003	0.04003	T	T
AADACL4	ENST00000376221	0.06288	0.06288	F	T
AADAT	ENST00000502392	0.884	0.884	F	T
AAGAB	ENST00000560362	0.04444	0.04444	T	T
AAK1	ENST00000409085	0.06885	0.06885	T	T
AASS	ENST00000417368	0.1241	0.1241	T	T
AATF	ENST00000610798	0.01403	0.01403	T	T
AATF	ENST00000616434	0.03862	0.03862	F	T
ABCA2	ENST00000614293	0.002197	0.002197	T	T
ABCA5	ENST00000592568	0.002848	0.002848	T	T
ABCA7	ENST00000531467	0.00016	0.00016	T	T
ABCA9	ENST00000495634	0.06349	0.06349	T	T
ABCA9	ENST00000495634	0.06389	0.06389	F	T
ABCB1	ENST00000622132	0.07522	0.07522	T	T
ABCB5	ENST00000258738	0.118	0.118	T	T
ABCB9	ENST00000542678	0.007792	0.007792	T	T
ABCC4	ENST00000645237	0.02402	0.02402	T	T
ABCC4	ENST00000646439	0.09471	0.09471	F	T
ABCC4	ENST00000646439	0.4309	0.4309	F	T
ABCC5	ENST00000437341	0.127	0.127	F	T
ABCD2	ENST00000308666	0.1279	0.1279	T	T
ABCD3	ENST00000370214	0.03269	0.03269	T	T
ABCF1	ENST00000376545	0.007727	0.007727	T	T
ABHD2	ENST00000352732	0.001447	0.001447	T	T
ABHD3	ENST00000580477	0.01134	0.01134	T	T
ABHD5	ENST00000463153	0.02932	0.02932	T	T
ABI1	ENST00000376140	0.0944	0.0944	T	T
ABI1	ENST00000376140	0.11	0.11	F	T
ABI2	ENST00000261016	0.04707	0.04707	T	T
ABI2	ENST00000261018	0.04707	0.04707	T	T
ABI3BP	ENST00000284322	0.05146	0.05146	T	T
ABI3BP	ENST00000471714	0.05146	0.05146	T	T
ABL1	ENST00000318560	0.01101	0.01101	T	T
ABLIM1	ENST00000440467	0.0006449	0.0006449	T	T
ABLIM1	ENST00000277895	0.001276	0.001276	T	T
ABLIM1	ENST00000651023	0.018	0.018	T	T
ABLIM3	ENST00000356541	0.02114	0.02114	T	T
ABLIM3	ENST00000517451	0.02114	0.02114	T	T
ACACA	ENST00000614438	0.01834	0.01834	T	T
ACAD9	ENST00000514336	0.001343	0.001343	T	T
ACAD9	ENST00000514336	0.04244	0.04244	F	T
ACAD9	ENST00000514336	0.04648	0.04648	F	T
ACADS	ENST00000411593	0.02837	0.02837	T	T
ACADS	ENST00000411593	0.05961	0.05961	F	T
ACAP1	ENST00000575425	0.004065	0.004065	T	T
ACAT1	ENST00000528370	0.006254	0.006254	T	T
ACBD3	ENST00000366812	0.0008757	0.0008757	T	T
ACBD3	ENST00000366812	0.1	0.1	F	T
ACBD5	ENST00000375888	0.05573	0.05573	T	T
ACBD6	ENST00000367595	0.06102	0.06102	T	T
ACBD6	ENST00000367595	0.06156	0.06156	F	T
ACBD6	ENST00000367595	0.06213	0.06213	F	T
ACO1	ENST00000541043	0.2386	0.2386	T	T
ACOT11	ENST00000343744	0.05798	0.05798	T	T
ACOT11	ENST00000371316	0.05798	0.05798	T	T
ACOX1	ENST00000588968	0.01036	0.01036	T	T
ACOX3	ENST00000503233	0.003504	0.003504	T	T
ACOXL	ENST00000448863	0.02343	0.02343	T	T
ACOXL	ENST00000441974	0.04917	0.04917	T	T
ACP3	ENST00000507647	0.02265	0.02265	T	T
ACRBP	ENST00000536350	0.008312	0.008312	T	T
ACSL3	ENST00000392066	0.1744	0.1744	T	T
ACSL6	ENST00000543479	0.004843	0.004843	T	T
ACSM3	ENST00000564701	0.007542	0.007542	T	T
ACSS1	ENST00000537502	0.01277	0.01277	T	T
ACTA1	ENST00000366684	0.05474	0.05474	T	T
ACTA2	ENST00000415557	0.1715	0.1715	T	T
ACTB	ENST00000414620	0.0187	0.0187	T	T
ACTBL2	ENST00000423391	0.01789	0.01789	T	T
ACTBL2	ENST00000423391	0.1094	0.1094	F	T
ACTBL2	ENST00000423391	0.6248	0.6248	F	T
ACTBL2	ENST00000423391	0.7918	0.7918	F	T
ACTL7B	ENST00000374667	0.8362	0.8362	T	T
ACTL7B	ENST00000374667	0.872	0.872	F	T
ACTR10	ENST00000254286	0.03728	0.03728	T	T
ACTR1A	ENST00000487599	0.003479	0.003479	T	T
ACTR3B	ENST00000397282	0.7378	0.7378	T	T
ACTR3C	ENST00000613959	0.3453	0.3453	T	T
ACTR6	ENST00000551617	0.005902	0.005902	T	T
ACVR2A	ENST00000535787	0.2888	0.2888	T	T
ACVR2A	ENST00000535787	0.3317	0.3317	F	T
ACVR2A	ENST00000535787	0.3482	0.3482	F	T
ACY3	ENST00000255082	0.001738	0.001738	T	T
ADAM10	ENST00000402627	0.03265	0.03265	T	T
ADAM17	ENST00000648002	0.06519	0.06519	T	T
ADAM2	ENST00000347580	0.07217	0.07217	T	T
ADAM2	ENST00000347580	0.1104	0.1104	F	T
ADAM21	ENST00000603540	0.0397	0.0397	T	T
ADAM23	ENST00000444281	0.08834	0.08834	T	T
ADAM23	ENST00000444281	0.08895	0.08895	F	T
ADAM23	ENST00000444281	0.09528	0.09528	F	T
ADAM23	ENST00000444281	0.1134	0.1134	F	T
ADAM28	ENST00000265769	0.04262	0.04262	T	T
ADAM28	ENST00000265769	0.3105	0.3105	F	T
ADAM28	ENST00000265769	0.4216	0.4216	F	T
ADAM29	ENST00000514159	0.09761	0.09761	T	T
ADAM29	ENST00000514159	0.09826	0.09826	F	T
ADAMTS14	ENST00000373207	0.02337	0.02337	T	T
ADAMTS18	ENST00000562345	0.04942	0.04942	T	T
ADAMTS2	ENST00000274609	0.1977	0.1977	T	T
ADAMTS2	ENST00000518335	0.1977	0.1977	T	T
ADAMTS20	ENST00000549670	0.1941	0.1941	T	T
ADAMTS20	ENST00000549670	0.2469	0.2469	F	T
ADAMTS3	ENST00000286657	0.3089	0.3089	T	T
ADAMTS4	ENST00000367995	0.006557	0.006557	T	T
ADAMTS5	ENST00000284987	0.2805	0.2805	T	T
ADAMTS5	ENST00000284987	0.2813	0.2813	F	T
ADAMTS9	ENST00000498707	0.6751	0.6751	T	T
ADAMTSL1	ENST00000327883	0.1023	0.1023	T	T
ADAMTSL1	ENST00000636209	0.2602	0.2602	T	T
ADAMTSL1	ENST00000276935	0.2655	0.2655	F	T
ADAMTSL3	ENST00000286744	0.001022	0.001022	T	T
ADAMTSL3	ENST00000286744	0.05272	0.05272	F	T
ADAP1	ENST00000437486	0.009932	0.009932	T	T
ADAP1	ENST00000617043	0.009932	0.009932	T	T
ADAP1	ENST00000437486	0.01035	0.01035	F	T
ADAP1	ENST00000617043	0.01035	0.01035	F	T
ADAP1	ENST00000437486	0.01538	0.01538	F	T
ADAP1	ENST00000617043	0.01538	0.01538	F	T
ADAR	ENST00000649022	0.004192	0.004192	T	T
ADARB1	ENST00000389863	0.009487	0.009487	T	T
ADARB1	ENST00000437626	0.009487	0.009487	T	T
ADARB2	ENST00000381310	0.003683	0.003683	T	T
ADARB2	ENST00000381312	0.0843	0.0843	T	T
ADCK1	ENST00000341211	0.2478	0.2478	F	T
ADCK1	ENST00000341211	0.2485	0.2485	F	T
ADCY1	ENST00000432715	0.2114	0.2114	T	T
ADCY10	ENST00000476818	0.01748	0.01748	T	T
ADCY5	ENST00000466617	0.1692	0.1692	T	T
ADCY8	ENST00000522949	0.07661	0.07661	T	T
ADCY8	ENST00000286355	0.519	0.519	F	T
ADCY8	ENST00000286355	0.8298	0.8298	F	T
ADD3	ENST00000360162	0.009217	0.009217	T	T
ADGRB2	ENST00000533175	0.009806	0.009806	T	T
ADGRD1	ENST00000543617	0.5591	0.5591	T	T
ADGRE5	ENST00000358600	0.009707	0.009707	T	T
ADGRF1	ENST00000283297	0.0225	0.0225	T	T
ADGRF2	ENST00000507065	0.03761	0.03761	T	T
ADGRF2	ENST00000507065	0.1086	0.1086	F	T
ADGRF5	ENST00000283296	0.07922	0.07922	T	T
ADGRG6	ENST00000508295	0.4756	0.4756	T	T
ADGRL1	ENST00000361434	0.0278	0.0278	T	T
ADGRL1	ENST00000340736	0.04502	0.04502	F	T
ADGRL1	ENST00000340736	0.08305	0.08305	F	T
ADGRL2	ENST00000319517	0.04228	0.04228	T	T
ADGRL2	ENST00000370713	0.04228	0.04228	T	T
ADGRL2	ENST00000370715	0.04228	0.04228	T	T
ADGRL2	ENST00000370717	0.04228	0.04228	T	T
ADGRL2	ENST00000627151	0.04228	0.04228	T	T
ADGRL2	ENST00000370721	0.128	0.128	T	T
ADGRL2	ENST00000370723	0.128	0.128	T	T
ADGRL2	ENST00000370725	0.128	0.128	T	T
ADGRL2	ENST00000370727	0.128	0.128	T	T
ADGRL2	ENST00000370728	0.128	0.128	T	T
ADGRL2	ENST00000370730	0.128	0.128	T	T
ADGRL2	ENST00000402328	0.2977	0.2977	T	T
ADGRL2	ENST00000370721	0.5481	0.5481	F	T
ADGRL2	ENST00000370723	0.5481	0.5481	F	T
ADGRL2	ENST00000370725	0.5481	0.5481	F	T
ADGRL2	ENST00000370727	0.5481	0.5481	F	T
ADGRL2	ENST00000370728	0.5481	0.5481	F	T
ADGRL2	ENST00000370730	0.5481	0.5481	F	T
ADGRL2	ENST00000402328	0.6694	0.6694	F	T
ADGRV1	ENST00000640403	0.07666	0.07666	T	T
