Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000373993	0.01912	0.01912	T	T
A1CF	ENST00000282641	0.02554	0.02554	T	T
A1CF	ENST00000373995	0.02554	0.02554	T	T
A1CF	ENST00000374001	0.02554	0.02554	T	T
A1CF	ENST00000395489	0.02554	0.02554	T	T
A1CF	ENST00000395495	0.02554	0.02554	T	T
A1CF	ENST00000414883	0.02554	0.02554	T	T
A1CF	ENST00000373993	0.08957	0.08957	F	T
A2M	ENST00000318602	0.1031	0.1031	T	T
A2M	ENST00000318602	0.1131	0.1131	F	T
A2ML1	ENST00000545692	0.0002299	0.0002299	T	T
A2ML1	ENST00000299698	0.06739	0.06739	F	T
A2ML1	ENST00000299698	0.06827	0.06827	F	T
A4GALT	ENST00000642412	0.0811	0.0811	T	T
A4GNT	ENST00000236709	0.00849	0.00849	T	T
AADACL2	ENST00000356517	0.09376	0.09376	T	T
AADACL2	ENST00000356517	0.2409	0.2409	F	T
AADACL3	ENST00000359318	0.05264	0.05264	T	T
AADACL4	ENST00000376221	0.03982	0.03982	T	T
AADACL4	ENST00000376221	0.06296	0.06296	F	T
AADACL4	ENST00000376221	0.06751	0.06751	F	T
AADAT	ENST00000502392	0.1475	0.1475	F	T
AADAT	ENST00000502392	0.1622	0.1622	F	T
AADAT	ENST00000502392	0.3276	0.3276	F	T
AADAT	ENST00000502392	0.469	0.469	F	T
AADAT	ENST00000502392	0.8996	0.8996	F	T
AADAT	ENST00000502392	0.9794	0.9794	F	T
AAK1	ENST00000409085	0.06903	0.06903	T	T
AAK1	ENST00000409068	0.1147	0.1147	F	T
AAK1	ENST00000409068	0.1154	0.1154	F	T
AASDHPPT	ENST00000278618	0.08596	0.08596	T	T
AASDHPPT	ENST00000278618	0.9261	0.9261	F	T
AASS	ENST00000417368	0.02723	0.02723	T	T
AASS	ENST00000417368	0.03028	0.03028	F	T
AASS	ENST00000417368	0.03434	0.03434	F	T
AASS	ENST00000393376	0.08938	0.08938	F	T
AASS	ENST00000393376	0.1012	0.1012	F	T
AASS	ENST00000393376	0.1107	0.1107	F	T
AATF	ENST00000619387	0.0147	0.0147	T	T
AATF	ENST00000616434	0.05454	0.05454	T	T
AATF	ENST00000616434	0.06627	0.06627	F	T
AATF	ENST00000616434	0.06964	0.06964	F	T
ABCA12	ENST00000412081	0.05716	0.05716	T	T
ABCA12	ENST00000389661	0.08001	0.08001	T	T
ABCA12	ENST00000272895	0.1105	0.1105	F	T
ABCA13	ENST00000544596	0.1201	0.1201	T	T
ABCA13	ENST00000544596	0.1216	0.1216	F	T
ABCA2	ENST00000614293	0.001521	0.001521	T	T
ABCA4	ENST00000536513	0.03661	0.03661	T	T
ABCA4	ENST00000649773	0.03835	0.03835	T	T
ABCA4	ENST00000536513	0.08879	0.08879	F	T
ABCA8	ENST00000430352	0.05724	0.05724	T	T
ABCA8	ENST00000586539	0.05724	0.05724	T	T
ABCA9	ENST00000495634	0.06312	0.06312	T	T
ABCB11	ENST00000650372	0.01201	0.01201	T	T
ABCB11	ENST00000650372	0.01265	0.01265	F	T
ABCB11	ENST00000649448	0.04862	0.04862	T	T
ABCB4	ENST00000440025	0.03694	0.03694	T	T
ABCB5	ENST00000258738	0.08119	0.08119	T	T
ABCB5	ENST00000258738	0.08309	0.08309	F	T
ABCB5	ENST00000258738	0.0863	0.0863	F	T
ABCC1	ENST00000572882	0.1001	0.1001	T	T
ABCC1	ENST00000572882	0.1107	0.1107	F	T
ABCC12	ENST00000311303	0.2946	0.2946	T	T
ABCC12	ENST00000311303	0.4487	0.4487	F	T
ABCC4	ENST00000645237	0.01555	0.01555	T	T
ABCC4	ENST00000645237	0.02386	0.02386	F	T
ABCC4	ENST00000645237	0.1151	0.1151	F	T
ABCC4	ENST00000645237	0.1186	0.1186	F	T
ABCC4	ENST00000646439	0.1986	0.1986	F	T
ABCC9	ENST00000261200	0.01853	0.01853	T	T
ABCC9	ENST00000261201	0.01853	0.01853	T	T
ABCC9	ENST00000621589	0.01853	0.01853	T	T
ABCD3	ENST00000370214	0.06576	0.06576	T	T
ABCD3	ENST00000370214	0.08675	0.08675	F	T
ABCD3	ENST00000370214	0.1274	0.1274	F	T
ABCF1	ENST00000326195	0.02494	0.02494	T	T
ABCF1	ENST00000468958	0.02494	0.02494	T	T
ABCF3	ENST00000292808	0.002253	0.002253	T	T
ABHD12B	ENST00000337334	0.006916	0.006916	T	T
ABHD13	ENST00000375898	0.01743	0.01743	T	T
ABHD13	ENST00000375898	0.03029	0.03029	F	T
ABHD15	ENST00000307201	0.09892	0.09892	F	T
