Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AADACL2	ENST00000356517	0.09385	0.09385	T	T
AADAT	ENST00000502392	0.52	0.52	T	T
AASDHPPT	ENST00000278618	0.4972	0.4972	T	T
AASS	ENST00000393376	0.1013	0.1013	T	T
AASS	ENST00000393376	0.1192	0.1192	F	T
ABCA1	ENST00000374733	0.03172	0.03172	T	T
ABCA1	ENST00000423487	0.03172	0.03172	T	T
ABCA12	ENST00000389661	0.08013	0.08013	T	T
ABCA4	ENST00000649773	0.03813	0.03813	T	T
ABCA9	ENST00000495634	0.06325	0.06325	T	T
ABCC4	ENST00000645237	0.1155	0.1155	T	T
ABCD3	ENST00000370214	0.1275	0.1275	T	T
ABHD17B	ENST00000333421	0.02495	0.02495	T	T
ABLIM1	ENST00000651023	0.07008	0.07008	T	T
ABLIM1	ENST00000392952	0.09015	0.09015	T	T
ABRA	ENST00000311955	0.127	0.127	T	T
ACADS	ENST00000411593	0.007314	0.007314	T	T
ACADS	ENST00000411593	0.009943	0.009943	F	T
ACER2	ENST00000340967	0.1055	0.1055	T	T
ACOX2	ENST00000474098	0.009988	0.009988	T	T
ACSL3	ENST00000540115	0.03759	0.03759	T	T
ACSM1	ENST00000307493	0.007642	0.007642	T	T
ACTL8	ENST00000617065	0.05268	0.05268	T	T
ACTN1	ENST00000553779	0.01799	0.01799	T	T
ACTR5	ENST00000243903	0.05553	0.05553	T	T
ACVR2A	ENST00000241416	0.1524	0.1524	T	T
ACYP2	ENST00000607452	0.05054	0.05054	T	T
ADAM23	ENST00000444281	0.0189	0.0189	T	T
ADAM23	ENST00000444281	0.01927	0.01927	F	T
ADAMTS2	ENST00000274609	0.1511	0.1511	T	T
ADAMTS2	ENST00000518335	0.1511	0.1511	T	T
ADAMTS20	ENST00000549670	0.5774	0.5774	F	T
ADAMTS3	ENST00000286657	0.249	0.249	T	T
ADAMTSL1	ENST00000327883	0.1892	0.1892	T	T
ADARB2	ENST00000381305	0.3046	0.3046	T	T
ADCK1	ENST00000341211	0.1031	0.1031	T	T
ADGRL2	ENST00000402328	0.3368	0.3368	T	T
ADGRL2	ENST00000402328	0.8127	0.8127	F	T
ADGRL3	ENST00000502815	0.614	0.614	T	T
ADRA1B	ENST00000306675	0.05188	0.05188	T	T
ADRA1B	ENST00000641205	0.3008	0.3008	F	T
ADRA2A	ENST00000280155	0.6781	0.6781	T	T
ADTRP	ENST00000503285	0.17	0.17	T	T
AEBP2	ENST00000541908	0.0255	0.0255	T	T
AFAP1	ENST00000382543	0.01739	0.01739	T	T
AFAP1L1	ENST00000296721	0.009305	0.009305	T	T
AFAP1L2	ENST00000369271	0.0755	0.0755	T	T
AFDN	ENST00000423229	0.05156	0.05156	T	T
AFTPH	ENST00000422803	0.003958	0.003958	T	T
AGAP1	ENST00000336665	0.02269	0.02269	T	T
AGAP1	ENST00000402604	0.1416	0.1416	F	T
AGAP1	ENST00000304032	0.2721	0.2721	F	T
AGAP1	ENST00000304032	0.3303	0.3303	F	T
AGBL1	ENST00000614907	0.2042	0.2042	T	T
AGPAT4	ENST00000320285	0.04958	0.04958	T	T
AGR3	ENST00000414935	0.1262	0.1262	T	T
AGTPBP1	ENST00000376083	0.02383	0.02383	T	T
AK7	ENST00000554706	0.07385	0.07385	T	T
AKAP1	ENST00000574683	0.004203	0.004203	T	T
AKR1C2	ENST00000421196	0.03347	0.03347	T	T
ALCAM	ENST00000306107	0.9811	0.9811	T	T
ALDH7A1	ENST00000510111	0.00461	0.00461	T	T
ALG10	ENST00000538927	0.5628	0.5628	T	T
ALOX12B	ENST00000649809	0.006452	0.006452	T	T
AMPD3	ENST00000532250	0.1122	0.1122	T	T
ANAPC10	ENST00000514390	0.03012	0.03012	T	T
ANAPC10	ENST00000613466	0.03012	0.03012	T	T
ANGPTL5	ENST00000534527	0.2363	0.2363	T	T
ANK3	ENST00000613207	0.001897	0.001897	T	T
ANKH	ENST00000646501	0.08116	0.08116	T	T
ANKHD1	ENST00000297183	0.03973	0.03973	T	T
ANKHD1	ENST00000616482	0.03973	0.03973	T	T
ANKK1	ENST00000303941	0.02694	0.02694	T	T
ANKRD33B	ENST00000296657	0.02519	0.02519	T	T
ANKRD50	ENST00000504087	0.2837	0.2837	T	T
ANKRD50	ENST00000515641	0.2837	0.2837	T	T
ANKRD50	ENST00000504087	0.3829	0.3829	F	T
ANKRD50	ENST00000515641	0.3829	0.3829	F	T
ANKRD50	ENST00000504087	0.9743	0.9743	F	T
ANKRD50	ENST00000515641	0.9743	0.9743	F	T
ANKS1B	ENST00000329257	0.1224	0.1224	T	T
ANP32E	ENST00000534437	0.03448	0.03448	T	T
ANXA10	ENST00000359299	0.2797	0.2797	T	T
ANXA2	ENST00000559176	0.1435	0.1435	T	T
AOAH	ENST00000617267	0.2523	0.2523	T	T
AOPEP	ENST00000428313	0.01502	0.01502	T	T
AOPEP	ENST00000445181	0.2114	0.2114	T	T
AOX1	ENST00000439380	0.08919	0.08919	T	T
AP2B1	ENST00000587805	0.002901	0.002901	T	T
AP3B1	ENST00000519295	0.1422	0.1422	T	T
AP5M1	ENST00000554863	0.06194	0.06194	T	T
APCDD1L	ENST00000425773	0.02104	0.02104	T	T
AQR	ENST00000560117	0.1659	0.1659	T	T
ARFIP1	ENST00000356064	0.03114	0.03114	T	T
ARGLU1	ENST00000400198	0.3699	0.3699	T	T
ARHGAP18	ENST00000368149	0.1409	0.1409	T	T
ARHGAP24	ENST00000395184	0.4335	0.4335	T	T
ARHGAP24	ENST00000395184	0.4337	0.4337	F	T
ARHGAP28	ENST00000532723	0.04254	0.04254	T	T
ARHGAP29	ENST00000370217	0.1229	0.1229	T	T
ARHGAP44	ENST00000262444	0.04851	0.04851	T	T
ARL1	ENST00000536227	0.1196	0.1196	T	T
ARL10	ENST00000503175	0.004154	0.004154	T	T
ARMC6	ENST00000535478	0.01451	0.01451	T	T
ARPP21	ENST00000450234	0.3567	0.3567	T	T
ARRDC4	ENST00000268042	0.6362	0.6362	T	T
ARSJ	ENST00000315366	0.4687	0.4687	T	T
ART5	ENST00000453353	0.1606	0.1606	T	T
ASAP1	ENST00000518721	0.1676	0.1676	T	T
ASRGL1	ENST00000528206	0.004273	0.004273	T	T
ATE1	ENST00000423243	0.08103	0.08103	T	T
ATG10	ENST00000282185	0.1696	0.1696	T	T
ATM	ENST00000527805	0.03619	0.03619	T	T
ATP10D	ENST00000504445	0.2979	0.2979	T	T
ATP11A	ENST00000418678	0.06261	0.06261	T	T
ATP1A2	ENST00000447527	0.02264	0.02264	T	T
ATP2B4	ENST00000357681	0.09777	0.09777	T	T
ATP6V0A2	ENST00000613625	0.004233	0.004233	T	T
ATPSCKMT	ENST00000511437	0.2929	0.2929	T	T
ATRN	ENST00000446916	0.07152	0.07152	T	T
ATRNL1	ENST00000526373	0.03628	0.03628	T	T
AUTS2	ENST00000664521	0.06094	0.06094	T	T
AUTS2	ENST00000643587	0.1144	0.1144	T	T
AUTS2	ENST00000664521	0.3954	0.3954	F	T
AUTS2	ENST00000664521	0.3961	0.3961	F	T
AVPR1A	ENST00000550940	0.1936	0.1936	T	T
B3GALNT1	ENST00000652593	0.06665	0.06665	T	T
B3GAT1	ENST00000312527	0.897	0.897	T	T
B3GNT2	ENST00000405767	0.08897	0.08897	T	T
