Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AACS	ENST00000316519	0.174	0.174	T	T
AADACL4	ENST00000376221	0.04005	0.04005	T	T
AATF	ENST00000619387	0.01432	0.01432	T	T
AATF	ENST00000616434	0.07175	0.07175	F	T
ABAT	ENST00000567812	0.004144	0.004144	T	T
ABCA3	ENST00000567910	0.01968	0.01968	T	T
ABCB8	ENST00000491920	0.006398	0.006398	T	T
ABCC12	ENST00000311303	0.007926	0.007926	T	T
ABCC12	ENST00000311303	0.04366	0.04366	F	T
ABCC4	ENST00000646439	0.09472	0.09472	T	T
ABCD3	ENST00000370214	0.08698	0.08698	T	T
ABCG8	ENST00000644611	0.01794	0.01794	T	T
ABHD12	ENST00000471287	0.02432	0.02432	T	T
ABHD12B	ENST00000337334	0.006951	0.006951	T	T
ABHD2	ENST00000352732	0.002517	0.002517	T	T
ABHD2	ENST00000569411	0.1532	0.1532	F	T
ABI2	ENST00000422511	0.0278	0.0278	T	T
ABL1	ENST00000318560	0.0111	0.0111	T	T
ABL2	ENST00000367623	0.0606	0.0606	T	T
ABL2	ENST00000507173	0.0606	0.0606	T	T
ABL2	ENST00000511413	0.0606	0.0606	T	T
ABR	ENST00000570525	0.007402	0.007402	T	T
ABR	ENST00000571797	0.0133	0.0133	T	T
ABT1	ENST00000274849	0.05572	0.05572	T	T
ACACA	ENST00000618053	0.09339	0.09339	T	T
ACAD9	ENST00000514336	0.001128	0.001128	T	T
ACAD9	ENST00000514336	0.04663	0.04663	F	T
ACCSL	ENST00000378832	0.06726	0.06726	T	T
ACER3	ENST00000534206	0.03869	0.03869	T	T
ACKR2	ENST00000497921	0.01048	0.01048	T	T
ACO2	ENST00000396512	0.03749	0.03749	T	T
ACOT11	ENST00000343744	0.05814	0.05814	T	T
ACOT11	ENST00000371316	0.05814	0.05814	T	T
ACSF3	ENST00000537895	0.02659	0.02659	T	T
ACSL3	ENST00000540115	0.03162	0.03162	T	T
ACSL5	ENST00000354273	0.06733	0.06733	T	T
ACSM1	ENST00000307493	0.008221	0.008221	T	T
ACSM3	ENST00000564701	0.007447	0.007447	T	T
ACSM6	ENST00000341686	0.07255	0.07255	T	T
ACTA2	ENST00000224784	0.02141	0.02141	T	T
