Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.02568	0.02568	T	T
A1CF	ENST00000373995	0.02568	0.02568	T	T
A1CF	ENST00000374001	0.02568	0.02568	T	T
A1CF	ENST00000395489	0.02568	0.02568	T	T
A1CF	ENST00000395495	0.02568	0.02568	T	T
A1CF	ENST00000414883	0.02568	0.02568	T	T
A1CF	ENST00000373993	0.08139	0.08139	F	T
A1CF	ENST00000373993	0.08954	0.08954	F	T
A2M	ENST00000318602	0.02709	0.02709	T	T
A2M	ENST00000318602	0.02785	0.02785	F	T
A2M	ENST00000318602	0.103	0.103	F	T
A2ML1	ENST00000299698	0.06828	0.06828	T	T
A4GALT	ENST00000249005	0.0007026	0.0007026	T	T
A4GALT	ENST00000401850	0.04555	0.04555	F	T
A4GALT	ENST00000642412	0.08746	0.08746	F	T
AACS	ENST00000316519	0.0335	0.0335	T	T
AACS	ENST00000316519	0.1008	0.1008	F	T
AADACL4	ENST00000376221	0.02142	0.02142	T	T
AADACL4	ENST00000376221	0.06276	0.06276	F	T
AADAT	ENST00000502392	0.201	0.201	F	T
AAK1	ENST00000409085	0.04157	0.04157	T	T
AAK1	ENST00000606389	0.05008	0.05008	T	T
AAK1	ENST00000623317	0.05008	0.05008	T	T
AAK1	ENST00000409085	0.06906	0.06906	F	T
AAMDC	ENST00000525034	0.01932	0.01932	T	T
AARS1	ENST00000261772	0.007218	0.007218	T	T
AARSD1	ENST00000430739	0.01066	0.01066	T	T
AASDHPPT	ENST00000278618	0.241	0.241	T	T
AASS	ENST00000393376	0.1014	0.1014	T	T
AATF	ENST00000610798	0.01407	0.01407	T	T
AATF	ENST00000619387	0.01475	0.01475	T	T
AATF	ENST00000616434	0.07093	0.07093	F	T
ABCA12	ENST00000389661	0.08009	0.08009	T	T
ABCA12	ENST00000272895	0.1696	0.1696	T	T
ABCA13	ENST00000435803	0.003056	0.003056	T	T
ABCA2	ENST00000614293	0.002207	0.002207	T	T
ABCA3	ENST00000567910	0.02274	0.02274	T	T
ABCA3	ENST00000567910	0.05618	0.05618	F	T
ABCA3	ENST00000382381	0.05627	0.05627	F	T
ABCA4	ENST00000649773	0.03832	0.03832	T	T
ABCA4	ENST00000536513	0.0888	0.0888	F	T
ABCA7	ENST00000263094	0.0003859	0.0003859	T	T
ABCA7	ENST00000524850	0.0003859	0.0003859	T	T
ABCA7	ENST00000611490	0.0003859	0.0003859	T	T
ABCA7	ENST00000433129	0.0004538	0.0004538	T	T
ABCA7	ENST00000531467	0.0004538	0.0004538	T	T
ABCA8	ENST00000430352	0.05733	0.05733	T	T
ABCA8	ENST00000586539	0.05733	0.05733	T	T
ABCA9	ENST00000495634	0.06308	0.06308	T	T
ABCB10	ENST00000344517	0.02378	0.02378	T	T
ABCB4	ENST00000417608	0.05041	0.05041	T	T
ABCB5	ENST00000258738	0.08643	0.08643	T	T
ABCB9	ENST00000542678	0.007796	0.007796	T	T
ABCC1	ENST00000572882	0.1107	0.1107	T	T
ABCC11	ENST00000569991	0.06125	0.06125	T	T
ABCC12	ENST00000311303	0.1356	0.1356	T	T
ABCC4	ENST00000646439	0.09363	0.09363	T	T
ABCC4	ENST00000645237	0.1151	0.1151	F	T
ABCC4	ENST00000645237	0.1164	0.1164	F	T
ABCC4	ENST00000645237	0.1204	0.1204	F	T
ABCC4	ENST00000645237	0.1239	0.1239	F	T
ABCC4	ENST00000645237	0.125	0.125	F	T
ABCC4	ENST00000646439	0.1986	0.1986	F	T
ABCC5	ENST00000437341	0.07591	0.07591	T	T
ABCC6	ENST00000205557	0.04117	0.04117	T	T
ABCD3	ENST00000370214	0.08639	0.08639	T	T
ABCF1	ENST00000326195	0.0277	0.0277	T	T
ABCF1	ENST00000468958	0.0277	0.0277	T	T
ABCG8	ENST00000644611	0.01658	0.01658	T	T
ABHD12	ENST00000471287	0.0037	0.0037	T	T
ABHD12	ENST00000450393	0.004669	0.004669	T	T
ABHD12B	ENST00000337334	0.01717	0.01717	T	T
ABHD13	ENST00000375898	0.01741	0.01741	T	T
