Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A4GALT	ENST00000381278	0.02162	0.02162	T	T
AAAS	ENST00000209873	0.0005267	0.0005267	T	T
AAAS	ENST00000394384	0.0005267	0.0005267	T	T
AAAS	ENST00000547757	0.0005267	0.0005267	T	T
AAAS	ENST00000547757	0.002948	0.002948	F	T
AACS	ENST00000316519	0.05061	0.05061	T	T
AACS	ENST00000316519	0.1503	0.1503	F	T
AADAC	ENST00000488869	0.01815	0.01815	T	T
AADACL2	ENST00000356517	0.0509	0.0509	T	T
AADACL4	ENST00000376221	0.0628	0.0628	T	T
AASDHPPT	ENST00000278618	0.004011	0.004011	T	T
AATF	ENST00000616434	0.07416	0.07416	T	T
ABCA12	ENST00000389661	0.05227	0.05227	T	T
ABCA3	ENST00000567910	0.05679	0.05679	T	T
ABCB1	ENST00000622132	0.08942	0.08942	T	T
ABCB10	ENST00000344517	0.02623	0.02623	T	T
ABCC8	ENST00000528374	0.01333	0.01333	T	T
ABCD3	ENST00000370214	0.08658	0.08658	T	T
ABCD3	ENST00000370214	0.1474	0.1474	F	T
ABCG8	ENST00000644611	0.01714	0.01714	T	T
ABHD12B	ENST00000337334	0.01814	0.01814	T	T
ABHD8	ENST00000593489	0.001459	0.001459	T	T
ABI3BP	ENST00000495063	0.01569	0.01569	T	T
ABI3BP	ENST00000284322	0.05144	0.05144	F	T
ABI3BP	ENST00000471714	0.05144	0.05144	F	T
ABLIM1	ENST00000277895	0.0009032	0.0009032	T	T
ABLIM1	ENST00000649363	0.0009032	0.0009032	T	T
ABLIM1	ENST00000651023	0.01643	0.01643	T	T
ABLIM1	ENST00000651092	0.02339	0.02339	T	T
ABLIM2	ENST00000514025	0.08598	0.08598	T	T
ABR	ENST00000570441	0.003101	0.003101	T	T
ABR	ENST00000572441	0.0101	0.0101	T	T
ABR	ENST00000543210	0.01138	0.01138	F	T
ABR	ENST00000574266	0.01556	0.01556	T	T
ABRA	ENST00000311955	0.2787	0.2787	T	T
ABT1	ENST00000274849	0.001514	0.001514	T	T
ACACA	ENST00000618053	0.09405	0.09405	T	T
ACACB	ENST00000544726	0.01541	0.01541	T	T
ACAD9	ENST00000514336	0.001527	0.001527	T	T
ACAD9	ENST00000514336	0.04574	0.04574	F	T
ACAD9	ENST00000308982	0.0743	0.0743	F	T
ACAP3	ENST00000354700	0.0003869	0.0003869	T	T
ACBD3	ENST00000366812	0.08146	0.08146	T	T
ACBD5	ENST00000375888	0.0314	0.0314	T	T
ACER3	ENST00000534206	0.009575	0.009575	T	T
ACIN1	ENST00000555566	0.00892	0.00892	T	T
ACKR3	ENST00000272928	0.2799	0.2799	T	T
ACO1	ENST00000309951	0.0009261	0.0009261	T	T
ACO1	ENST00000379923	0.0009261	0.0009261	T	T
ACO1	ENST00000541043	0.0009261	0.0009261	T	T
ACOT13	ENST00000230048	0.0007465	0.0007465	T	T
ACOT6	ENST00000554229	0.01469	0.01469	T	T
ACOX2	ENST00000474098	0.02827	0.02827	T	T
ACOX2	ENST00000474098	0.03025	0.03025	F	T
ACP7	ENST00000331256	0.0215	0.0215	T	T
ACR	ENST00000529621	0.001463	0.001463	T	T
ACSF3	ENST00000543676	0.003207	0.003207	T	T
ACSF3	ENST00000537895	0.07829	0.07829	F	T
ACSM4	ENST00000399422	0.05532	0.05532	T	T
ACTA1	ENST00000366683	0.001988	0.001988	T	T
ACTB	ENST00000647275	0.0189	0.0189	T	T
ACTL7B	ENST00000374667	0.8297	0.8297	T	T
ACTL8	ENST00000375406	0.006742	0.006742	T	T
ACTL8	ENST00000375406	0.01754	0.01754	F	T
ACTL8	ENST00000617065	0.1593	0.1593	F	T
ACTN1	ENST00000553779	0.02288	0.02288	T	T
ACTN4	ENST00000586538	0.01329	0.01329	T	T
ACTR1A	ENST00000487599	0.02293	0.02293	T	T
ACTR3	ENST00000535589	0.09501	0.09501	T	T
ACTR3	ENST00000535589	0.09725	0.09725	F	T
ACTR3	ENST00000535589	0.1016	0.1016	F	T
ACTR3C	ENST00000613959	0.3071	0.3071	T	T
ACTRT2	ENST00000378404	0.1096	0.1096	T	T
ACTRT3	ENST00000330368	0.02671	0.02671	T	T
ACVRL1	ENST00000552678	0.01633	0.01633	T	T
ADAD1	ENST00000446706	0.02197	0.02197	T	T
ADAD2	ENST00000567685	0.03814	0.03814	T	T
ADAM12	ENST00000368676	0.1919	0.1919	F	T
ADAM12	ENST00000368679	0.1919	0.1919	F	T
ADAM12	ENST00000448723	0.1919	0.1919	F	T
ADAM12	ENST00000368676	0.2048	0.2048	F	T
ADAM12	ENST00000368679	0.2048	0.2048	F	T
ADAM12	ENST00000448723	0.2048	0.2048	F	T
ADAM19	ENST00000257527	0.04299	0.04299	T	T
ADAM29	ENST00000514159	0.09793	0.09793	T	T
ADAMTS17	ENST00000561355	0.1341	0.1341	T	T
ADAMTS17	ENST00000568565	0.3669	0.3669	F	T
ADAMTS2	ENST00000274609	0.01611	0.01611	T	T
ADAMTS2	ENST00000518335	0.01611	0.01611	T	T
ADAMTS5	ENST00000284987	0.8767	0.8767	T	T
ADAMTSL1	ENST00000636209	0.00216	0.00216	T	T
ADAMTSL1	ENST00000380545	0.004624	0.004624	T	T
ADAMTSL1	ENST00000380545	0.1003	0.1003	F	T
ADAMTSL1	ENST00000276935	0.2964	0.2964	T	T
ADAMTSL3	ENST00000286744	0.05199	0.05199	T	T
ADAMTSL3	ENST00000286744	0.1628	0.1628	F	T
ADAMTSL3	ENST00000286744	0.4461	0.4461	F	T
ADAP1	ENST00000611167	0.005564	0.005564	T	T
ADAP1	ENST00000437486	0.009936	0.009936	T	T
ADAP1	ENST00000617043	0.009936	0.009936	T	T
ADAP1	ENST00000539900	0.01021	0.01021	T	T
ADARB1	ENST00000389863	0.009305	0.009305	T	T
ADARB1	ENST00000437626	0.009305	0.009305	T	T
ADARB2	ENST00000381312	0.157	0.157	T	T
ADARB2	ENST00000381312	0.2774	0.2774	F	T
ADARB2	ENST00000381312	0.7685	0.7685	F	T
ADCK1	ENST00000341211	0.1651	0.1651	T	T
ADCK1	ENST00000341211	0.3306	0.3306	F	T
ADCY10	ENST00000476818	0.01884	0.01884	T	T
ADCY2	ENST00000515681	0.1674	0.1674	T	T
ADCY2	ENST00000338316	0.6162	0.6162	F	T
ADCY5	ENST00000466617	0.1594	0.1594	T	T
ADCY9	ENST00000572288	0.1227	0.1227	T	T
ADGB	ENST00000367489	0.1268	0.1268	T	T
ADGRA3	ENST00000508133	0.406	0.406	T	T
ADGRB1	ENST00000323289	0.03896	0.03896	T	T
ADGRD1	ENST00000543617	0.4532	0.4532	T	T
ADGRE3	ENST00000595472	0.008715	0.008715	T	T
ADGRE3	ENST00000443157	0.06795	0.06795	F	T
ADGRE5	ENST00000358600	0.009857	0.009857	T	T
ADGRE5	ENST00000358600	0.126	0.126	F	T
ADGRG1	ENST00000563414	0.000988	0.000988	T	T
ADGRG1	ENST00000565391	0.008343	0.008343	T	T
ADGRG3	ENST00000450388	0.002416	0.002416	T	T
ADGRL1	ENST00000361434	0.007991	0.007991	T	T
ADGRL1	ENST00000361434	0.02847	0.02847	F	T
ADGRL1	ENST00000340736	0.1469	0.1469	F	T
ADGRL3	ENST00000502815	0.3859	0.3859	T	T
ADGRV1	ENST00000405460	0.03488	0.03488	T	T
ADORA2B	ENST00000304222	0.1908	0.1908	T	T
ADRA1B	ENST00000641205	0.3007	0.3007	T	T
ADRA1B	ENST00000641205	0.4917	0.4917	F	T
