Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
ABCA4	ENST00000649773	0.03828	0.03828	T	T
ABCA9	ENST00000495634	0.06354	0.06354	T	T
ABCC4	ENST00000645237	0.1153	0.1153	T	T
ABHD13	ENST00000375898	0.0174	0.0174	T	T
ACADSB	ENST00000358776	0.08001	0.08001	T	T
ACSL3	ENST00000540115	0.03776	0.03776	T	T
ACTL8	ENST00000617065	0.05234	0.05234	T	T
ADAMTS5	ENST00000284987	0.8066	0.8066	T	T
ADGRL2	ENST00000402328	0.06691	0.06691	T	T
ADGRL3	ENST00000502815	0.5368	0.5368	T	T
ADRA1B	ENST00000641205	0.3008	0.3008	T	T
ADTRP	ENST00000503285	0.1697	0.1697	T	T
AFDN	ENST00000423229	0.05154	0.05154	T	T
AK7	ENST00000555570	0.04589	0.04589	T	T
AKAIN1	ENST00000434239	0.6844	0.6844	T	T
ALCAM	ENST00000306107	0.9814	0.9814	T	T
ALG10	ENST00000538927	0.5624	0.5624	T	T
AMDHD1	ENST00000553023	0.00337	0.00337	T	T
AMPD3	ENST00000532250	0.1123	0.1123	T	T
ANGEL2	ENST00000366962	0.01944	0.01944	T	T
ANK3	ENST00000373827	0.01943	0.01943	T	T
ANKH	ENST00000646501	0.08094	0.08094	T	T
ANKHD1	ENST00000297183	0.03968	0.03968	T	T
ANKHD1	ENST00000616482	0.03968	0.03968	T	T
ANKRD50	ENST00000504087	0.7455	0.7455	T	T
ANKRD50	ENST00000515641	0.7455	0.7455	T	T
ANKRD6	ENST00000447838	0.01082	0.01082	T	T
AP5M1	ENST00000431972	0.007314	0.007314	T	T
APBA2	ENST00000558358	0.1546	0.1546	T	T
APBB1IP	ENST00000356785	0.1293	0.1293	T	T
APPL1	ENST00000444459	0.01271	0.01271	T	T
ARAP1	ENST00000334211	0.002686	0.002686	T	T
ARHGAP28	ENST00000532723	0.04254	0.04254	T	T
ARL4A	ENST00000404894	0.1359	0.1359	T	T
ARMC1	ENST00000518908	0.7018	0.7018	T	T
ARSJ	ENST00000315366	0.01184	0.01184	T	T
ASAP1	ENST00000518721	0.1674	0.1674	T	T
ATP11A	ENST00000418678	0.06242	0.06242	T	T
ATP1A2	ENST00000447527	0.02364	0.02364	T	T
ATP2B1	ENST00000551310	0.06904	0.06904	T	T
ATP6V0A2	ENST00000534943	0.008117	0.008117	T	T
ATPSCKMT	ENST00000511437	0.2929	0.2929	T	T
AUTS2	ENST00000664521	0.3957	0.3957	T	T
AVPR1A	ENST00000550940	0.1935	0.1935	T	T
AZIN2	ENST00000373440	0.05189	0.05189	T	T
AZIN2	ENST00000373441	0.05189	0.05189	T	T
B3GAT1	ENST00000312527	0.3786	0.3786	T	T
BANK1	ENST00000444316	0.4449	0.4449	T	T
BANP	ENST00000393207	0.1467	0.1467	F	T
BCAN	ENST00000361588	0.002912	0.002912	T	T
BCAP29	ENST00000005259	0.01291	0.01291	T	T
BCL2L11	ENST00000438054	0.645	0.645	T	T
BEND7	ENST00000440282	0.08659	0.08659	T	T
BICC1	ENST00000263103	0.2188	0.2188	T	T
BICC1	ENST00000263103	0.378	0.378	F	T
BICD1	ENST00000547680	0.1094	0.1094	T	T
BICD1	ENST00000281474	0.1184	0.1184	T	T
BICRA	ENST00000614245	0.03614	0.03614	T	T
BMPER	ENST00000297161	0.3192	0.3192	T	T
BRI3BP	ENST00000341446	0.008304	0.008304	T	T
BRINP1	ENST00000373964	0.6412	0.6412	T	T
BTBD2	ENST00000587742	0.01196	0.01196	T	T
BTBD2	ENST00000588395	0.01196	0.01196	T	T
BTC	ENST00000395743	0.1131	0.1131	T	T
BTG3	ENST00000348354	0.002288	0.002288	T	T
BUD13	ENST00000260210	0.9122	0.9122	T	T
BUD13	ENST00000375445	0.9122	0.9122	T	T
C8B	ENST00000535057	0.07014	0.07014	T	T
C8B	ENST00000543257	0.07014	0.07014	T	T
CA5A	ENST00000649794	0.06453	0.06453	T	T
CADPS	ENST00000490353	0.01012	0.01012	T	T
CAMK2D	ENST00000509594	0.1048	0.1048	T	T
CAMKMT	ENST00000403853	0.001362	0.001362	T	T
CAST	ENST00000510500	0.009808	0.009808	T	T
CBFA2T2	ENST00000492345	0.01931	0.01931	T	T
CBLN4	ENST00000064571	0.396	0.396	T	T
CCDC141	ENST00000446116	0.06818	0.06818	T	T
CCDC178	ENST00000406524	0.008971	0.008971	T	T
CD109	ENST00000287097	0.7256	0.7256	T	T
CD180	ENST00000256447	0.5857	0.5857	T	T
CD82	ENST00000525813	0.01592	0.01592	T	T
CD83	ENST00000379153	0.3117	0.3117	T	T
CD83	ENST00000379153	0.5276	0.5276	F	T
CDH10	ENST00000264463	0.8714	0.8714	T	T
