Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.0257	0.0257	T	T
A1CF	ENST00000373995	0.0257	0.0257	T	T
A1CF	ENST00000374001	0.0257	0.0257	T	T
A1CF	ENST00000395489	0.0257	0.0257	T	T
A1CF	ENST00000395495	0.0257	0.0257	T	T
A1CF	ENST00000414883	0.0257	0.0257	T	T
A2M	ENST00000318602	0.1031	0.1031	T	T
A2ML1	ENST00000299698	0.06827	0.06827	T	T
A4GALT	ENST00000642412	0.08144	0.08144	T	T
AADACL2	ENST00000356517	0.09368	0.09368	T	T
AADACL2	ENST00000356517	0.2406	0.2406	F	T
AADACL4	ENST00000376221	0.06293	0.06293	T	T
AADAT	ENST00000502392	0.1184	0.1184	F	T
AADAT	ENST00000502392	0.4688	0.4688	F	T
AAK1	ENST00000409085	0.05657	0.05657	T	T
AARSD1	ENST00000430739	0.0107	0.0107	T	T
AASDHPPT	ENST00000278618	0.2407	0.2407	T	T
AASDHPPT	ENST00000278618	0.9259	0.9259	F	T
AASS	ENST00000417368	0.03434	0.03434	T	T
AASS	ENST00000393376	0.08903	0.08903	F	T
AASS	ENST00000393376	0.1012	0.1012	F	T
AASS	ENST00000393376	0.1108	0.1108	F	T
ABCA1	ENST00000374733	0.0595	0.0595	T	T
ABCA1	ENST00000423487	0.0595	0.0595	T	T
ABCA12	ENST00000389661	0.07991	0.07991	T	T
ABCA12	ENST00000272895	0.1103	0.1103	T	T
ABCA12	ENST00000272895	0.1697	0.1697	F	T
ABCA13	ENST00000435803	0.02937	0.02937	T	T
ABCA13	ENST00000544596	0.1213	0.1213	T	T
ABCA4	ENST00000649773	0.03838	0.03838	T	T
ABCA4	ENST00000536513	0.08873	0.08873	F	T
ABCA8	ENST00000430352	0.05717	0.05717	T	T
ABCA8	ENST00000586539	0.05717	0.05717	T	T
ABCA8	ENST00000585531	0.08342	0.08342	F	T
ABCA8	ENST00000585531	0.1574	0.1574	F	T
ABCA9	ENST00000495634	0.06305	0.06305	T	T
ABCB11	ENST00000649448	0.005971	0.005971	T	T
ABCB11	ENST00000650372	0.012	0.012	T	T
ABCB11	ENST00000648875	0.01282	0.01282	T	T
ABCB5	ENST00000258738	0.08634	0.08634	T	T
ABCC12	ENST00000311303	0.2945	0.2945	T	T
ABCC4	ENST00000645237	0.1152	0.1152	T	T
ABCD3	ENST00000370214	0.1273	0.1273	T	T
ABHD13	ENST00000375898	0.01745	0.01745	T	T
ABHD17B	ENST00000333421	0.02524	0.02524	F	T
ABHD2	ENST00000569411	0.00631	0.00631	T	T
ABHD2	ENST00000352732	0.03371	0.03371	F	T
ABI1	ENST00000376140	0.02994	0.02994	T	T
ABI1	ENST00000376140	0.1091	0.1091	F	T
ABI3BP	ENST00000495063	0.005304	0.005304	T	T
ABI3BP	ENST00000495063	0.04287	0.04287	F	T
ABL1	ENST00000318560	0.05121	0.05121	T	T
ABLIM1	ENST00000369256	0.05989	0.05989	T	T
ABLIM1	ENST00000392952	0.06053	0.06053	T	T
ABLIM1	ENST00000369256	0.06624	0.06624	F	T
ABLIM1	ENST00000392952	0.09004	0.09004	F	T
ABLIM2	ENST00000510277	0.04095	0.04095	T	T
ABRA	ENST00000311955	0.4634	0.4634	F	T
ABRA	ENST00000311955	0.4744	0.4744	F	T
ACAA1	ENST00000452171	0.02778	0.02778	T	T
ACAA1	ENST00000452171	0.03932	0.03932	F	T
ACAA2	ENST00000585948	0.1135	0.1135	T	T
ACAA2	ENST00000585948	0.1885	0.1885	F	T
ACACA	ENST00000619546	0.07494	0.07494	T	T
ACADS	ENST00000411593	0.008529	0.008529	T	T
ACADSB	ENST00000358776	0.08004	0.08004	T	T
ACBD3	ENST00000366812	0.1064	0.1064	T	T
ACE	ENST00000579409	0.005698	0.005698	T	T
ACKR1	ENST00000537147	0.02824	0.02824	T	T
ACKR2	ENST00000494619	0.006923	0.006923	T	T
ACKR3	ENST00000272928	0.4861	0.4861	T	T
ACKR4	ENST00000249887	0.003224	0.003224	T	T
ACMSD	ENST00000392928	0.05314	0.05314	T	T
ACO1	ENST00000541043	0.07902	0.07902	T	T
ACOT13	ENST00000230048	0.0341	0.0341	T	T
ACOT4	ENST00000326303	0.001331	0.001331	T	T
ACOXL	ENST00000433706	0.01701	0.01701	T	T
ACOXL	ENST00000389811	0.02193	0.02193	T	T
ACOXL	ENST00000439055	0.02193	0.02193	T	T
ACSBG1	ENST00000559241	0.01952	0.01952	T	T
ACSL1	ENST00000515030	0.0009541	0.0009541	T	T
ACSL1	ENST00000515030	0.00549	0.00549	F	T
ACSL1	ENST00000513317	0.01167	0.01167	T	T
ACSL1	ENST00000515030	0.06061	0.06061	F	T
ACSL1	ENST00000515030	0.1127	0.1127	F	T
ACSL3	ENST00000540115	0.01672	0.01672	T	T
ACSL3	ENST00000540115	0.0383	0.0383	F	T
ACSL3	ENST00000540115	0.05978	0.05978	F	T
ACSL3	ENST00000392066	0.1686	0.1686	F	T
ACSL5	ENST00000354273	0.04989	0.04989	T	T
ACSM6	ENST00000394005	0.003002	0.003002	T	T
ACSM6	ENST00000394005	0.01501	0.01501	F	T
ACSM6	ENST00000394005	0.07326	0.07326	F	T
ACSS1	ENST00000376726	0.01045	0.01045	T	T
ACSS1	ENST00000323482	0.01116	0.01116	T	T
ACSS3	ENST00000548058	0.1944	0.1944	T	T
ACSS3	ENST00000548058	0.1976	0.1976	F	T
ACTBL2	ENST00000423391	0.4388	0.4388	T	T
ACTBL2	ENST00000423391	0.6872	0.6872	F	T
ACTL7B	ENST00000374667	0.15	0.15	T	T
ACTL7B	ENST00000374667	0.2729	0.2729	F	T
ACTL8	ENST00000617065	0.05215	0.05215	T	T
ACTN1	ENST00000553779	0.01845	0.01845	T	T
