Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000373993	0.0895	0.0895	T	T
A2M	ENST00000318602	0.08724	0.08724	T	T
A2ML1	ENST00000545692	0.01055	0.01055	T	T
A3GALT2	ENST00000442999	0.02035	0.02035	T	T
A4GALT	ENST00000401850	0.008715	0.008715	T	T
AACS	ENST00000316519	0.0243	0.0243	T	T
AADACL4	ENST00000376221	0.06752	0.06752	T	T
AAK1	ENST00000409068	0.01266	0.01266	T	T
AAK1	ENST00000409068	0.1025	0.1025	F	T
AAR2	ENST00000373932	0.03828	0.03828	T	T
AARS1	ENST00000261772	0.00732	0.00732	T	T
AARS1	ENST00000565361	0.01229	0.01229	T	T
AATF	ENST00000619387	0.01356	0.01356	T	T
AATF	ENST00000619387	0.01455	0.01455	F	T
AATF	ENST00000616434	0.03811	0.03811	T	T
ABAT	ENST00000567812	0.004132	0.004132	T	T
ABCA12	ENST00000389661	0.05209	0.05209	T	T
ABCA2	ENST00000614293	0.002292	0.002292	T	T
ABCA2	ENST00000490486	0.005294	0.005294	T	T
ABCA3	ENST00000567910	0.002738	0.002738	T	T
ABCA3	ENST00000567910	0.009528	0.009528	F	T
ABCA3	ENST00000567910	0.02337	0.02337	F	T
ABCB1	ENST00000622132	0.07399	0.07399	T	T
ABCB10	ENST00000344517	0.01585	0.01585	T	T
ABCB10	ENST00000344517	0.02237	0.02237	F	T
ABCB8	ENST00000491920	0.005893	0.005893	T	T
ABCB9	ENST00000542678	0.007623	0.007623	T	T
ABCB9	ENST00000344275	0.01202	0.01202	T	T
ABCB9	ENST00000442833	0.01202	0.01202	T	T
ABCB9	ENST00000542678	0.02022	0.02022	F	T
ABCB9	ENST00000542678	0.02426	0.02426	F	T
ABCC2	ENST00000647814	0.0663	0.0663	F	T
ABCC2	ENST00000648689	0.0663	0.0663	F	T
ABCC5	ENST00000437341	0.001351	0.001351	T	T
ABCC5	ENST00000437341	0.07441	0.07441	F	T
ABCC5	ENST00000437341	0.07921	0.07921	F	T
ABCC5	ENST00000437341	0.1176	0.1176	F	T
ABCC5	ENST00000437341	0.1182	0.1182	F	T
ABCD3	ENST00000370214	0.1472	0.1472	T	T
ABCF1	ENST00000326195	0.02696	0.02696	T	T
ABCF1	ENST00000468958	0.02696	0.02696	T	T
ABCF1	ENST00000326195	0.02829	0.02829	F	T
ABCF1	ENST00000468958	0.02829	0.02829	F	T
ABCF1	ENST00000326195	0.03459	0.03459	F	T
ABCF1	ENST00000468958	0.03459	0.03459	F	T
ABCF1	ENST00000326195	0.03735	0.03735	F	T
ABCF1	ENST00000468958	0.03735	0.03735	F	T
ABCG8	ENST00000644611	0.01717	0.01717	T	T
ABHD11	ENST00000222800	0.0305	0.0305	T	T
ABHD12	ENST00000471287	0.003476	0.003476	T	T
ABHD2	ENST00000352732	0.04169	0.04169	T	T
ABHD2	ENST00000352732	0.1212	0.1212	F	T
ABHD2	ENST00000569411	0.1534	0.1534	F	T
ABHD5	ENST00000463153	0.02922	0.02922	T	T
ABI2	ENST00000422511	0.006716	0.006716	T	T
ABL2	ENST00000367623	0.06157	0.06157	T	T
ABL2	ENST00000507173	0.06157	0.06157	T	T
ABL2	ENST00000511413	0.06157	0.06157	T	T
ABLIM1	ENST00000392952	0.04156	0.04156	T	T
ABLIM2	ENST00000505872	0.07421	0.07421	T	T
ABR	ENST00000574139	0.04046	0.04046	T	T
ABT1	ENST00000274849	0.001531	0.001531	T	T
ABTB2	ENST00000435224	0.0431	0.0431	T	T
ACACA	ENST00000621960	0.005255	0.005255	T	T
ACACA	ENST00000621960	0.01565	0.01565	F	T
ACADL	ENST00000233710	0.01456	0.01456	T	T
ACADS	ENST00000411593	0.008343	0.008343	T	T
ACADS	ENST00000411593	0.02853	0.02853	F	T
ACAP1	ENST00000575425	0.01366	0.01366	T	T
ACAP1	ENST00000575425	0.0146	0.0146	F	T
