Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.01836	0.01836	T	T
A1CF	ENST00000373995	0.01836	0.01836	T	T
A1CF	ENST00000374001	0.01836	0.01836	T	T
A1CF	ENST00000395489	0.01836	0.01836	T	T
A1CF	ENST00000395495	0.01836	0.01836	T	T
A1CF	ENST00000414883	0.01836	0.01836	T	T
A1CF	ENST00000282641	0.02554	0.02554	F	T
A1CF	ENST00000373995	0.02554	0.02554	F	T
A1CF	ENST00000374001	0.02554	0.02554	F	T
A1CF	ENST00000395489	0.02554	0.02554	F	T
A1CF	ENST00000395495	0.02554	0.02554	F	T
A1CF	ENST00000414883	0.02554	0.02554	F	T
A1CF	ENST00000282641	0.0267	0.0267	F	T
A1CF	ENST00000373995	0.0267	0.0267	F	T
A1CF	ENST00000374001	0.0267	0.0267	F	T
A1CF	ENST00000395489	0.0267	0.0267	F	T
A1CF	ENST00000395495	0.0267	0.0267	F	T
A1CF	ENST00000414883	0.0267	0.0267	F	T
A2M	ENST00000318602	0.099	0.099	T	T
A2M	ENST00000318602	0.103	0.103	F	T
A2ML1	ENST00000545692	0.0002379	0.0002379	T	T
A2ML1	ENST00000545692	0.00893	0.00893	F	T
A2ML1	ENST00000299698	0.06729	0.06729	F	T
A4GALT	ENST00000249005	0.0007636	0.0007636	T	T
A4GALT	ENST00000249005	0.009138	0.009138	F	T
A4GALT	ENST00000401850	0.03078	0.03078	F	T
A4GALT	ENST00000642412	0.03241	0.03241	T	T
A4GALT	ENST00000642412	0.08115	0.08115	F	T
A4GNT	ENST00000236709	0.008593	0.008593	T	T
AACS	ENST00000316519	0.02975	0.02975	T	T
AACS	ENST00000316519	0.05676	0.05676	F	T
AACS	ENST00000316519	0.1507	0.1507	F	T
AADAC	ENST00000232892	0.01857	0.01857	T	T
AADACL2	ENST00000356517	0.08831	0.08831	T	T
AADACL2	ENST00000356517	0.2408	0.2408	F	T
AADACL4	ENST00000376221	0.06303	0.06303	T	T
AADACL4	ENST00000376221	0.06752	0.06752	F	T
AADACL4	ENST00000376221	0.06932	0.06932	F	T
AADAT	ENST00000502392	0.1623	0.1623	F	T
AADAT	ENST00000502392	0.3278	0.3278	F	T
AADAT	ENST00000502392	0.8842	0.8842	F	T
AADAT	ENST00000502392	0.9795	0.9795	F	T
AAK1	ENST00000606389	0.04943	0.04943	T	T
AAK1	ENST00000623317	0.04943	0.04943	T	T
AAK1	ENST00000409085	0.06902	0.06902	T	T
AAR2	ENST00000373932	0.016	0.016	T	T
AASDHPPT	ENST00000278618	0.08614	0.08614	T	T
AASDHPPT	ENST00000278618	0.2409	0.2409	F	T
AASDHPPT	ENST00000278618	0.5481	0.5481	F	T
AASDHPPT	ENST00000278618	0.9265	0.9265	F	T
AASS	ENST00000417368	0.03046	0.03046	T	T
AASS	ENST00000417368	0.03441	0.03441	F	T
AASS	ENST00000393376	0.1012	0.1012	F	T
ABCA10	ENST00000521538	0.02561	0.02561	T	T
ABCA12	ENST00000389661	0.0801	0.0801	T	T
ABCA12	ENST00000272895	0.1695	0.1695	T	T
ABCA13	ENST00000435803	0.02739	0.02739	T	T
ABCA13	ENST00000435803	0.08998	0.08998	F	T
ABCA4	ENST00000536513	0.01381	0.01381	T	T
ABCA4	ENST00000649773	0.03832	0.03832	T	T
ABCA4	ENST00000536513	0.08891	0.08891	F	T
ABCA5	ENST00000592568	0.0027	0.0027	T	T
ABCA8	ENST00000430352	0.0572	0.0572	T	T
ABCA8	ENST00000586539	0.0572	0.0572	T	T
ABCA8	ENST00000585531	0.08336	0.08336	F	T
ABCA8	ENST00000585531	0.1576	0.1576	F	T
ABCA9	ENST00000495634	0.06244	0.06244	T	T
ABCA9	ENST00000495634	0.06359	0.06359	F	T
ABCB11	ENST00000648875	0.01281	0.01281	T	T
ABCB11	ENST00000650372	0.0435	0.0435	T	T
ABCB4	ENST00000417608	0.05015	0.05015	T	T
ABCB5	ENST00000258738	0.08292	0.08292	T	T
ABCB5	ENST00000258738	0.08639	0.08639	F	T
ABCC1	ENST00000572882	0.1107	0.1107	T	T
ABCC1	ENST00000572882	0.1207	0.1207	F	T
ABCC4	ENST00000645237	0.02378	0.02378	T	T
ABCC4	ENST00000645237	0.1151	0.1151	F	T
ABCC4	ENST00000646439	0.2056	0.2056	F	T
ABCD3	ENST00000370214	0.1274	0.1274	T	T
ABHD12	ENST00000471287	0.03674	0.03674	T	T
ABHD12B	ENST00000337334	0.03377	0.03377	T	T
ABHD13	ENST00000375898	0.01743	0.01743	T	T
ABHD13	ENST00000375898	0.03037	0.03037	F	T
ABHD16A	ENST00000395952	0.002157	0.002157	T	T
ABHD17A	ENST00000250974	0.001508	0.001508	T	T
ABHD17B	ENST00000333421	0.02531	0.02531	F	T
ABHD2	ENST00000352732	0.00234	0.00234	T	T
ABHD2	ENST00000569411	0.006022	0.006022	F	T
ABHD3	ENST00000289119	0.02839	0.02839	T	T
ABI1	ENST00000376140	0.1103	0.1103	T	T
ABI2	ENST00000451591	0.03387	0.03387	T	T
ABI3BP	ENST00000495063	0.005329	0.005329	T	T
ABI3BP	ENST00000284322	0.05146	0.05146	F	T
ABI3BP	ENST00000471714	0.05146	0.05146	F	T
ABI3BP	ENST00000495063	0.06739	0.06739	F	T
ABL1	ENST00000318560	0.009867	0.009867	T	T
ABLIM1	ENST00000651092	0.001475	0.001475	T	T
ABLIM1	ENST00000649363	0.02339	0.02339	T	T
ABLIM1	ENST00000369256	0.05014	0.05014	T	T
ABLIM1	ENST00000651023	0.07917	0.07917	F	T
ABLIM1	ENST00000392952	0.08322	0.08322	T	T
ABLIM1	ENST00000392952	0.08983	0.08983	F	T
ABLIM2	ENST00000510277	0.03682	0.03682	T	T
ABLIM2	ENST00000510277	0.04104	0.04104	F	T
ABR	ENST00000574266	0.01612	0.01612	T	T
ABR	ENST00000574266	0.04253	0.04253	F	T
ABRA	ENST00000311955	0.4636	0.4636	F	T
ABRACL	ENST00000367660	0.03128	0.03128	T	T
ABTB2	ENST00000435224	0.04406	0.04406	T	T
ACACA	ENST00000614438	0.01703	0.01703	T	T
ACACA	ENST00000618053	0.0978	0.0978	T	T
ACACB	ENST00000338432	0.01416	0.01416	T	T
ACACB	ENST00000544726	0.08293	0.08293	T	T
ACAD10	ENST00000552706	0.007379	0.007379	T	T
ACAD9	ENST00000514336	0.001343	0.001343	T	T
ACAD9	ENST00000514336	0.04403	0.04403	F	T
ACADL	ENST00000233710	0.01454	0.01454	T	T
ACADM	ENST00000420607	0.01378	0.01378	T	T
ACADS	ENST00000411593	0.009796	0.009796	T	T
ACADSB	ENST00000358776	0.07994	0.07994	T	T
ACADSB	ENST00000358776	0.1251	0.1251	F	T
ACAT1	ENST00000265838	0.05611	0.05611	T	T
ACE	ENST00000579409	0.005893	0.005893	T	T
ACER2	ENST00000340967	0.02867	0.02867	T	T
ACKR1	ENST00000537147	0.02807	0.02807	T	T
ACKR2	ENST00000494619	0.00679	0.00679	T	T
ACKR3	ENST00000447924	0.0006318	0.0006318	T	T
ACKR3	ENST00000447924	0.001286	0.001286	F	T
ACKR3	ENST00000272928	0.1419	0.1419	F	T
ACKR3	ENST00000272928	0.2927	0.2927	F	T
ACKR4	ENST00000249887	0.003083	0.003083	T	T
ACO1	ENST00000541043	0.07979	0.07979	T	T
ACOT4	ENST00000326303	0.0007457	0.0007457	T	T
ACOT4	ENST00000326303	0.001981	0.001981	F	T
ACOT7	ENST00000473466	0.064	0.064	T	T
ACOXL	ENST00000389811	0.02207	0.02207	T	T
ACOXL	ENST00000439055	0.02207	0.02207	T	T
ACSBG1	ENST00000560817	0.01465	0.01465	T	T
ACSBG2	ENST00000591738	0.0002369	0.0002369	T	T
ACSL1	ENST00000513317	0.01175	0.01175	T	T
ACSL1	ENST00000515030	0.1126	0.1126	F	T
ACSL3	ENST00000540115	0.02125	0.02125	T	T
ACSL3	ENST00000540115	0.03796	0.03796	F	T
ACSL3	ENST00000540115	0.03922	0.03922	F	T
ACSL3	ENST00000540115	0.05986	0.05986	F	T
ACSL5	ENST00000354273	0.05006	0.05006	T	T
ACSM1	ENST00000307493	0.005097	0.005097	T	T
ACSM1	ENST00000520010	0.005731	0.005731	T	T
ACSM1	ENST00000307493	0.007673	0.007673	F	T
ACSM1	ENST00000524149	0.01469	0.01469	T	T
ACSM4	ENST00000399422	0.04282	0.04282	T	T
ACSM6	ENST00000394005	0.0731	0.0731	T	T
ACSM6	ENST00000394005	0.08569	0.08569	F	T
ACSS3	ENST00000261206	0.0004688	0.0004688	T	T
ACSS3	ENST00000548058	0.0004688	0.0004688	T	T
ACSS3	ENST00000548058	0.05742	0.05742	F	T
ACSS3	ENST00000548058	0.1977	0.1977	F	T
ACTA1	ENST00000366684	0.08969	0.08969	T	T
ACTA2	ENST00000415557	0.08155	0.08155	T	T
ACTB	ENST00000432588	0.01143	0.01143	T	T
ACTBL2	ENST00000423391	0.3953	0.3953	T	T
ACTBL2	ENST00000423391	0.439	0.439	F	T
ACTBL2	ENST00000423391	0.5439	0.5439	F	T
ACTBL2	ENST00000423391	0.688	0.688	F	T
ACTC1	ENST00000290378	0.02296	0.02296	T	T
ACTL6A	ENST00000450518	0.005631	0.005631	T	T
ACTL6A	ENST00000450518	0.03091	0.03091	F	T
ACTL7B	ENST00000374667	0.2415	0.2415	T	T
ACTL7B	ENST00000374667	0.3655	0.3655	F	T
ACTL7B	ENST00000374667	0.8766	0.8766	F	T
ACTL8	ENST00000375406	0.01787	0.01787	T	T
ACTL8	ENST00000617065	0.05246	0.05246	T	T
ACTN1	ENST00000376839	0.01157	0.01157	T	T
ACTN1	ENST00000553779	0.01837	0.01837	T	T
ACTN1	ENST00000544964	0.05321	0.05321	T	T
ACTN1	ENST00000193403	0.1727	0.1727	F	T
ACTR1A	ENST00000487599	0.0005568	0.0005568	T	T
ACTR3B	ENST00000397282	0.2469	0.2469	F	T
ACTR3B	ENST00000397282	0.7366	0.7366	F	T
ACTR3C	ENST00000613959	0.05791	0.05791	T	T
ACTR3C	ENST00000613959	0.2995	0.2995	F	T
ACTR3C	ENST00000613959	0.3358	0.3358	F	T
ACTR3C	ENST00000613959	0.3453	0.3453	F	T
ACTR3C	ENST00000613959	0.3669	0.3669	F	T
ACTRT3	ENST00000330368	0.02238	0.02238	F	T
ACVR1B	ENST00000257963	0.02688	0.02688	T	T
ACVR1C	ENST00000243349	0.05539	0.05539	T	T
ACVR1C	ENST00000243349	0.05601	0.05601	F	T
ACVR2A	ENST00000535787	0.5306	0.5306	F	T
ACVR2B	ENST00000352511	0.01952	0.01952	T	T
ADA2	ENST00000649310	0.02351	0.02351	T	T
ADA2	ENST00000649746	0.02351	0.02351	T	T
ADAM10	ENST00000402627	0.1469	0.1469	T	T
ADAM10	ENST00000402627	0.1979	0.1979	F	T
ADAM15	ENST00000447332	0.006103	0.006103	T	T
ADAM18	ENST00000520772	0.0003509	0.0003509	T	T
ADAM18	ENST00000265707	0.1519	0.1519	F	T
ADAM19	ENST00000517905	0.02573	0.02573	T	T
ADAM2	ENST00000347580	0.0618	0.0618	T	T
ADAM2	ENST00000347580	0.06428	0.06428	F	T
ADAM22	ENST00000398203	0.03732	0.03732	T	T
ADAM22	ENST00000398203	0.1443	0.1443	F	T
ADAM22	ENST00000426930	0.1685	0.1685	T	T
ADAM23	ENST00000444281	0.0146	0.0146	T	T
ADAM23	ENST00000444281	0.09538	0.09538	F	T
ADAM23	ENST00000264377	0.1364	0.1364	T	T
ADAM28	ENST00000265769	0.01557	0.01557	T	T
ADAM28	ENST00000265769	0.3453	0.3453	F	T
ADAM29	ENST00000514159	0.2781	0.2781	T	T
ADAM29	ENST00000514159	0.4291	0.4291	F	T
ADAM29	ENST00000514159	0.4336	0.4336	F	T
ADAM29	ENST00000514159	0.7725	0.7725	F	T
ADAM29	ENST00000514159	0.8078	0.8078	F	T
ADAM30	ENST00000369400	0.05335	0.05335	T	T
ADAM30	ENST00000369400	0.05484	0.05484	F	T
ADAM32	ENST00000521741	0.1601	0.1601	T	T
ADAMTS1	ENST00000517777	0.195	0.195	T	T
ADAMTS12	ENST00000352040	0.05667	0.05667	T	T
ADAMTS14	ENST00000373207	0.02292	0.02292	T	T
ADAMTS15	ENST00000299164	0.1305	0.1305	T	T
ADAMTS16	ENST00000274181	0.00208	0.00208	T	T
ADAMTS16	ENST00000511368	0.00208	0.00208	T	T
