Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
ABCA5	ENST00000592568	0.002715	0.002715	T	T
ABCA9	ENST00000495634	0.06352	0.06352	T	T
ABHD2	ENST00000569411	0.01182	0.01182	T	T
ABLIM1	ENST00000369256	0.05976	0.05976	T	T
ACAA1	ENST00000452171	0.01388	0.01388	T	T
ACOXL	ENST00000433706	0.01705	0.01705	T	T
ACSL5	ENST00000354655	0.007212	0.007212	T	T
ACTR10	ENST00000254286	0.03738	0.03738	T	T
ADAM2	ENST00000347580	0.0721	0.0721	T	T
ADAM30	ENST00000369400	0.102	0.102	T	T
ADAMTS5	ENST00000284987	0.9732	0.9732	T	T
ADAMTS9	ENST00000481060	0.03932	0.03932	T	T
ADAMTSL4	ENST00000271643	0.01116	0.01116	T	T
ADAMTSL4	ENST00000369039	0.01116	0.01116	T	T
ADARB2	ENST00000381305	0.2449	0.2449	T	T
ADCY2	ENST00000338316	0.1863	0.1863	T	T
ADGRB3	ENST00000546190	0.2826	0.2826	T	T
ADGRL2	ENST00000359929	0.02282	0.02282	T	T
ADGRL2	ENST00000359929	0.0338	0.0338	F	T
ADGRL2	ENST00000370721	0.548	0.548	T	T
ADGRL2	ENST00000370723	0.548	0.548	T	T
ADGRL2	ENST00000370725	0.548	0.548	T	T
ADGRL2	ENST00000370727	0.548	0.548	T	T
ADGRL2	ENST00000370728	0.548	0.548	T	T
ADGRL2	ENST00000370730	0.548	0.548	T	T
ADGRL2	ENST00000402328	0.6695	0.6695	F	T
ADGRV1	ENST00000640369	0.2186	0.2186	T	T
ADRA2C	ENST00000330055	0.3257	0.3257	T	T
AFAP1	ENST00000358461	0.02178	0.02178	T	T
AFAP1	ENST00000420658	0.02178	0.02178	T	T
AGBL4	ENST00000416121	0.1581	0.1581	T	T
AHI1	ENST00000457866	0.1498	0.1498	T	T
AJAP1	ENST00000378191	0.417	0.417	T	T
AK4	ENST00000545314	0.167	0.167	T	T
AK7	ENST00000555570	0.04583	0.04583	T	T
AK9	ENST00000490722	0.002207	0.002207	T	T
ALK	ENST00000642122	0.1051	0.1051	T	T
AMPD3	ENST00000532250	0.02731	0.02731	T	T
AMPD3	ENST00000532250	0.1117	0.1117	F	T
ANAPC1	ENST00000427997	0.6606	0.6606	T	T
ANAPC10	ENST00000514390	0.05526	0.05526	T	T
ANAPC10	ENST00000613466	0.05526	0.05526	T	T
ANGPT1	ENST00000297450	0.07998	0.07998	T	T
ANKRD28	ENST00000399451	0.2236	0.2236	T	T
ANKRD36	ENST00000620383	0.09063	0.09063	T	T
ANKRD50	ENST00000504087	0.1686	0.1686	T	T
ANKRD50	ENST00000515641	0.1686	0.1686	T	T
ANKS1B	ENST00000551560	0.01399	0.01399	T	T
ANO1	ENST00000355303	0.02399	0.02399	T	T
ANP32D	ENST00000266594	0.1137	0.1137	T	T
ANXA10	ENST00000359299	0.0112	0.0112	T	T
ANXA10	ENST00000359299	0.1315	0.1315	F	T
ANXA10	ENST00000359299	0.1342	0.1342	F	T
ANXA2	ENST00000557904	0.01924	0.01924	T	T
AOPEP	ENST00000277198	0.02105	0.02105	T	T
AOPEP	ENST00000277198	0.04847	0.04847	F	T
AP5M1	ENST00000431972	0.007429	0.007429	T	T
APBA2	ENST00000558358	0.09126	0.09126	T	T
APOF	ENST00000398189	0.05487	0.05487	T	T
APPL1	ENST00000444459	0.01261	0.01261	T	T
ARAP3	ENST00000239440	0.1149	0.1149	T	T
ARHGAP20	ENST00000527598	0.3002	0.3002	T	T
ARHGAP20	ENST00000533353	0.3002	0.3002	T	T
ARHGAP42	ENST00000524892	0.02273	0.02273	T	T
ARHGEF28	ENST00000296799	0.002866	0.002866	T	T
ARHGEF28	ENST00000512883	0.4334	0.4334	F	T
ARIH1	ENST00000562891	0.09084	0.09084	T	T
ARSJ	ENST00000315366	0.01192	0.01192	T	T
ASH1L	ENST00000368346	0.002116	0.002116	T	T
ASXL2	ENST00000404843	0.0177	0.0177	T	T
ATL2	ENST00000629272	0.01015	0.01015	T	T
ATP11B	ENST00000493826	0.7188	0.7188	T	T
ATP23	ENST00000300145	0.0714	0.0714	T	T
ATP6V1B2	ENST00000519667	0.03035	0.03035	T	T
AUTS2	ENST00000644939	0.7814	0.7814	T	T
AVL9	ENST00000446718	0.02193	0.02193	T	T
AVPR1A	ENST00000550940	0.2048	0.2048	T	T
AVPR1A	ENST00000299178	0.3071	0.3071	F	T
B3GLCT	ENST00000343307	0.05934	0.05934	T	T
B3GNT8	ENST00000321702	0.003073	0.003073	T	T
BASP1	ENST00000606445	0.001652	0.001652	T	T
BASP1	ENST00000606445	0.07186	0.07186	F	T
BASP1	ENST00000616743	0.1246	0.1246	T	T
BCAP29	ENST00000005259	0.01159	0.01159	T	T
BCAS3	ENST00000408905	0.03076	0.03076	T	T
BCAS3	ENST00000588462	0.03076	0.03076	T	T
BCAS3	ENST00000639611	0.03076	0.03076	T	T
BCL2L11	ENST00000432179	0.0932	0.0932	T	T
BCL7C	ENST00000572628	0.08201	0.08201	T	T
BMP4	ENST00000609748	0.2586	0.2586	T	T
BMPER	ENST00000297161	0.3192	0.3192	T	T
BOD1	ENST00000462674	0.08114	0.08114	T	T
BOD1L1	ENST00000040738	0.8649	0.8649	T	T
BRME1	ENST00000346736	0.0006476	0.0006476	T	T
BRME1	ENST00000591586	0.0006476	0.0006476	T	T
