Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.02549	0.02549	T	T
A1CF	ENST00000373995	0.02549	0.02549	T	T
A1CF	ENST00000374001	0.02549	0.02549	T	T
A1CF	ENST00000395489	0.02549	0.02549	T	T
A1CF	ENST00000395495	0.02549	0.02549	T	T
A1CF	ENST00000414883	0.02549	0.02549	T	T
A1CF	ENST00000282641	0.02572	0.02572	F	T
A1CF	ENST00000373995	0.02572	0.02572	F	T
A1CF	ENST00000374001	0.02572	0.02572	F	T
A1CF	ENST00000395489	0.02572	0.02572	F	T
A1CF	ENST00000395495	0.02572	0.02572	F	T
A1CF	ENST00000414883	0.02572	0.02572	F	T
A2M	ENST00000318602	0.1029	0.1029	T	T
A4GALT	ENST00000642412	0.1042	0.1042	F	T
AADACL2	ENST00000356517	0.09383	0.09383	T	T
AADAT	ENST00000502392	0.4692	0.4692	T	T
AAK1	ENST00000409085	0.06893	0.06893	T	T
AARSD1	ENST00000430739	0.01077	0.01077	T	T
AASDHPPT	ENST00000278618	0.08613	0.08613	T	T
AASS	ENST00000393376	0.1012	0.1012	T	T
AASS	ENST00000393376	0.1015	0.1015	F	T
ABCA12	ENST00000389661	0.0798	0.0798	T	T
ABCA4	ENST00000649773	0.03827	0.03827	T	T
ABCA4	ENST00000536513	0.08894	0.08894	F	T
ABCA9	ENST00000495634	0.06246	0.06246	T	T
ABCA9	ENST00000495634	0.06347	0.06347	F	T
ABCB5	ENST00000258738	0.08641	0.08641	T	T
ABCC1	ENST00000572882	0.1105	0.1105	T	T
ABCC12	ENST00000311303	0.1357	0.1357	T	T
ABCC4	ENST00000645237	0.115	0.115	T	T
ABCC4	ENST00000645237	0.1155	0.1155	F	T
ABCD3	ENST00000370214	0.1274	0.1274	T	T
ABHD13	ENST00000375898	0.01734	0.01734	T	T
ABHD17B	ENST00000333421	0.025	0.025	F	T
ABHD17B	ENST00000333421	0.02536	0.02536	F	T
ABHD2	ENST00000352732	0.004655	0.004655	T	T
ABHD2	ENST00000569411	0.005926	0.005926	T	T
ABLIM1	ENST00000369256	0.05968	0.05968	T	T
ABLIM1	ENST00000392952	0.08976	0.08976	T	T
ABLIM2	ENST00000510277	0.04091	0.04091	T	T
ACAA1	ENST00000452171	0.0394	0.0394	T	T
ACADSB	ENST00000358776	0.07995	0.07995	T	T
ACBD3	ENST00000366812	0.1064	0.1064	T	T
ACKR2	ENST00000494619	0.00678	0.00678	T	T
ACKR3	ENST00000447924	0.0008079	0.0008079	T	T
ACMSD	ENST00000392928	0.05325	0.05325	T	T
ACSL1	ENST00000515030	0.00014	0.00014	T	T
ACSL1	ENST00000515030	0.005703	0.005703	F	T
ACSL1	ENST00000513317	0.01168	0.01168	T	T
ACSL3	ENST00000540115	0.03769	0.03769	T	T
ACSL3	ENST00000540115	0.05975	0.05975	F	T
ACTL8	ENST00000617065	0.05232	0.05232	T	T
ACTN1	ENST00000544964	0.05317	0.05317	T	T
ACTN1	ENST00000544964	0.05341	0.05341	F	T
ACTR3B	ENST00000397282	0.2534	0.2534	F	T
ACTR3B	ENST00000397282	0.7368	0.7368	F	T
ACTR3C	ENST00000613959	0.2993	0.2993	T	T
ACTR3C	ENST00000613959	0.2997	0.2997	F	T
ACTR3C	ENST00000613959	0.3359	0.3359	F	T
ACVR2A	ENST00000241416	0.1753	0.1753	T	T
ACVR2A	ENST00000535787	0.9935	0.9935	F	T
ADAM18	ENST00000520772	0.000292	0.000292	T	T
ADAM19	ENST00000517905	0.02588	0.02588	T	T
ADAM28	ENST00000265769	0.285	0.285	T	T
ADAMTS15	ENST00000299164	0.002989	0.002989	T	T
ADAMTS15	ENST00000299164	0.3495	0.3495	F	T
ADAMTS16	ENST00000274181	0.07922	0.07922	T	T
ADAMTS16	ENST00000511368	0.07922	0.07922	T	T
ADAMTS18	ENST00000562345	0.1217	0.1217	T	T
ADAMTS19	ENST00000274487	0.08482	0.08482	T	T
ADAMTS19	ENST00000274487	0.08501	0.08501	F	T
ADAMTS19	ENST00000274487	0.08519	0.08519	F	T
ADAMTS3	ENST00000622135	0.219	0.219	T	T
ADAMTS5	ENST00000284987	0.8068	0.8068	T	T
ADAR	ENST00000649022	0.004179	0.004179	T	T
ADARB2	ENST00000381312	0.1592	0.1592	T	T
ADCY9	ENST00000572288	0.06844	0.06844	T	T
ADCYAP1	ENST00000579794	0.3718	0.3718	T	T
ADGRB3	ENST00000546190	0.4212	0.4212	T	T
ADGRB3	ENST00000546190	0.5048	0.5048	F	T
ADGRB3	ENST00000546190	0.505	0.505	F	T
ADGRD1	ENST00000543617	0.523	0.523	T	T
ADGRL2	ENST00000359929	0.02265	0.02265	T	T
ADGRL2	ENST00000359929	0.03374	0.03374	F	T
ADGRL2	ENST00000319517	0.04411	0.04411	T	T
ADGRL2	ENST00000370713	0.04411	0.04411	T	T
ADGRL2	ENST00000370715	0.04411	0.04411	T	T
ADGRL2	ENST00000370717	0.04411	0.04411	T	T
ADGRL2	ENST00000627151	0.04411	0.04411	T	T
ADGRL2	ENST00000402328	0.06689	0.06689	T	T
ADGRL2	ENST00000402328	0.5334	0.5334	F	T
ADGRL2	ENST00000402328	0.6696	0.6696	F	T
ADGRL2	ENST00000402328	0.8126	0.8126	F	T
ADGRL3	ENST00000502815	0.3608	0.3608	T	T
ADGRL3	ENST00000502815	0.5368	0.5368	F	T
ADGRL3	ENST00000502815	0.7152	0.7152	F	T
ADGRL4	ENST00000661030	0.7542	0.7542	T	T
ADGRL4	ENST00000661030	0.8926	0.8926	F	T
ADGRV1	ENST00000640369	0.2187	0.2187	T	T
ADPGK	ENST00000456471	0.02129	0.02129	T	T
ADRA1B	ENST00000641205	0.3009	0.3009	T	T
ADRA2A	ENST00000280155	0.267	0.267	T	T
ADRA2C	ENST00000509482	0.02076	0.02076	T	T
ADRA2C	ENST00000509482	0.2301	0.2301	F	T
ADTRP	ENST00000503285	0.1696	0.1696	T	T
ADTRP	ENST00000503285	0.1699	0.1699	F	T
AEBP2	ENST00000541908	0.02538	0.02538	T	T
AEBP2	ENST00000398731	0.1818	0.1818	F	T
AFAP1	ENST00000358461	0.003569	0.003569	T	T
AFAP1	ENST00000420658	0.003569	0.003569	T	T
AFAP1	ENST00000382543	0.01751	0.01751	T	T
AFDN	ENST00000423229	0.05153	0.05153	T	T
AGAP1	ENST00000614409	0.01553	0.01553	T	T
AGAP1	ENST00000619456	0.01553	0.01553	T	T
AGAP1	ENST00000402604	0.1228	0.1228	T	T
AGAP1	ENST00000304032	0.2719	0.2719	F	T
AGBL1	ENST00000614907	0.001032	0.001032	T	T
AGPAT4	ENST00000320285	0.04946	0.04946	T	T
AGPAT4	ENST00000320285	0.04976	0.04976	F	T
AGTPBP1	ENST00000376083	0.4753	0.4753	F	T
AHDC1	ENST00000644989	0.08268	0.08268	T	T
AHI1	ENST00000457866	0.1488	0.1488	T	T
AIFM2	ENST00000373248	0.06288	0.06288	T	T
AIPL1	ENST00000570584	0.175	0.175	T	T
AJAP1	ENST00000378191	0.1249	0.1249	T	T
AK7	ENST00000554706	0.04498	0.04498	T	T
AK7	ENST00000555570	0.04584	0.04584	T	T
AKAIN1	ENST00000434239	0.4177	0.4177	T	T
AKAIN1	ENST00000434239	0.6846	0.6846	F	T
AKAP11	ENST00000025301	0.1685	0.1685	T	T
AKAP11	ENST00000025301	0.1687	0.1687	F	T
AKAP12	ENST00000354675	0.01034	0.01034	T	T
AKAP6	ENST00000553547	0.07223	0.07223	T	T
AKAP6	ENST00000554740	0.1526	0.1526	T	T
AKT3	ENST00000552631	0.09725	0.09725	T	T
AKTIP	ENST00000565408	0.1816	0.1816	T	T
AKTIP	ENST00000565408	0.1818	0.1818	F	T
ALCAM	ENST00000306107	0.9816	0.9816	T	T
ALDH1A2	ENST00000537372	0.03803	0.03803	T	T
