Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AASS	ENST00000393376	0.1013	0.1013	T	T
ABCA7	ENST00000433129	0.0007664	0.0007664	T	T
ABCA7	ENST00000531467	0.0007664	0.0007664	T	T
ABCA9	ENST00000495634	0.06349	0.06349	T	T
ADAM18	ENST00000265707	0.1511	0.1511	T	T
ADAMTS5	ENST00000284987	0.8068	0.8068	T	T
ADCY2	ENST00000338316	0.1863	0.1863	T	T
ADGRE5	ENST00000358600	0.009214	0.009214	T	T
ADGRL2	ENST00000402328	0.6692	0.6692	T	T
ADIPOR2	ENST00000357103	0.002294	0.002294	T	T
ADRA2C	ENST00000330055	0.3224	0.3224	T	T
AGBL4	ENST00000416121	0.6462	0.6462	T	T
AMPD3	ENST00000532250	0.1118	0.1118	T	T
ANGEL2	ENST00000366962	0.0311	0.0311	T	T
ANK3	ENST00000373827	0.01967	0.01967	T	T
ANKRD50	ENST00000504087	0.7454	0.7454	T	T
ANKRD50	ENST00000515641	0.7454	0.7454	T	T
ANKRD50	ENST00000504087	0.9736	0.9736	F	T
ANKRD50	ENST00000515641	0.9736	0.9736	F	T
ANO1	ENST00000355303	0.1807	0.1807	T	T
ANXA2	ENST00000557904	0.01922	0.01922	T	T
APBA2	ENST00000558358	0.09118	0.09118	T	T
APPL1	ENST00000444459	0.01259	0.01259	T	T
ARIH1	ENST00000562891	0.09064	0.09064	T	T
ARMC2	ENST00000414610	0.03	0.03	T	T
ARRB1	ENST00000360025	0.04678	0.04678	T	T
ARSJ	ENST00000315366	0.01179	0.01179	T	T
ASAP1	ENST00000518721	0.1688	0.1688	T	T
ASB1	ENST00000409297	0.1529	0.1529	T	T
ATP2B1	ENST00000551310	0.07345	0.07345	T	T
ATPSCKMT	ENST00000511437	0.1845	0.1845	T	T
AUTS2	ENST00000664521	0.4528	0.4528	T	T
AVPR1A	ENST00000550940	0.2048	0.2048	T	T
B9D1	ENST00000261499	0.0008722	0.0008722	T	T
B9D1	ENST00000268841	0.0008722	0.0008722	T	T
B9D1	ENST00000395615	0.0008722	0.0008722	T	T
B9D1	ENST00000395616	0.0008722	0.0008722	T	T
B9D1	ENST00000440841	0.0008722	0.0008722	T	T
B9D1	ENST00000461069	0.0008722	0.0008722	T	T
B9D1	ENST00000477683	0.0008722	0.0008722	T	T
B9D1	ENST00000575478	0.0008722	0.0008722	T	T
B9D1	ENST00000647252	0.0008722	0.0008722	T	T
B9D1	ENST00000663089	0.0008722	0.0008722	T	T
B9D1	ENST00000671102	0.0008722	0.0008722	T	T
BABAM2	ENST00000436924	0.02399	0.02399	T	T
BANK1	ENST00000444316	0.4446	0.4446	T	T
BMP4	ENST00000609748	0.2586	0.2586	T	T
BRINP1	ENST00000373964	0.6693	0.6693	T	T
BTBD9	ENST00000408958	0.2972	0.2972	T	T
BUD13	ENST00000260210	0.9121	0.9121	T	T
BUD13	ENST00000375445	0.9121	0.9121	T	T
BUD23	ENST00000453316	0.009256	0.009256	T	T
CACNA1D	ENST00000638129	0.06673	0.06673	T	T
CADM1	ENST00000543540	0.01474	0.01474	T	T
CALM1	ENST00000661807	0.04408	0.04408	T	T
CAMK2D	ENST00000342666	0.1764	0.1764	T	T
CAMK2D	ENST00000508738	0.1764	0.1764	T	T
CAMK2D	ENST00000514328	0.1764	0.1764	T	T
CAMK2D	ENST00000515496	0.1764	0.1764	T	T
CAMK2D	ENST00000342666	0.1853	0.1853	F	T
CAMK2D	ENST00000508738	0.1853	0.1853	F	T
CAMK2D	ENST00000514328	0.1853	0.1853	F	T
CAMK2D	ENST00000515496	0.1853	0.1853	F	T
CAMLG	ENST00000297156	0.005695	0.005695	T	T
CAPZA3	ENST00000317658	0.3352	0.3352	T	T
CAVIN3	ENST00000530979	0.009182	0.009182	T	T
CBL	ENST00000637974	0.08609	0.08609	T	T
CBLN4	ENST00000064571	0.3962	0.3962	T	T
CCDC141	ENST00000446116	0.05362	0.05362	T	T
CCKBR	ENST00000525462	0.05915	0.05915	T	T
CCKBR	ENST00000531712	0.05915	0.05915	T	T
CCR4	ENST00000330953	0.1327	0.1327	T	T
CCZ1B	ENST00000316731	0.2303	0.2303	T	T
CCZ1B	ENST00000626257	0.2303	0.2303	T	T
CD109	ENST00000287097	0.7255	0.7255	T	T
CD36	ENST00000435819	0.04828	0.04828	T	T
CDH10	ENST00000264463	0.8715	0.8715	T	T
CDIN1	ENST00000566621	0.0324	0.0324	T	T
CDK19	ENST00000323817	0.03448	0.03448	T	T
CDKAL1	ENST00000378610	0.1217	0.1217	T	T
CEP70	ENST00000459695	0.08552	0.08552	T	T
CER1	ENST00000380911	0.001157	0.001157	T	T
CFAP20DC	ENST00000295966	0.05868	0.05868	T	T
CHMP4B	ENST00000217402	0.07868	0.07868	T	T
CIBAR2	ENST00000539556	0.009037	0.009037	T	T
CLASP2	ENST00000333778	0.05194	0.05194	T	T
CLEC3A	ENST00000651443	0.008232	0.008232	T	T
CLEC3A	ENST00000299642	0.04239	0.04239	F	T
CNPY1	ENST00000636372	0.05901	0.05901	T	T
CNTNAP2	ENST00000463592	0.1492	0.1492	T	T
CNTNAP2	ENST00000628930	0.2025	0.2025	T	T
COL22A1	ENST00000303045	0.7162	0.7162	T	T
COPS8	ENST00000392008	0.03515	0.03515	T	T
CPB2	ENST00000439329	0.04016	0.04016	T	T
CPOX	ENST00000647941	0.0384	0.0384	T	T
CSMD1	ENST00000335551	0.986	0.986	T	T
CSMD3	ENST00000297405	0.6951	0.6951	T	T
CSNK1G1	ENST00000561349	0.0711	0.0711	T	T
CTNNA2	ENST00000496558	0.1922	0.1922	T	T
CTNNA2	ENST00000409550	0.5269	0.5269	F	T
CTNND2	ENST00000304623	0.8563	0.8563	T	T
CTSG	ENST00000216336	0.01487	0.01487	T	T
CTSO	ENST00000433477	0.7883	0.7883	T	T
CUL3	ENST00000451538	0.02912	0.02912	T	T
CYBRD1	ENST00000445146	0.09861	0.09861	T	T
CYP2C8	ENST00000628935	0.05325	0.05325	T	T
CYP4A11	ENST00000371904	0.01824	0.01824	T	T
CYP4X1	ENST00000371901	0.0814	0.0814	T	T
DAAM1	ENST00000395125	0.05507	0.05507	T	T
DAPK1	ENST00000358077	0.3472	0.3472	T	T
DCTN6	ENST00000221114	0.08174	0.08174	T	T
DCTN6	ENST00000520829	0.08174	0.08174	T	T
DEPDC1	ENST00000370966	0.5246	0.5246	T	T
DGKI	ENST00000424189	0.01414	0.01414	T	T
DGKI	ENST00000446122	0.01414	0.01414	T	T
DHX36	ENST00000481941	0.006331	0.006331	T	T
DLGAP1	ENST00000639615	0.06369	0.06369	T	T
DLGAP2	ENST00000520901	0.05548	0.05548	T	T
DNM1L	ENST00000414834	0.1438	0.1438	T	T
DNM1L	ENST00000452533	0.1438	0.1438	T	T
DOCK9	ENST00000376460	0.1054	0.1054	T	T
DSG3	ENST00000257189	0.06065	0.06065	T	T
DUSP10	ENST00000366899	0.7975	0.7975	T	T
DUSP6	ENST00000547291	0.01019	0.01019	T	T
DUX4	ENST00000565211	0.1328	0.1328	T	T
DUX4	ENST00000569241	0.1328	0.1328	T	T
DUX4	ENST00000570263	0.1328	0.1328	T	T
DUX4	ENST00000616166	0.1328	0.1328	T	T
EFCAB5	ENST00000448319	0.08918	0.08918	T	T
EGFLAM	ENST00000336740	0.04769	0.04769	T	T
EIF2AK3	ENST00000303236	0.004889	0.004889	T	T
EIPR1	ENST00000443925	0.2157	0.2157	F	T
EML4	ENST00000401738	0.01271	0.01271	T	T
ENSG00000125462	ENST00000615748	0.01434	0.01434	T	T
ENSG00000180219	ENST00000324341	0.3627	0.3627	T	T
ENSG00000185594	ENST00000328504	0.3051	0.3051	T	T
ENSG00000249662	ENST00000638486	0.08413	0.08413	T	T
ENSG00000274744	ENST00000620881	0.005525	0.005525	T	T
ETNK1	ENST00000545979	0.4543	0.4543	T	T
EXOC5	ENST00000556318	0.284	0.284	T	T
FAM166C	ENST00000329615	0.0005877	0.0005877	T	T
FAM166C	ENST00000409392	0.0005877	0.0005877	T	T
FAM169A	ENST00000389156	0.03562	0.03562	T	T
FAM180A	ENST00000338588	0.04547	0.04547	T	T
FAM76B	ENST00000537749	0.2981	0.2981	T	T
FAM83A	ENST00000518448	0.01069	0.01069	T	T
FAM83A	ENST00000536633	0.01069	0.01069	T	T
FIBIN	ENST00000318627	0.07277	0.07277	T	T
FLT1	ENST00000639477	0.09058	0.09058	T	T
FNDC3A	ENST00000398316	0.003643	0.003643	T	T
FOLR3	ENST00000442948	0.01912	0.01912	T	T
FRAS1	ENST00000325942	0.08471	0.08471	T	T
FRG2C	ENST00000308062	0.4427	0.4427	T	T
FRG2C	ENST00000464571	0.4427	0.4427	T	T
FST	ENST00000396947	0.3321	0.3321	T	T
FUT9	ENST00000302103	0.4699	0.4699	T	T
GADL1	ENST00000282538	0.3136	0.3136	T	T
GALC	ENST00000544807	0.7117	0.7117	T	T
GALP	ENST00000357330	0.02078	0.02078	T	T
GALP	ENST00000440823	0.02078	0.02078	T	T
GALR1	ENST00000299727	0.939	0.939	T	T
GBF1	ENST00000369983	0.0008902	0.0008902	T	T
GCSAML	ENST00000529512	0.00421	0.00421	T	T
GCSAML	ENST00000623578	0.00421	0.00421	T	T
GNPDA2	ENST00000295448	0.2789	0.2789	T	T
GPC6	ENST00000617456	0.8353	0.8353	T	T
GPRIN3	ENST00000609438	0.4231	0.4231	T	T
GRAMD1B	ENST00000638157	0.105	0.105	T	T
GRAMD1B	ENST00000638157	0.1594	0.1594	F	T
GRID1	ENST00000327946	0.0787	0.0787	T	T
GRID2	ENST00000512631	0.4755	0.4755	T	T
HERC1	ENST00000559715	0.02177	0.02177	T	T
HJV	ENST00000636675	0.06432	0.06432	T	T
HLA-B	ENST00000434333	0.01714	0.01714	T	T
HMSD	ENST00000408945	0.01982	0.01982	T	T
HNRNPA3	ENST00000392524	0.7317	0.7317	T	T
HNRNPLL	ENST00000441689	0.1291	0.1291	T	T
HPSE2	ENST00000370546	0.2774	0.2774	T	T
HPSE2	ENST00000614306	0.2774	0.2774	T	T
HS3ST4	ENST00000331351	0.5402	0.5402	T	T
HS3ST5	ENST00000411826	0.07085	0.07085	T	T
ICA1L	ENST00000358299	0.03283	0.03283	T	T
IGFBP3	ENST00000448817	0.2665	0.2665	T	T
IL20RB	ENST00000329582	0.5406	0.5406	T	T
IL20RB	ENST00000329582	0.6865	0.6865	F	T
ING2	ENST00000302327	0.04662	0.04662	T	T
JAG1	ENST00000254958	0.153	0.153	T	T
JAK1	ENST00000342505	0.01359	0.01359	T	T
JAZF1	ENST00000427814	0.08379	0.08379	T	T
JRKL	ENST00000332349	0.1349	0.1349	T	T
KBTBD8	ENST00000460784	0.08088	0.08088	T	T
KCNAB2	ENST00000655548	0.2272	0.2272	T	T
KIAA0825	ENST00000513200	0.2093	0.2093	T	T
KIZ	ENST00000621366	0.01783	0.01783	T	T
KLHL29	ENST00000288548	0.1114	0.1114	T	T
L3MBTL4	ENST00000581231	0.2929	0.2929	T	T
LAMC2	ENST00000264144	0.03574	0.03574	T	T
LAMP3	ENST00000466939	0.01759	0.01759	T	T
LEMD1	ENST00000367152	0.01275	0.01275	T	T
LGALS9C	ENST00000581545	0.00752	0.00752	T	T
LMAN1	ENST00000251047	0.03653	0.03653	T	T
LNX1	ENST00000513421	0.07748	0.07748	T	T
LPAR1	ENST00000541779	0.00369	0.00369	T	T
LRAT	ENST00000507827	0.05855	0.05855	T	T
LRMDA	ENST00000372499	0.1125	0.1125	T	T
LRP3	ENST00000592484	0.0177	0.0177	T	T
LRRN3	ENST00000451085	0.7073	0.7073	T	T
LRRTM1	ENST00000409148	0.1377	0.1377	T	T
LYPD6	ENST00000334166	0.01045	0.01045	T	T
MACROD2	ENST00000407045	0.05719	0.05719	T	T
MAML1	ENST00000292599	0.0522	0.0522	T	T
MAP3K7	ENST00000369329	0.02759	0.02759	T	T
MAPRE3	ENST00000405074	0.004872	0.004872	T	T
MDFIC	ENST00000257724	0.1114	0.1114	T	T
MEGF10	ENST00000503335	0.04004	0.04004	T	T
METTL4	ENST00000576251	0.7571	0.7571	T	T
MMS22L	ENST00000275053	0.7361	0.7361	T	T
MTRFR	ENST00000366329	0.005217	0.005217	T	T
NAV3	ENST00000550788	0.05168	0.05168	T	T
NBPF20	ENST00000392971	0.1931	0.1931	T	T
NFRKB	ENST00000526940	0.03988	0.03988	T	T
NOVA1	ENST00000539517	0.9533	0.9533	T	T
NPS	ENST00000398023	0.04128	0.04128	T	T
NRXN1	ENST00000611589	0.001208	0.001208	T	T
NRXN3	ENST00000555387	0.5549	0.5549	T	T
NTM	ENST00000416661	0.207	0.207	T	T
NTMT1	ENST00000372486	0.3388	0.3388	T	T
NTMT2	ENST00000439373	0.06159	0.06159	T	T
NTN1	ENST00000173229	0.06575	0.06575	T	T
NXN	ENST00000575801	0.06549	0.06549	T	T
OSBPL5	ENST00000530372	0.008905	0.008905	T	T
OSTM1	ENST00000193322	0.09365	0.09365	T	T
PAMR1	ENST00000621476	0.08061	0.08061	T	T
PARD3B	ENST00000613457	0.3644	0.3644	T	T
PARD3B	ENST00000614500	0.3644	0.3644	T	T
PARD3B	ENST00000622699	0.3644	0.3644	T	T
PCCA	ENST00000458283	0.05814	0.05814	T	T
PCDH15	ENST00000458638	0.07634	0.07634	T	T
PCDH17	ENST00000615375	0.2438	0.2438	T	T
PCDH7	ENST00000509759	0.2287	0.2287	T	T
PCNT	ENST00000418394	0.009553	0.009553	T	T
PHACTR3	ENST00000361300	0.02093	0.02093	T	T
PHACTR3	ENST00000395636	0.02093	0.02093	T	T
PIK3CD	ENST00000377346	0.003499	0.003499	T	T
PIM1	ENST00000373509	0.1524	0.1524	T	T
PIWIL1	ENST00000542723	0.02934	0.02934	T	T
PLEKHA7	ENST00000355661	0.07191	0.07191	T	T
PLEKHA7	ENST00000532079	0.07191	0.07191	T	T
PMFBP1	ENST00000540440	0.4746	0.4746	T	T
POM121L12	ENST00000408890	0.7617	0.7617	T	T
POU5F1B	ENST00000465342	0.0541	0.0541	T	T
PPIAL4H	ENST00000584068	0.07796	0.07796	T	T
PPP1R17	ENST00000342032	0.2406	0.2406	T	T
PPP1R17	ENST00000409146	0.2406	0.2406	T	T
PPP1R3B	ENST00000310455	0.05779	0.05779	T	T
PPP2R5C	ENST00000557095	0.04359	0.04359	T	T
PRELID2	ENST00000505416	0.01658	0.01658	T	T
PRSS23	ENST00000527521	0.00635	0.00635	T	T
PTBP2	ENST00000426398	0.006435	0.006435	T	T
R3HCC1	ENST00000520480	0.03977	0.03977	T	T
RAB4A	ENST00000618010	0.2146	0.2146	T	T
RANBP17	ENST00000522734	0.2794	0.2794	T	T
RAP1GAP2	ENST00000540393	0.002467	0.002467	T	T
RAPGEF1	ENST00000372190	0.05015	0.05015	T	T
RASL11B	ENST00000248706	0.07525	0.07525	T	T
RBFOX1	ENST00000547338	0.4818	0.4818	T	T
RBM19	ENST00000261741	0.1187	0.1187	T	T
RETREG3	ENST00000585894	0.01756	0.01756	T	T
RGMA	ENST00000329082	0.204	0.204	T	T
RGS6	ENST00000355512	0.2982	0.2982	T	T
RGS6	ENST00000404301	0.2982	0.2982	T	T
RGS6	ENST00000406236	0.2982	0.2982	T	T
RGS6	ENST00000407322	0.2982	0.2982	T	T
RIMBP2	ENST00000261655	0.02407	0.02407	T	T
RIPOR3	ENST00000327979	0.05294	0.05294	T	T
RND3	ENST00000439275	0.434	0.434	T	T
RNF208	ENST00000391553	0.001241	0.001241	T	T
RNF32	ENST00000404282	0.524	0.524	T	T
RPIA	ENST00000283646	0.4083	0.4083	F	T
RPL11	ENST00000458455	0.01055	0.01055	T	T
RUBCNL	ENST00000439642	0.1104	0.1104	T	T
SAG	ENST00000409110	0.03948	0.03948	T	T
SAG	ENST00000447536	0.03948	0.03948	T	T
SCG2	ENST00000305409	0.03115	0.03115	T	T
SCG2	ENST00000433889	0.03115	0.03115	T	T
SCYGR8	ENST00000641981	0.01247	0.01247	T	T
SDK2	ENST00000424778	0.1257	0.1257	T	T
SEL1L	ENST00000336735	0.9874	0.9874	T	T
SEMA3E	ENST00000643230	0.4175	0.4175	T	T
SEMA6D	ENST00000559184	0.02175	0.02175	T	T
SEMG1	ENST00000372781	0.01075	0.01075	T	T
SEPSECS	ENST00000513285	0.05326	0.05326	T	T
SERP1	ENST00000239944	0.04419	0.04419	T	T
SHISA3	ENST00000319234	0.2404	0.2404	T	T
SHISAL1	ENST00000381176	0.01719	0.01719	T	T
SIRT1	ENST00000403579	0.004463	0.004463	T	T
SLAMF1	ENST00000538290	0.00963	0.00963	T	T
SLAMF1	ENST00000538290	0.04939	0.04939	F	T
SLC24A2	ENST00000286344	0.003226	0.003226	T	T
SLC24A2	ENST00000341998	0.003226	0.003226	T	T
SLC25A25	ENST00000466983	0.004486	0.004486	T	T
SLC26A7	ENST00000520818	0.5169	0.5169	T	T
SLC30A8	ENST00000456015	0.3549	0.3549	T	T
SLC41A2	ENST00000437220	0.2388	0.2388	T	T
SLC46A3	ENST00000380814	0.03322	0.03322	T	T
SLC8A3	ENST00000394330	0.07881	0.07881	T	T
SLC8A3	ENST00000533541	0.07881	0.07881	T	T
SLCO3A1	ENST00000318445	0.3917	0.3917	T	T
SNRPE	ENST00000367208	0.1812	0.1812	T	T
SNX20	ENST00000610485	0.07245	0.07245	T	T
SORBS1	ENST00000607232	0.02178	0.02178	T	T
SPACA7	ENST00000283550	0.1303	0.1303	T	T
SPACA7	ENST00000414180	0.1303	0.1303	T	T
SPRED2	ENST00000440972	0.4649	0.4649	T	T
SPRY4	ENST00000511815	0.09645	0.09645	T	T
SRI	ENST00000394641	0.07533	0.07533	T	T
STEAP3	ENST00000393107	0.02205	0.02205	T	T
STEAP3	ENST00000409811	0.02205	0.02205	T	T
STK38L	ENST00000544969	0.03552	0.03552	T	T
STK39	ENST00000355999	0.03133	0.03133	T	T
STK39	ENST00000355999	0.1179	0.1179	F	T
STMN1	ENST00000357865	0.01553	0.01553	T	T
STOX2	ENST00000506529	0.1875	0.1875	T	T
SUCNR1	ENST00000362032	0.2112	0.2112	T	T
SUCNR1	ENST00000362032	0.2987	0.2987	F	T
SULF1	ENST00000534179	0.01875	0.01875	T	T
SVEP1	ENST00000374461	0.004731	0.004731	T	T
SVEP1	ENST00000401783	0.004731	0.004731	T	T
SYBU	ENST00000422135	0.2151	0.2151	T	T
SYTL1	ENST00000618673	0.008777	0.008777	T	T
TAFA5	ENST00000402357	0.867	0.867	T	T
TAS2R1	ENST00000382492	0.05801	0.05801	T	T
TBC1D5	ENST00000415814	0.2801	0.2801	T	T
TBC1D9	ENST00000442267	0.03645	0.03645	T	T
TFPI	ENST00000421427	0.1123	0.1123	T	T
THBS4	ENST00000511733	0.0158	0.0158	T	T
THSD7A	ENST00000423059	0.08211	0.08211	T	T
THSD7A	ENST00000617773	0.08211	0.08211	T	T
THSD7B	ENST00000413152	0.5538	0.5538	T	T
TLR4	ENST00000355622	0.353	0.353	T	T
TLR5	ENST00000642603	0.1062	0.1062	T	T
TLR5	ENST00000645434	0.1062	0.1062	T	T
TMCC2	ENST00000330675	0.02674	0.02674	T	T
TMEM132B	ENST00000299308	0.2149	0.2149	T	T
TMEM132C	ENST00000435159	0.9289	0.9289	T	T
TMEM132D	ENST00000389441	0.5045	0.5045	T	T
TMEM143	ENST00000601522	0.023	0.023	T	T
TMEM170B	ENST00000379426	0.002152	0.002152	T	T
TMEM212	ENST00000450693	0.03055	0.03055	T	T
TMEM41B	ENST00000533723	0.05257	0.05257	T	T
TMEM72	ENST00000544540	0.3638	0.3638	T	T
TMTC1	ENST00000256062	0.7212	0.7212	T	T
TNFRSF11B	ENST00000297350	0.1835	0.1835	T	T
TNRC18	ENST00000399434	0.06665	0.06665	T	T
TPBG	ENST00000543496	0.2943	0.2943	T	T
TRAF5	ENST00000367004	0.09937	0.09937	T	T
TRAPPC12	ENST00000415624	0.005512	0.005512	T	T
TRIM62	ENST00000291416	0.04099	0.04099	T	T
TRIM71	ENST00000383763	0.008957	0.008957	T	T
TRIP11	ENST00000267622	0.006998	0.006998	T	T
TRIQK	ENST00000520686	0.1793	0.1793	T	T
TRPA1	ENST00000262209	0.1115	0.1115	T	T
UBE2U	ENST00000608956	0.1776	0.1776	T	T
UNC5D	ENST00000453357	0.2828	0.2828	T	T
VAV3	ENST00000370056	0.01942	0.01942	T	T
VTI1A	ENST00000393077	0.02867	0.02867	T	T
VTI1A	ENST00000432306	0.02867	0.02867	T	T
WASF1	ENST00000265601	0.1127	0.1127	T	T
WASF1	ENST00000447287	0.1127	0.1127	T	T
WASF3	ENST00000361042	0.1452	0.1452	T	T
WDR5	ENST00000358625	0.1411	0.1411	T	T
WDR97	ENST00000323662	0.02528	0.02528	T	T
WWC2	ENST00000508747	0.04391	0.04391	T	T
XKR9	ENST00000519350	0.4381	0.4381	T	T
XRCC4	ENST00000511817	0.007301	0.007301	T	T
XYLT1	ENST00000261381	0.01884	0.01884	T	T
YTHDC2	ENST00000514720	0.2596	0.2596	T	T
ZC3H12C	ENST00000278590	0.1886	0.1886	T	T
ZNF608	ENST00000509799	0.5117	0.5117	T	T
ZPLD1	ENST00000466937	0.3616	0.3616	T	T
ZSWIM6	ENST00000252744	0.01468	0.01468	T	T
