Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A2ML1	ENST00000299698	0.06046	0.06046	T	T
A4GALT	ENST00000401850	0.04553	0.04553	T	T
AADACL3	ENST00000359318	0.002475	0.002475	T	T
AADACL4	ENST00000376221	0.03988	0.03988	T	T
AADACL4	ENST00000376221	0.06337	0.06337	F	T
AADAT	ENST00000502392	0.1934	0.1934	T	T
AASDHPPT	ENST00000278618	0.004182	0.004182	T	T
AASDHPPT	ENST00000278618	0.5204	0.5204	F	T
AASS	ENST00000417368	0.1231	0.1231	T	T
AATK	ENST00000650574	0.01251	0.01251	T	T
ABCA10	ENST00000269081	0.04602	0.04602	T	T
ABCA5	ENST00000592568	0.002735	0.002735	T	T
ABCA8	ENST00000585531	0.1242	0.1242	T	T
ABCB5	ENST00000404938	0.04946	0.04946	T	T
ABCC12	ENST00000311303	0.1835	0.1835	T	T
ABCC4	ENST00000646439	0.2855	0.2855	T	T
ABCD3	ENST00000370214	0.03257	0.03257	T	T
ABHD2	ENST00000352732	0.001619	0.001619	T	T
ABHD2	ENST00000352732	0.005888	0.005888	F	T
ABHD2	ENST00000569411	0.01214	0.01214	F	T
ABHD3	ENST00000580477	0.01071	0.01071	T	T
ABI3BP	ENST00000527258	0.001208	0.001208	T	T
ABI3BP	ENST00000528490	0.004467	0.004467	T	T
ABI3BP	ENST00000495063	0.01605	0.01605	T	T
ABI3BP	ENST00000284322	0.07658	0.07658	F	T
ABI3BP	ENST00000471714	0.07658	0.07658	F	T
ABLIM1	ENST00000651023	0.01766	0.01766	T	T
ABRA	ENST00000311955	0.04229	0.04229	T	T
ACADS	ENST00000411593	0.05966	0.05966	T	T
ACAT1	ENST00000265838	0.05405	0.05405	T	T
ACBD3	ENST00000366812	0.08151	0.08151	T	T
ACBD7	ENST00000356189	0.02939	0.02939	T	T
ACER2	ENST00000340967	0.1914	0.1914	T	T
ACIN1	ENST00000357481	0.008348	0.008348	T	T
ACIN1	ENST00000555566	0.009155	0.009155	F	T
ACKR3	ENST00000272928	0.2567	0.2567	T	T
ACMSD	ENST00000356140	0.02481	0.02481	T	T
ACO1	ENST00000541043	0.4382	0.4382	T	T
ACOT4	ENST00000326303	0.001567	0.001567	T	T
