Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AATF	ENST00000619387	0.01465	0.01465	T	T
ABCB8	ENST00000491920	0.006446	0.006446	T	T
ABCF1	ENST00000326195	0.02766	0.02766	T	T
ABCF1	ENST00000468958	0.02766	0.02766	T	T
ABHD5	ENST00000456453	0.05309	0.05309	T	T
ABL1	ENST00000318560	0.01048	0.01048	T	T
ABR	ENST00000291107	0.004685	0.004685	T	T
ABTB2	ENST00000435224	0.04334	0.04334	T	T
ACACB	ENST00000539864	0.0115	0.0115	T	T
ACAD9	ENST00000308982	0.07693	0.07693	T	T
ACBD3	ENST00000366812	0.0007327	0.0007327	T	T
ACO2	ENST00000396512	0.03671	0.03671	T	T
ACTL9	ENST00000612068	0.08244	0.08244	T	T
ADA	ENST00000537820	0.002402	0.002402	T	T
ADAMTS10	ENST00000595838	0.002452	0.002452	T	T
ADAMTS17	ENST00000561355	0.1348	0.1348	T	T
ADAMTSL5	ENST00000590090	0.001181	0.001181	T	T
ADCK1	ENST00000238561	0.02579	0.02579	T	T
ADD1	ENST00000651918	0.002173	0.002173	T	T
ADGRE3	ENST00000443157	0.06921	0.06921	T	T
ADGRE3	ENST00000443157	0.09097	0.09097	F	T
ADGRE5	ENST00000358600	0.1259	0.1259	T	T
ADGRL1	ENST00000361434	0.02746	0.02746	T	T
ADORA3	ENST00000241356	0.005899	0.005899	T	T
ADPGK	ENST00000456471	0.02129	0.02129	T	T
ADRA1B	ENST00000641205	0.03249	0.03249	T	T
ADRA2C	ENST00000330055	0.382	0.382	T	T
AFG3L2	ENST00000269143	0.0007245	0.0007245	T	T
AGPAT3	ENST00000445582	0.0007055	0.0007055	T	T
AHNAK	ENST00000530124	0.0291	0.0291	T	T
AKR1D1	ENST00000438242	0.1366	0.1366	T	T
AKR7A3	ENST00000361640	0.0109	0.0109	T	T
ALDH3B2	ENST00000530069	0.2338	0.2338	F	T
ALG2	ENST00000319033	0.01758	0.01758	T	T
ALG2	ENST00000319033	0.08037	0.08037	F	T
ALKBH7	ENST00000245812	0.001383	0.001383	T	T
ALKBH7	ENST00000596657	0.001383	0.001383	T	T
ALKBH7	ENST00000599849	0.001383	0.001383	T	T
ALMS1	ENST00000651057	0.1188	0.1188	T	T
ALOX12B	ENST00000649809	0.04002	0.04002	T	T
AMZ1	ENST00000312371	0.0162	0.0162	T	T
ANK3	ENST00000617800	0.05422	0.05422	T	T
ANKRD11	ENST00000645664	0.005957	0.005957	T	T
ANKRD13A	ENST00000547639	0.01372	0.01372	T	T
ANKRD36B	ENST00000497329	0.02525	0.02525	T	T
ANKRD36B	ENST00000497329	0.2107	0.2107	F	T
ANO4	ENST00000644049	0.1135	0.1135	T	T
ANTXRL	ENST00000619553	0.2361	0.2361	T	T
AOC3	ENST00000592999	0.0005867	0.0005867	T	T
AOC3	ENST00000617500	0.0005867	0.0005867	T	T
AP3D1	ENST00000345016	0.0006975	0.0006975	T	T
AP3D1	ENST00000643116	0.0006975	0.0006975	T	T
APOBEC3A	ENST00000249116	0.01739	0.01739	T	T
APOF	ENST00000398189	0.009999	0.009999	T	T
AQP12B	ENST00000407834	0.04665	0.04665	T	T
ARFGEF1	ENST00000519436	0.005424	0.005424	T	T
ARHGAP24	ENST00000395184	0.109	0.109	T	T
ARHGAP25	ENST00000409202	0.08043	0.08043	T	T
ARHGAP45	ENST00000590577	0.009782	0.009782	T	T
ARIH1	ENST00000564062	0.09816	0.09816	T	T
ARL4D	ENST00000320033	0.008864	0.008864	T	T
ARMC6	ENST00000392336	0.01862	0.01862	T	T
ASB1	ENST00000409297	0.3472	0.3472	T	T
ASCC1	ENST00000530394	0.004589	0.004589	T	T
ASGR1	ENST00000619926	0.01073	0.01073	T	T
ASGR2	ENST00000574868	0.004099	0.004099	T	T
ASGR2	ENST00000446679	0.01161	0.01161	F	T
ASIP	ENST00000568305	0.01966	0.01966	T	T
ASS1	ENST00000443588	0.05176	0.05176	T	T
ASS1	ENST00000443588	0.1049	0.1049	F	T
ASXL3	ENST00000642541	0.2612	0.2612	T	T
ATG4C	ENST00000414558	0.1618	0.1618	T	T
ATP23	ENST00000300145	0.0546	0.0546	T	T
ATP23	ENST00000300145	0.4482	0.4482	F	T
ATP23	ENST00000300145	0.5979	0.5979	F	T
ATP5MC3	ENST00000284727	0.3345	0.3345	T	T
ATP6V0A2	ENST00000613625	0.01052	0.01052	T	T
ATP6V0C	ENST00000330398	0.007578	0.007578	T	T
ATP8B3	ENST00000310127	0.001174	0.001174	T	T
ATP8B3	ENST00000525591	0.001174	0.001174	T	T
ATP8B3	ENST00000526092	0.001174	0.001174	T	T
ATP8B3	ENST00000587160	0.001174	0.001174	T	T
ATXN7L1	ENST00000472195	0.1223	0.1223	T	T
AVPR1B	ENST00000367126	0.04112	0.04112	T	T
AXL	ENST00000593513	0.007478	0.007478	T	T
BAG1	ENST00000379704	0.0006865	0.0006865	T	T
BAG1	ENST00000473781	0.0006865	0.0006865	T	T
BAG1	ENST00000488499	0.0006865	0.0006865	T	T
BAG1	ENST00000634734	0.0006865	0.0006865	T	T
BAG1	ENST00000635077	0.0006865	0.0006865	T	T
BAG1	ENST00000641048	0.0006865	0.0006865	T	T
BET1L	ENST00000325147	0.0005727	0.0005727	T	T
BET1L	ENST00000332865	0.0005727	0.0005727	T	T
BET1L	ENST00000382762	0.0005727	0.0005727	T	T
