Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000263100	0.00749	0.00749	T	T
A2ML1	ENST00000545692	0.0002849	0.0002849	T	T
A4GALT	ENST00000401850	0.02982	0.02982	T	T
A4GALT	ENST00000642412	0.0428	0.0428	T	T
A4GALT	ENST00000642412	0.08903	0.08903	F	T
AADACL4	ENST00000376221	0.06773	0.06773	T	T
AADAT	ENST00000502392	0.1995	0.1995	T	T
AADAT	ENST00000502392	0.8838	0.8838	F	T
AADAT	ENST00000502392	0.8997	0.8997	F	T
AAGAB	ENST00000561452	0.001794	0.001794	T	T
AAK1	ENST00000409085	0.04177	0.04177	T	T
AAMDC	ENST00000525034	0.01923	0.01923	T	T
AAR2	ENST00000397286	0.01993	0.01993	T	T
AATF	ENST00000610798	0.01409	0.01409	T	T
AATF	ENST00000619387	0.02147	0.02147	T	T
AATF	ENST00000616434	0.0386	0.0386	F	T
ABCA12	ENST00000389661	0.05207	0.05207	T	T
ABCA3	ENST00000301732	0.007212	0.007212	T	T
ABCA3	ENST00000567910	0.02317	0.02317	F	T
ABCA3	ENST00000567910	0.05595	0.05595	F	T
ABCB1	ENST00000622132	0.0748	0.0748	T	T
ABCC4	ENST00000646439	0.09504	0.09504	T	T
ABCC4	ENST00000645237	0.107	0.107	F	T
ABCC4	ENST00000646439	0.1981	0.1981	F	T
ABCC4	ENST00000646439	0.1998	0.1998	F	T
ABCC4	ENST00000646439	0.455	0.455	F	T
ABCD3	ENST00000370214	0.08779	0.08779	T	T
ABCD3	ENST00000370214	0.147	0.147	F	T
ABCG8	ENST00000644611	0.01722	0.01722	T	T
ABHD16A	ENST00000440843	0.009812	0.009812	T	T
ABHD17A	ENST00000590661	0.0106	0.0106	T	T
ABHD3	ENST00000580477	0.0007928	0.0007928	T	T
ABHD5	ENST00000463153	0.02945	0.02945	T	T
ABHD5	ENST00000456453	0.05349	0.05349	T	T
ABHD5	ENST00000463153	0.3257	0.3257	F	T
ABI3BP	ENST00000495063	0.005357	0.005357	T	T
ABLIM1	ENST00000392952	0.08325	0.08325	T	T
ABLIM2	ENST00000510277	0.0388	0.0388	T	T
ABLIM2	ENST00000514025	0.08398	0.08398	F	T
ABLIM3	ENST00000326685	0.06076	0.06076	T	T
ABR	ENST00000571797	0.01324	0.01324	T	T
ABRACL	ENST00000367660	0.02877	0.02877	T	T
ABT1	ENST00000274849	0.001467	0.001467	T	T
ACAD9	ENST00000514336	0.001024	0.001024	T	T
ACADS	ENST00000411593	0.007923	0.007923	T	T
ACAP1	ENST00000575425	0.004108	0.004108	T	T
ACAP1	ENST00000575425	0.0068	0.0068	F	T
ACBD3	ENST00000366812	0.0009236	0.0009236	T	T
ACER3	ENST00000533873	0.04426	0.04426	T	T
ACKR2	ENST00000492609	0.002012	0.002012	T	T
ACKR2	ENST00000492609	0.004039	0.004039	F	T
ACO1	ENST00000541043	0.07824	0.07824	T	T
ACOT7	ENST00000473466	0.0623	0.0623	T	T
ACOX2	ENST00000474098	0.02371	0.02371	T	T
ACOXL	ENST00000448863	0.04875	0.04875	T	T
ACP3	ENST00000507647	0.05254	0.05254	T	T
ACSF3	ENST00000537895	0.02259	0.02259	T	T
ACSF3	ENST00000537895	0.07187	0.07187	F	T
ACSL5	ENST00000354273	0.04573	0.04573	T	T
ACSM6	ENST00000394005	0.008455	0.008455	T	T
ACSM6	ENST00000394005	0.02196	0.02196	F	T
ACTA2	ENST00000415557	0.003869	0.003869	T	T
ACTB	ENST00000414620	0.01849	0.01849	T	T
ACTBL2	ENST00000423391	0.7918	0.7918	T	T
ACTL7B	ENST00000374667	0.8002	0.8002	T	T
