Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A2ML1	ENST00000545692	0.009687	0.009687	T	T
A2ML1	ENST00000299698	0.01436	0.01436	T	T
A3GALT2	ENST00000442999	0.0302	0.0302	T	T
AACS	ENST00000316519	0.004356	0.004356	T	T
AACS	ENST00000316519	0.2049	0.2049	F	T
AATF	ENST00000616434	0.0379	0.0379	T	T
ABCA12	ENST00000389661	0.05216	0.05216	T	T
ABCA13	ENST00000411975	0.1312	0.1312	T	T
ABCA7	ENST00000435683	0.01119	0.01119	T	T
ABCB8	ENST00000491920	0.006248	0.006248	T	T
ABCB9	ENST00000546077	0.001985	0.001985	T	T
ABCC4	ENST00000645237	0.03881	0.03881	T	T
ABCC4	ENST00000646439	0.1055	0.1055	F	T
ABCC5	ENST00000437341	0.001355	0.001355	T	T
ABCD3	ENST00000370214	0.1471	0.1471	T	T
ABCF1	ENST00000326195	0.0274	0.0274	T	T
ABCF1	ENST00000468958	0.0274	0.0274	T	T
ABCG2	ENST00000237612	0.03385	0.03385	T	T
ABCG8	ENST00000644611	0.01748	0.01748	T	T
ABHD16A	ENST00000395952	0.0002489	0.0002489	T	T
ABHD17C	ENST00000558464	0.002477	0.002477	T	T
ABHD5	ENST00000456453	0.05278	0.05278	T	T
ABHD5	ENST00000463153	0.187	0.187	F	T
ABL1	ENST00000318560	0.009726	0.009726	T	T
ABL1	ENST00000318560	0.01105	0.01105	F	T
ABL2	ENST00000344730	0.0832	0.0832	T	T
ABLIM1	ENST00000651023	0.01628	0.01628	T	T
ABLIM1	ENST00000651023	0.06587	0.06587	F	T
ABLIM2	ENST00000428004	0.003536	0.003536	T	T
ABLIM2	ENST00000514025	0.08103	0.08103	T	T
ABLIM3	ENST00000356541	0.005859	0.005859	T	T
ABLIM3	ENST00000517451	0.005859	0.005859	T	T
ABLIM3	ENST00000356541	0.04236	0.04236	F	T
ABLIM3	ENST00000517451	0.04236	0.04236	F	T
ABRACL	ENST00000367660	0.03052	0.03052	T	T
ABT1	ENST00000274849	0.001513	0.001513	T	T
ABTB2	ENST00000435224	0.2139	0.2139	T	T
ACADL	ENST00000233710	0.01461	0.01461	T	T
ACADL	ENST00000233710	0.01524	0.01524	F	T
ACADM	ENST00000541113	0.01142	0.01142	T	T
ACAP1	ENST00000575425	0.004142	0.004142	T	T
ACAP1	ENST00000575425	0.007963	0.007963	F	T
ACAP1	ENST00000575425	0.01374	0.01374	F	T
ACBD3	ENST00000366812	0.001011	0.001011	T	T
ACBD6	ENST00000367595	0.06162	0.06162	T	T
ACCSL	ENST00000378832	0.038	0.038	T	T
ACE	ENST00000579409	0.005673	0.005673	T	T
ACKR2	ENST00000492609	0.004085	0.004085	T	T
ACLY	ENST00000592970	0.005912	0.005912	T	T
