Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.02336	0.02336	F	T
A1BG	ENST00000600966	0.02595	0.02595	F	T
A2M	ENST00000318602	0.02692	0.02692	T	T
A2M	ENST00000404455	0.04671	0.04671	F	T
AACS	ENST00000316519	0.02585	0.02585	T	T
AADAT	ENST00000502392	0.8988	0.8988	F	T
AAMDC	ENST00000525034	0.0188	0.0188	T	T
AATF	ENST00000619387	0.01473	0.01473	T	T
AATF	ENST00000616434	0.03807	0.03807	T	T
AATF	ENST00000616434	0.06995	0.06995	F	T
ABAT	ENST00000567812	0.003016	0.003016	T	T
ABCA13	ENST00000435803	0.04302	0.04302	T	T
ABCA2	ENST00000614293	0.001715	0.001715	T	T
ABCA3	ENST00000301732	0.009196	0.009196	T	T
ABCA3	ENST00000567910	0.02317	0.02317	F	T
ABCA9	ENST00000495634	0.06364	0.06364	T	T
ABCB1	ENST00000622132	0.07352	0.07352	T	T
ABCB1	ENST00000622132	0.07572	0.07572	F	T
ABCB1	ENST00000622132	0.07728	0.07728	F	T
ABCB8	ENST00000491920	0.005901	0.005901	T	T
ABCB8	ENST00000491920	0.006613	0.006613	F	T
ABCB9	ENST00000542678	0.007602	0.007602	T	T
ABCC1	ENST00000572882	0.0552	0.0552	T	T
ABCC1	ENST00000572882	0.1093	0.1093	F	T
ABCC11	ENST00000569991	0.06143	0.06143	T	T
ABCC12	ENST00000311303	0.02691	0.02691	T	T
ABCC12	ENST00000527640	0.0351	0.0351	T	T
ABCC4	ENST00000645237	0.1268	0.1268	T	T
ABCC4	ENST00000646439	0.1981	0.1981	F	T
ABCC4	ENST00000646439	0.1995	0.1995	F	T
ABCC5	ENST00000437341	0.001762	0.001762	T	T
ABCC5	ENST00000437341	0.1008	0.1008	F	T
ABCD3	ENST00000370214	0.1767	0.1767	T	T
ABCD4	ENST00000356924	0.001732	0.001732	T	T
ABCD4	ENST00000556971	0.001732	0.001732	T	T
ABCD4	ENST00000557588	0.001732	0.001732	T	T
ABCG2	ENST00000237612	0.03313	0.03313	T	T
ABHD17A	ENST00000590661	0.01075	0.01075	T	T
ABHD3	ENST00000289119	0.02881	0.02881	T	T
ABHD5	ENST00000463153	0.02916	0.02916	T	T
ABHD5	ENST00000463153	0.03031	0.03031	F	T
ABL1	ENST00000393293	0.05926	0.05926	F	T
ABLIM1	ENST00000369256	0.05468	0.05468	T	T
ABLIM1	ENST00000651023	0.05757	0.05757	T	T
ABLIM2	ENST00000428004	0.003712	0.003712	T	T
ABO	ENST00000538324	0.02423	0.02423	T	T
ABO	ENST00000611156	0.02423	0.02423	T	T
ABRACL	ENST00000367660	0.03059	0.03059	T	T
ABT1	ENST00000274849	0.0006058	0.0006058	T	T
ABT1	ENST00000274849	0.0492	0.0492	F	T
ABT1	ENST00000274849	0.05497	0.05497	F	T
ABT1	ENST00000274849	0.05596	0.05596	F	T
ABT1	ENST00000274849	0.05681	0.05681	F	T
ACACA	ENST00000612895	0.02179	0.02179	T	T
ACACA	ENST00000617649	0.02179	0.02179	T	T
ACAD9	ENST00000514336	0.00103	0.00103	T	T
ACAD9	ENST00000514336	0.04636	0.04636	F	T
ACADS	ENST00000411593	0.02642	0.02642	T	T
ACADS	ENST00000411593	0.02866	0.02866	F	T
ACAP1	ENST00000158762	0.0007644	0.0007644	T	T
ACAP1	ENST00000570457	0.0007644	0.0007644	T	T
ACAP1	ENST00000575425	0.0007644	0.0007644	T	T
ACAP1	ENST00000158762	0.001732	0.001732	F	T
ACAP1	ENST00000575425	0.004176	0.004176	F	T
ACAP1	ENST00000575425	0.009951	0.009951	F	T
ACAT1	ENST00000265838	0.009599	0.009599	T	T
ACBD6	ENST00000367595	0.06126	0.06126	T	T
ACKR2	ENST00000492609	0.00424	0.00424	T	T
ACKR2	ENST00000497921	0.01032	0.01032	T	T
ACOT11	ENST00000343744	0.05696	0.05696	T	T
ACOT11	ENST00000371316	0.05696	0.05696	T	T
ACOT11	ENST00000343744	0.06048	0.06048	F	T
ACOT11	ENST00000371316	0.06048	0.06048	F	T
ACOT7	ENST00000473466	0.0444	0.0444	T	T
ACOX1	ENST00000587927	0.007742	0.007742	T	T
ACP1	ENST00000272065	0.0003689	0.0003689	T	T
ACP1	ENST00000272067	0.0003689	0.0003689	T	T
ACP1	ENST00000405233	0.0003689	0.0003689	T	T
ACP1	ENST00000407983	0.0003689	0.0003689	T	T
ACP1	ENST00000439645	0.0003689	0.0003689	T	T
ACP7	ENST00000601531	0.02092	0.02092	T	T
ACRBP	ENST00000536350	0.005829	0.005829	T	T
ACRBP	ENST00000536350	0.007704	0.007704	F	T
ACSBG1	ENST00000559114	0.02653	0.02653	T	T
ACSL1	ENST00000515030	0.001005	0.001005	T	T
ACTB	ENST00000432588	0.005082	0.005082	T	T
ACTB	ENST00000432588	0.01599	0.01599	F	T
ACTBL2	ENST00000423391	0.7903	0.7903	T	T
ACTL7B	ENST00000374667	0.682	0.682	T	T
ACTL8	ENST00000617065	0.05094	0.05094	T	T
ACTN2	ENST00000651275	0.001373	0.001373	T	T
ACTN4	ENST00000586538	0.004803	0.004803	T	T
ACTN4	ENST00000440400	0.00695	0.00695	T	T
ACTN4	ENST00000252699	0.01404	0.01404	T	T
ACTN4	ENST00000586538	0.01498	0.01498	F	T
ACTR3	ENST00000535589	0.1322	0.1322	T	T
ACTR3B	ENST00000397282	0.2547	0.2547	T	T
ACTR3B	ENST00000397282	0.2558	0.2558	F	T
ACTR3C	ENST00000613959	0.2923	0.2923	T	T
ACTR3C	ENST00000613959	0.3355	0.3355	F	T
ACTR3C	ENST00000613959	0.3462	0.3462	F	T
ACTRT2	ENST00000378404	0.04079	0.04079	T	T
ACTRT2	ENST00000378404	0.067	0.067	F	T
ACYP2	ENST00000607452	0.04746	0.04746	T	T
ADAM15	ENST00000447332	0.01211	0.01211	T	T
ADAM17	ENST00000310823	0.01595	0.01595	T	T
ADAM29	ENST00000514159	0.09794	0.09794	T	T
ADAMTS14	ENST00000373207	0.02356	0.02356	T	T
ADAMTS2	ENST00000274609	0.2439	0.2439	T	T
ADAMTS2	ENST00000518335	0.2439	0.2439	T	T
ADAMTS5	ENST00000284987	0.2809	0.2809	T	T
ADAMTS6	ENST00000381055	0.08339	0.08339	T	T
ADAMTS6	ENST00000381055	0.5203	0.5203	F	T
ADAMTS9	ENST00000295903	0.03222	0.03222	T	T
ADAMTS9	ENST00000295903	0.03329	0.03329	F	T
ADAMTS9	ENST00000481060	0.11	0.11	F	T
ADAMTSL1	ENST00000636209	0.0003849	0.0003849	T	T
ADARB1	ENST00000389863	0.009224	0.009224	T	T
ADARB1	ENST00000437626	0.009224	0.009224	T	T
ADARB1	ENST00000360697	0.07484	0.07484	T	T
ADAT2	ENST00000606514	0.2829	0.2829	T	T
ADAT3	ENST00000329478	0.001174	0.001174	T	T
ADCK1	ENST00000238561	0.02539	0.02539	T	T
ADCK1	ENST00000341211	0.2477	0.2477	F	T
ADCY5	ENST00000462833	0.04008	0.04008	T	T
ADCY8	ENST00000522949	0.07778	0.07778	T	T
ADCY8	ENST00000286355	0.7839	0.7839	F	T
ADCY8	ENST00000286355	0.7847	0.7847	F	T
ADCY8	ENST00000286355	0.8301	0.8301	F	T
ADD2	ENST00000456320	0.003201	0.003201	T	T
ADGB	ENST00000367489	0.1272	0.1272	T	T
ADGRD1	ENST00000543617	0.08299	0.08299	T	T
ADGRD2	ENST00000334810	0.005918	0.005918	T	T
ADGRG3	ENST00000450388	0.00994	0.00994	T	T
ADGRG5	ENST00000340339	0.05674	0.05674	F	T
ADGRL1	ENST00000361434	0.02462	0.02462	T	T
ADGRL1	ENST00000361434	0.02762	0.02762	F	T
ADGRL2	ENST00000402328	0.5734	0.5734	T	T
ADGRV1	ENST00000640403	0.02786	0.02786	T	T
ADGRV1	ENST00000405460	0.03533	0.03533	T	T
