Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000263100	0.006795	0.006795	T	T
A2M	ENST00000318602	0.0336	0.0336	T	T
A2M	ENST00000318602	0.03833	0.03833	F	T
A2M	ENST00000318602	0.03923	0.03923	F	T
A2M	ENST00000318602	0.04076	0.04076	F	T
A2M	ENST00000318602	0.04247	0.04247	F	T
A2M	ENST00000318602	0.04438	0.04438	F	T
A2M	ENST00000318602	0.04638	0.04638	F	T
A2M	ENST00000318602	0.04737	0.04737	F	T
A2M	ENST00000318602	0.04992	0.04992	F	T
A2M	ENST00000318602	0.05218	0.05218	F	T
A2M	ENST00000318602	0.05423	0.05423	F	T
A2M	ENST00000318602	0.05564	0.05564	F	T
A2M	ENST00000318602	0.05625	0.05625	F	T
A2M	ENST00000318602	0.05783	0.05783	F	T
A2M	ENST00000318602	0.0597	0.0597	F	T
A2M	ENST00000318602	0.06189	0.06189	F	T
A2M	ENST00000318602	0.06251	0.06251	F	T
A2M	ENST00000318602	0.06432	0.06432	F	T
A2M	ENST00000318602	0.06521	0.06521	F	T
A2M	ENST00000318602	0.06667	0.06667	F	T
A2M	ENST00000318602	0.06769	0.06769	F	T
A2M	ENST00000318602	0.07006	0.07006	F	T
A2M	ENST00000318602	0.07599	0.07599	F	T
A2M	ENST00000318602	0.07701	0.07701	F	T
A2M	ENST00000318602	0.07905	0.07905	F	T
A2M	ENST00000318602	0.08053	0.08053	F	T
A2M	ENST00000318602	0.08267	0.08267	F	T
A2M	ENST00000318602	0.08403	0.08403	F	T
A2M	ENST00000318602	0.0845	0.0845	F	T
A2M	ENST00000318602	0.08504	0.08504	F	T
A2M	ENST00000318602	0.08628	0.08628	F	T
A2M	ENST00000318602	0.08798	0.08798	F	T
A3GALT2	ENST00000442999	0.003912	0.003912	T	T
A3GALT2	ENST00000442999	0.03556	0.03556	F	T
A3GALT2	ENST00000442999	0.04017	0.04017	F	T
A3GALT2	ENST00000442999	0.04124	0.04124	F	T
A3GALT2	ENST00000442999	0.0421	0.0421	F	T
A3GALT2	ENST00000442999	0.04386	0.04386	F	T
A3GALT2	ENST00000442999	0.04552	0.04552	F	T
A3GALT2	ENST00000442999	0.04769	0.04769	F	T
A3GALT2	ENST00000442999	0.04868	0.04868	F	T
A3GALT2	ENST00000442999	0.0498	0.0498	F	T
AAK1	ENST00000606389	0.09098	0.09098	T	T
AAK1	ENST00000623317	0.09098	0.09098	T	T
AAK1	ENST00000606389	0.09559	0.09559	F	T
AAK1	ENST00000623317	0.09559	0.09559	F	T
AAK1	ENST00000606389	0.1137	0.1137	F	T
AAK1	ENST00000623317	0.1137	0.1137	F	T
AAK1	ENST00000606389	0.1193	0.1193	F	T
AAK1	ENST00000623317	0.1193	0.1193	F	T
AAK1	ENST00000606389	0.1203	0.1203	F	T
AAK1	ENST00000623317	0.1203	0.1203	F	T
AAK1	ENST00000409068	0.1322	0.1322	T	T
AARS1	ENST00000565361	0.0006096	0.0006096	T	T
AARS1	ENST00000565361	0.001642	0.001642	F	T
AARS1	ENST00000565361	0.002798	0.002798	F	T
AARS1	ENST00000565361	0.004129	0.004129	F	T
AARS1	ENST00000565361	0.004406	0.004406	F	T
AARS1	ENST00000565361	0.005193	0.005193	F	T
AARS1	ENST00000565361	0.005635	0.005635	F	T
AARS1	ENST00000565361	0.007693	0.007693	F	T
AARS1	ENST00000565361	0.009471	0.009471	F	T
AARS1	ENST00000565361	0.01174	0.01174	F	T
AARS1	ENST00000565361	0.01451	0.01451	F	T
AARS1	ENST00000565361	0.01928	0.01928	F	T
AARS1	ENST00000261772	0.02012	0.02012	F	T
AARS1	ENST00000565361	0.0223	0.0223	F	T
AARS1	ENST00000261772	0.02279	0.02279	F	T
AARS1	ENST00000565361	0.02326	0.02326	F	T
AARS1	ENST00000565361	0.02564	0.02564	F	T
AARSD1	ENST00000427569	0.004299	0.004299	T	T
AARSD1	ENST00000427569	0.00523	0.00523	F	T
AARSD1	ENST00000427569	0.008204	0.008204	F	T
AARSD1	ENST00000427569	0.008892	0.008892	F	T
AARSD1	ENST00000427569	0.02759	0.02759	F	T
AARSD1	ENST00000427569	0.06055	0.06055	F	T
AATF	ENST00000610798	0.01409	0.01409	T	T
ABCA13	ENST00000435803	0.04655	0.04655	T	T
ABCA3	ENST00000567910	0.03815	0.03815	T	T
ABCA3	ENST00000567910	0.045	0.045	F	T
ABCA4	ENST00000536513	0.09811	0.09811	T	T
ABCB4	ENST00000417608	0.07572	0.07572	T	T
ABCB4	ENST00000417608	0.09587	0.09587	F	T
ABCB9	ENST00000346530	0.000211	0.000211	T	T
ABCB9	ENST00000540285	0.000211	0.000211	T	T
ABCB9	ENST00000344275	0.0004128	0.0004128	T	T
ABCB9	ENST00000442833	0.0004128	0.0004128	T	T
ABCB9	ENST00000392439	0.0007604	0.0007604	T	T
ABCB9	ENST00000442028	0.0007604	0.0007604	T	T
ABCB9	ENST00000543935	0.0008253	0.0008253	T	T
ABCB9	ENST00000346530	0.00134	0.00134	F	T
ABCB9	ENST00000344275	0.001893	0.001893	F	T
ABCB9	ENST00000442833	0.001893	0.001893	F	T
ABCB9	ENST00000346530	0.002598	0.002598	F	T
ABCB9	ENST00000344275	0.003492	0.003492	F	T
ABCB9	ENST00000442833	0.003492	0.003492	F	T
ABCB9	ENST00000346530	0.005018	0.005018	F	T
ABCB9	ENST00000344275	0.005094	0.005094	F	T
ABCB9	ENST00000442833	0.005094	0.005094	F	T
ABCB9	ENST00000344275	0.005901	0.005901	F	T
ABCB9	ENST00000442833	0.005901	0.005901	F	T
ABCB9	ENST00000346530	0.007311	0.007311	F	T
ABCB9	ENST00000344275	0.007546	0.007546	F	T
ABCB9	ENST00000442833	0.007546	0.007546	F	T
ABCB9	ENST00000344275	0.00975	0.00975	F	T
ABCB9	ENST00000442833	0.00975	0.00975	F	T
ABCB9	ENST00000344275	0.01192	0.01192	F	T
ABCB9	ENST00000442833	0.01192	0.01192	F	T
ABCB9	ENST00000541424	0.01241	0.01241	T	T
ABCB9	ENST00000344275	0.013	0.013	F	T
ABCB9	ENST00000442833	0.013	0.013	F	T
ABCB9	ENST00000542678	0.01403	0.01403	F	T
ABCB9	ENST00000542678	0.01737	0.01737	F	T
ABCB9	ENST00000542678	0.03383	0.03383	F	T
ABCB9	ENST00000542678	0.04956	0.04956	F	T
ABCB9	ENST00000542678	0.05133	0.05133	F	T
ABCB9	ENST00000542678	0.05249	0.05249	F	T
ABCC4	ENST00000646439	0.1436	0.1436	T	T
ABCC5	ENST00000265586	0.004319	0.004319	T	T
ABCC5	ENST00000446941	0.004319	0.004319	T	T
ABCC5	ENST00000265586	0.01311	0.01311	F	T
ABCC5	ENST00000446941	0.01311	0.01311	F	T
ABCD3	ENST00000370214	0.1604	0.1604	T	T
ABCD3	ENST00000370214	0.1633	0.1633	F	T
ABCD3	ENST00000370214	0.1652	0.1652	F	T
ABCF1	ENST00000326195	0.001859	0.001859	T	T
ABCF1	ENST00000376545	0.001859	0.001859	T	T
ABCF1	ENST00000441867	0.001859	0.001859	T	T
ABCF1	ENST00000468958	0.001859	0.001859	T	T
ABCF1	ENST00000326195	0.003476	0.003476	F	T
ABCF1	ENST00000468958	0.003476	0.003476	F	T
ABCF1	ENST00000376545	0.004001	0.004001	F	T
ABCF1	ENST00000326195	0.00449	0.00449	F	T
ABCF1	ENST00000468958	0.00449	0.00449	F	T
ABCF1	ENST00000376545	0.005207	0.005207	F	T
ABCF1	ENST00000376545	0.00634	0.00634	F	T
ABCF1	ENST00000326195	0.006508	0.006508	F	T
ABCF1	ENST00000468958	0.006508	0.006508	F	T
ABCF1	ENST00000326195	0.008525	0.008525	F	T
ABCF1	ENST00000468958	0.008525	0.008525	F	T
ABCF1	ENST00000326195	0.01033	0.01033	F	T
