Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.0263	0.0263	T	T
A1CF	ENST00000373995	0.0263	0.0263	T	T
A1CF	ENST00000374001	0.0263	0.0263	T	T
A1CF	ENST00000395489	0.0263	0.0263	T	T
A1CF	ENST00000395495	0.0263	0.0263	T	T
A1CF	ENST00000414883	0.0263	0.0263	T	T
A2ML1	ENST00000545692	0.0003409	0.0003409	T	T
A2ML1	ENST00000545692	0.001712	0.001712	F	T
A4GALT	ENST00000401850	0.02977	0.02977	T	T
AADACL2	ENST00000356517	0.1023	0.1023	T	T
AADACL2	ENST00000356517	0.2231	0.2231	F	T
AADAT	ENST00000502392	0.8839	0.8839	T	T
AADAT	ENST00000502392	0.8997	0.8997	F	T
AAR2	ENST00000397286	0.01994	0.01994	T	T
AATF	ENST00000616434	0.01289	0.01289	T	T
AATF	ENST00000610798	0.01402	0.01402	T	T
AATF	ENST00000616434	0.03851	0.03851	F	T
ABCA12	ENST00000272895	0.1496	0.1496	T	T
ABCA13	ENST00000544596	0.07895	0.07895	T	T
ABCA3	ENST00000567910	0.004897	0.004897	T	T
ABCA3	ENST00000567910	0.02307	0.02307	F	T
ABCA3	ENST00000567910	0.05609	0.05609	F	T
ABCA9	ENST00000495634	0.06365	0.06365	T	T
ABCB4	ENST00000417608	0.05048	0.05048	T	T
ABCB9	ENST00000542678	0.007805	0.007805	T	T
ABCC4	ENST00000645237	0.06889	0.06889	T	T
ABCC4	ENST00000645237	0.1186	0.1186	F	T
ABCC5	ENST00000437341	0.1269	0.1269	F	T
ABCC6	ENST00000640696	0.03131	0.03131	T	T
ABCC9	ENST00000544039	0.009316	0.009316	T	T
ABCD3	ENST00000370214	0.08685	0.08685	T	T
ABCF1	ENST00000326195	0.02689	0.02689	T	T
ABCF1	ENST00000468958	0.02689	0.02689	T	T
ABCG8	ENST00000644611	0.01719	0.01719	T	T
ABHD17A	ENST00000590661	0.0109	0.0109	T	T
ABHD3	ENST00000580477	0.008864	0.008864	T	T
ABHD5	ENST00000456453	0.05257	0.05257	F	T
ABHD5	ENST00000456453	0.05327	0.05327	F	T
ABL1	ENST00000318560	0.009858	0.009858	T	T
ABL1	ENST00000393293	0.075	0.075	T	T
ABL2	ENST00000367623	0.06139	0.06139	T	T
ABL2	ENST00000507173	0.06139	0.06139	T	T
ABL2	ENST00000511413	0.06139	0.06139	T	T
ABO	ENST00000538324	0.05802	0.05802	T	T
ABO	ENST00000611156	0.05802	0.05802	T	T
ABR	ENST00000544583	0.02039	0.02039	T	T
ABRACL	ENST00000367660	0.02773	0.02773	T	T
ACACB	ENST00000544726	0.08293	0.08293	T	T
ACAD9	ENST00000514336	0.001207	0.001207	T	T
ACAD9	ENST00000514336	0.04468	0.04468	F	T
ACAD9	ENST00000514336	0.0466	0.0466	F	T
ACADS	ENST00000411593	0.008065	0.008065	T	T
ACAP1	ENST00000575425	0.006704	0.006704	T	T
ACKR2	ENST00000492609	0.003986	0.003986	T	T
ACO2	ENST00000396512	0.03725	0.03725	T	T
ACOX3	ENST00000514423	0.1586	0.1586	F	T
ACOXL	ENST00000448863	0.0486	0.0486	T	T
ACRBP	ENST00000546114	0.004847	0.004847	T	T
ACSL3	ENST00000540115	0.0165	0.0165	T	T
ACSL3	ENST00000392066	0.1679	0.1679	F	T
ACSL3	ENST00000392066	0.1684	0.1684	F	T
ACSL5	ENST00000354273	0.05583	0.05583	T	T
ACSM2B	ENST00000569163	0.006429	0.006429	T	T
ACSM4	ENST00000399422	0.08637	0.08637	T	T
ACTB	ENST00000432588	0.004553	0.004553	T	T
ACTB	ENST00000432588	0.008569	0.008569	F	T
ACTB	ENST00000432588	0.009917	0.009917	F	T
ACTB	ENST00000432588	0.01484	0.01484	F	T
ACTBL2	ENST00000423391	0.7915	0.7915	T	T
ACTL9	ENST00000612068	0.04774	0.04774	T	T
ACTN3	ENST00000513398	0.01906	0.01906	T	T
ACTR1A	ENST00000487599	0.008652	0.008652	F	T
ACTR3B	ENST00000377776	0.07851	0.07851	T	T
ACTR3C	ENST00000613959	0.3358	0.3358	T	T
ACTR3C	ENST00000613959	0.3663	0.3663	F	T
ACTRT2	ENST00000378404	0.06634	0.06634	T	T
ACTRT2	ENST00000378404	0.08241	0.08241	F	T
ACTRT3	ENST00000330368	0.02276	0.02276	T	T
ADAM15	ENST00000447332	0.01214	0.01214	T	T
