Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AACS	ENST00000316519	0.00447	0.00447	T	T
AACS	ENST00000316519	0.2049	0.2049	F	T
AASS	ENST00000393376	0.02385	0.02385	T	T
AATF	ENST00000616434	0.03791	0.03791	T	T
ABCA13	ENST00000544596	0.004422	0.004422	T	T
ABCA3	ENST00000382381	0.05581	0.05581	T	T
ABCC6	ENST00000640696	0.04144	0.04144	T	T
ABCD3	ENST00000370214	0.1472	0.1472	T	T
ABCF1	ENST00000326195	0.02713	0.02713	T	T
ABCF1	ENST00000468958	0.02713	0.02713	T	T
ABCF3	ENST00000292808	0.03587	0.03587	T	T
ABI2	ENST00000261016	0.06551	0.06551	T	T
ABI2	ENST00000261018	0.06551	0.06551	T	T
ABLIM1	ENST00000651023	0.01338	0.01338	T	T
ACACB	ENST00000544726	0.09415	0.09415	T	T
ACBD3	ENST00000366812	0.001023	0.001023	T	T
ACO1	ENST00000541043	0.6625	0.6625	F	T
ACSF3	ENST00000544543	0.007884	0.007884	T	T
ACTR3B	ENST00000397282	0.2534	0.2534	T	T
ACTR3B	ENST00000397282	0.486	0.486	F	T
ADAM17	ENST00000310823	0.01575	0.01575	T	T
ADARB1	ENST00000348831	0.09769	0.09769	T	T
ADCK1	ENST00000341211	0.2479	0.2479	T	T
ADCY10	ENST00000476818	0.01663	0.01663	T	T
ADCY9	ENST00000294016	0.004665	0.004665	T	T
ADCY9	ENST00000576936	0.05058	0.05058	T	T
ADD1	ENST00000651918	0.002295	0.002295	T	T
ADGRB1	ENST00000323289	0.07014	0.07014	T	T
ADGRG6	ENST00000508295	0.4412	0.4412	T	T
ADGRL1	ENST00000361434	0.02758	0.02758	T	T
ADGRL3	ENST00000512091	0.1066	0.1066	T	T
ADGRL3	ENST00000502815	0.2255	0.2255	T	T
ADRA1B	ENST00000641205	0.03768	0.03768	T	T
ADRA2A	ENST00000280155	0.9964	0.9964	T	T
ADSS1	ENST00000556623	0.00689	0.00689	T	T
AFG1L	ENST00000368977	0.03099	0.03099	T	T
AGAP4	ENST00000311652	7.399e-05	7.399e-05	T	T
AGAP4	ENST00000616763	7.399e-05	7.399e-05	T	T
AGBL4	ENST00000416121	0.8528	0.8528	T	T
AGK	ENST00000629555	0.1544	0.1544	T	T
AGPAT4	ENST00000320285	0.2394	0.2394	T	T
AGR3	ENST00000414935	0.03876	0.03876	T	T
AGRN	ENST00000651234	0.03502	0.03502	T	T
AGRN	ENST00000652369	0.03502	0.03502	T	T
