Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000263100	0.006042	0.006042	T	T
A1BG	ENST00000600966	0.02312	0.02312	F	T
A2M	ENST00000318602	0.02697	0.02697	T	T
AAMDC	ENST00000525034	0.01919	0.01919	T	T
AATF	ENST00000610798	0.01419	0.01419	T	T
AATF	ENST00000616434	0.05449	0.05449	F	T
AATF	ENST00000616434	0.06978	0.06978	F	T
ABCA13	ENST00000435803	0.0432	0.0432	T	T
ABCA2	ENST00000614293	0.0006548	0.0006548	T	T
ABCB1	ENST00000622132	0.07535	0.07535	T	T
ABCB9	ENST00000542678	0.007653	0.007653	T	T
ABCC1	ENST00000572882	0.055	0.055	T	T
ABCC1	ENST00000572882	0.1087	0.1087	F	T
ABCC12	ENST00000311303	0.02653	0.02653	T	T
ABCC4	ENST00000646439	0.1984	0.1984	T	T
ABCC5	ENST00000437341	0.001147	0.001147	T	T
ABCD3	ENST00000370214	0.1769	0.1769	T	T
ABCG2	ENST00000237612	0.03357	0.03357	T	T
ABHD17A	ENST00000250974	0.0002779	0.0002779	T	T
ABHD17A	ENST00000292577	0.0002779	0.0002779	T	T
ABHD17A	ENST00000590661	0.01066	0.01066	F	T
ABLIM1	ENST00000651023	0.05814	0.05814	T	T
ABLIM2	ENST00000428004	0.003658	0.003658	T	T
ABLIM2	ENST00000428004	0.004523	0.004523	F	T
ABO	ENST00000538324	0.02443	0.02443	T	T
ABO	ENST00000611156	0.02443	0.02443	T	T
ABT1	ENST00000274849	0.04901	0.04901	T	T
ABT1	ENST00000274849	0.05586	0.05586	F	T
ACAA2	ENST00000586100	0.02041	0.02041	T	T
ACAA2	ENST00000587994	0.02041	0.02041	T	T
ACACA	ENST00000612895	0.02061	0.02061	T	T
ACACA	ENST00000617649	0.02061	0.02061	T	T
ACACA	ENST00000612895	0.02248	0.02248	F	T
ACACA	ENST00000617649	0.02248	0.02248	F	T
ACACA	ENST00000619546	0.09563	0.09563	T	T
ACADS	ENST00000411593	0.02871	0.02871	T	T
ACADS	ENST00000411593	0.03047	0.03047	F	T
ACAP1	ENST00000158762	0.002693	0.002693	F	T
ACAP1	ENST00000575425	0.003372	0.003372	T	T
ACOT11	ENST00000343744	0.05808	0.05808	T	T
ACOT11	ENST00000371316	0.05808	0.05808	T	T
ACOX1	ENST00000587927	0.007635	0.007635	T	T
ACSF3	ENST00000537895	0.005469	0.005469	T	T
ACSM6	ENST00000341686	0.1225	0.1225	T	T
ACSS1	ENST00000376726	0.01316	0.01316	T	T
ACTA2	ENST00000224784	0.02131	0.02131	T	T
ACTB	ENST00000647275	0.007479	0.007479	T	T
ACTBL2	ENST00000423391	0.7918	0.7918	T	T
ACTN4	ENST00000440400	0.00742	0.00742	T	T
ACTN4	ENST00000586538	0.01369	0.01369	T	T
ACTN4	ENST00000252699	0.01438	0.01438	T	T
ACTN4	ENST00000586538	0.01514	0.01514	F	T
ACTR3B	ENST00000397282	0.2557	0.2557	T	T
ACTR3C	ENST00000613959	0.293	0.293	T	T
ACYP2	ENST00000607452	0.04739	0.04739	T	T
ADAMTS5	ENST00000284987	0.02551	0.02551	T	T
ADAMTS5	ENST00000284987	0.2807	0.2807	F	T
ADAMTSL3	ENST00000286744	0.2903	0.2903	T	T
ADAP1	ENST00000437486	0.01568	0.01568	T	T
ADAP1	ENST00000617043	0.01568	0.01568	T	T
ADARB2	ENST00000381312	0.489	0.489	T	T
ADAT3	ENST00000329478	0.0006745	0.0006745	T	T
ADCK1	ENST00000238561	0.02555	0.02555	T	T
ADCK1	ENST00000341211	0.2475	0.2475	F	T
ADCK1	ENST00000341211	0.2494	0.2494	F	T
ADD2	ENST00000456320	0.003472	0.003472	T	T
ADGRE2	ENST00000594076	0.06686	0.06686	T	T
ADGRE2	ENST00000594294	0.06686	0.06686	T	T
ADGRE2	ENST00000595839	0.06686	0.06686	T	T
ADGRE2	ENST00000596991	0.06686	0.06686	T	T
ADGRE3	ENST00000443157	0.01602	0.01602	T	T
ADGRE5	ENST00000358600	0.0456	0.0456	T	T
ADGRL1	ENST00000361434	0.0278	0.0278	T	T
ADGRV1	ENST00000640403	0.01438	0.01438	T	T
ADRA2C	ENST00000509482	0.01641	0.01641	T	T
ADRB2	ENST00000305988	0.09068	0.09068	T	T
ADRB2	ENST00000305988	0.09167	0.09167	F	T
ADRM1	ENST00000491935	0.02446	0.02446	T	T
AFTPH	ENST00000422803	0.005393	0.005393	T	T
AFTPH	ENST00000422803	0.006411	0.006411	F	T
AGAP1	ENST00000402604	0.1344	0.1344	T	T
AGFG2	ENST00000300176	0.01793	0.01793	T	T
AGK	ENST00000629555	0.2263	0.2263	T	T
AGRN	ENST00000651234	0.03496	0.03496	T	T
AGRN	ENST00000652369	0.03496	0.03496	T	T
AHCY	ENST00000538132	0.006507	0.006507	T	T
AHDC1	ENST00000644989	0.08561	0.08561	T	T
AHDC1	ENST00000644989	0.08895	0.08895	F	T
AIF1L	ENST00000372297	0.008963	0.008963	T	T
AKAP10	ENST00000583951	0.03873	0.03873	T	T
AKAP12	ENST00000402676	0.07889	0.07889	T	T
AKAP12	ENST00000402676	0.07963	0.07963	F	T
AKAP8L	ENST00000600247	0.004213	0.004213	T	T
AKTIP	ENST00000568022	0.06328	0.06328	T	T
AKTIP	ENST00000568022	0.06417	0.06417	F	T
ALAS1	ENST00000469224	0.01877	0.01877	T	T
ALDH1A2	ENST00000558231	0.06566	0.06566	T	T
ALDH3B2	ENST00000530069	0.1016	0.1016	T	T
ALG10	ENST00000266483	0.3057	0.3057	T	T
ALG10	ENST00000538927	0.4126	0.4126	F	T
ALMS1	ENST00000651057	0.1165	0.1165	T	T
ALOX12	ENST00000251535	0.03974	0.03974	T	T
ALOX12B	ENST00000647874	0.003868	0.003868	T	T
ALOX12B	ENST00000647874	0.005349	0.005349	F	T
ALOX15	ENST00000572265	0.009668	0.009668	T	T
ALOX15	ENST00000572265	0.01066	0.01066	F	T
ALOX15B	ENST00000573359	0.006362	0.006362	T	T
ALOX15B	ENST00000572022	0.02006	0.02006	F	T
ALOX15B	ENST00000572022	0.02965	0.02965	F	T
ALOX15B	ENST00000572022	0.03041	0.03041	F	T
ALOX15B	ENST00000572022	0.03193	0.03193	F	T
ALOX15B	ENST00000572022	0.03332	0.03332	F	T
ALPP	ENST00000392027	0.0013	0.0013	T	T
AMOTL1	ENST00000299004	0.0006578	0.0006578	T	T
AMPD3	ENST00000532250	0.004187	0.004187	T	T
ANGPT4	ENST00000381922	0.06502	0.06502	T	T
ANGPTL4	ENST00000594875	0.01811	0.01811	T	T
ANK2	ENST00000514167	0.1185	0.1185	T	T
ANK3	ENST00000616444	0.02276	0.02276	T	T
ANK3	ENST00000373820	0.02303	0.02303	T	T
ANKH	ENST00000284268	0.0372	0.0372	T	T
ANKRD11	ENST00000645664	0.01903	0.01903	T	T
ANKRD36	ENST00000620383	0.1692	0.1692	T	T
ANKRD36	ENST00000620383	0.1761	0.1761	F	T
ANKRD36	ENST00000620383	0.1771	0.1771	F	T
ANKRD36B	ENST00000497329	0.2104	0.2104	T	T
ANKRD36C	ENST00000612359	0.03597	0.03597	T	T
ANKRD36C	ENST00000612359	0.04784	0.04784	F	T
ANKRD46	ENST00000519316	0.1867	0.1867	T	T
ANKRD54	ENST00000406423	0.01025	0.01025	T	T
ANKRD54	ENST00000424350	0.01025	0.01025	T	T
ANKS1B	ENST00000552748	0.003815	0.003815	T	T
ANKS1B	ENST00000552748	0.005348	0.005348	F	T
ANLN	ENST00000428612	0.007366	0.007366	T	T
ANO7	ENST00000402430	0.01115	0.01115	T	T
ANP32E	ENST00000629042	0.01067	0.01067	T	T
ANXA9	ENST00000368947	0.002883	0.002883	T	T
AOAH	ENST00000612871	0.1619	0.1619	T	T
AOAH	ENST00000612871	0.2088	0.2088	F	T
AP2A2	ENST00000527024	0.00111	0.00111	T	T
AP3M1	ENST00000372745	0.07283	0.07283	T	T
AP3M1	ENST00000372745	0.07462	0.07462	F	T
AP3S2	ENST00000560940	0.0315	0.0315	T	T
AP5B1	ENST00000532090	0.02222	0.02222	T	T
APBA3	ENST00000316757	0.001033	0.001033	T	T
APCDD1	ENST00000355285	0.4221	0.4221	T	T
APOBEC3G	ENST00000407997	0.001383	0.001383	T	T
APOE	ENST00000425718	0.0004159	0.0004159	T	T
APOE	ENST00000252486	0.0006156	0.0006156	T	T
APOE	ENST00000434152	0.0006156	0.0006156	T	T
APOE	ENST00000446996	0.0006156	0.0006156	T	T
APOE	ENST00000425718	0.001593	0.001593	F	T
APOH	ENST00000577982	0.02514	0.02514	T	T
APOLD1	ENST00000356591	0.04183	0.04183	T	T
APTX	ENST00000309615	0.0003259	0.0003259	T	T
APTX	ENST00000379812	0.0003259	0.0003259	T	T
APTX	ENST00000379813	0.0003259	0.0003259	T	T
APTX	ENST00000379819	0.0003259	0.0003259	T	T
APTX	ENST00000379825	0.0003259	0.0003259	T	T
APTX	ENST00000397172	0.0003259	0.0003259	T	T
APTX	ENST00000436040	0.0003259	0.0003259	T	T
APTX	ENST00000463596	0.0003259	0.0003259	T	T
APTX	ENST00000473221	0.0003259	0.0003259	T	T
APTX	ENST00000476858	0.0003259	0.0003259	T	T
APTX	ENST00000477119	0.0003259	0.0003259	T	T
ARAP3	ENST00000239440	0.1089	0.1089	T	T
ARFGEF1	ENST00000519436	0.005282	0.005282	T	T
ARFGEF1	ENST00000262215	0.364	0.364	F	T
ARFGEF2	ENST00000371917	0.06065	0.06065	T	T
ARFGEF2	ENST00000371917	0.06188	0.06188	F	T
ARHGAP17	ENST00000573449	0.05278	0.05278	T	T
ARHGAP17	ENST00000573449	0.05411	0.05411	F	T
ARHGAP23	ENST00000622683	0.009091	0.009091	T	T
ARHGAP23	ENST00000618942	0.02708	0.02708	T	T
ARHGAP24	ENST00000264343	0.02903	0.02903	T	T
ARHGAP25	ENST00000409202	0.08081	0.08081	T	T
ARHGAP29	ENST00000370217	0.1508	0.1508	T	T
ARHGAP32	ENST00000392657	0.0781	0.0781	T	T
ARHGDIG	ENST00000447871	0.000253	0.000253	T	T
ARHGDIG	ENST00000414650	0.0003169	0.0003169	T	T
ARHGDIG	ENST00000414650	0.0009428	0.0009428	F	T
ARHGDIG	ENST00000447871	0.001614	0.001614	F	T
ARHGEF17	ENST00000263674	0.002442	0.002442	T	T
ARHGEF17	ENST00000643371	0.03046	0.03046	T	T
ARHGEF2	ENST00000462460	0.001606	0.001606	T	T
ARHGEF33	ENST00000409978	0.004754	0.004754	T	T
ARHGEF33	ENST00000409978	0.006204	0.006204	F	T
ARHGEF33	ENST00000433605	0.08897	0.08897	T	T
ARHGEF33	ENST00000433605	0.08996	0.08996	F	T
ARHGEF7	ENST00000317133	0.03021	0.03021	T	T
ARL14EP	ENST00000530909	0.03321	0.03321	T	T
ARL14EP	ENST00000282032	0.08852	0.08852	F	T
ARL4A	ENST00000404894	0.2472	0.2472	T	T
ARL4C	ENST00000390645	0.04331	0.04331	T	T
ARL4C	ENST00000339728	0.4514	0.4514	F	T
ARMH1	ENST00000453711	0.008762	0.008762	T	T
ARSA	ENST00000216124	0.00791	0.00791	T	T
ASAH1	ENST00000635756	0.008709	0.008709	T	T
ASAH1	ENST00000635756	0.00999	0.00999	F	T
ASCC2	ENST00000542393	0.03081	0.03081	T	T
ASGR1	ENST00000619926	0.009066	0.009066	T	T
ASGR1	ENST00000574330	0.04237	0.04237	F	T
ASGR1	ENST00000574330	0.04366	0.04366	F	T
ASGR2	ENST00000574868	0.005058	0.005058	T	T
ASGR2	ENST00000574868	0.01139	0.01139	F	T
ASGR2	ENST00000574868	0.01391	0.01391	F	T
ASGR2	ENST00000574868	0.02239	0.02239	F	T
ASGR2	ENST00000574868	0.05489	0.05489	F	T
ASGR2	ENST00000574868	0.05649	0.05649	F	T
ASGR2	ENST00000574868	0.05778	0.05778	F	T
ASPDH	ENST00000376916	0.0281	0.0281	F	T
ASPDH	ENST00000376916	0.02919	0.02919	F	T
ASRGL1	ENST00000528206	0.004057	0.004057	T	T
ASRGL1	ENST00000528206	0.03467	0.03467	F	T
ASS1	ENST00000443588	0.09014	0.09014	T	T
ASXL1	ENST00000645688	0.07582	0.07582	T	T
ASXL1	ENST00000645688	0.07731	0.07731	F	T
ATAD3A	ENST00000378756	0.003574	0.003574	T	T
ATAD3C	ENST00000378785	0.004575	0.004575	T	T
ATF7IP2	ENST00000324570	0.09185	0.09185	T	T
ATF7IP2	ENST00000356427	0.09185	0.09185	T	T
ATG7	ENST00000423116	0.01777	0.01777	T	T
ATG7	ENST00000423116	0.07355	0.07355	F	T
ATP23	ENST00000300145	0.001006	0.001006	T	T
ATP23	ENST00000300145	0.001534	0.001534	F	T
ATP23	ENST00000300145	0.003891	0.003891	F	T
ATP23	ENST00000300145	0.004505	0.004505	F	T
ATP23	ENST00000300145	0.4699	0.4699	F	T
ATP23	ENST00000300145	0.9047	0.9047	F	T
ATP2B2	ENST00000467702	0.03356	0.03356	T	T
ATP5F1B	ENST00000262030	0.02926	0.02926	T	T
ATP5F1D	ENST00000215375	0.0005137	0.0005137	T	T
ATP5F1D	ENST00000395633	0.0005137	0.0005137	T	T
ATP5F1D	ENST00000591660	0.0005137	0.0005137	T	T
ATP5F1D	ENST00000395633	0.001277	0.001277	F	T
ATP5MC2	ENST00000552242	0.02373	0.02373	T	T
ATP5MC2	ENST00000549748	0.02827	0.02827	F	T
ATP5MC2	ENST00000552242	0.03196	0.03196	F	T
ATP6V1A	ENST00000475322	0.0565	0.0565	T	T
ATP6V1F	ENST00000492758	0.003264	0.003264	T	T
ATP8A2	ENST00000255283	0.0561	0.0561	T	T
ATXN10	ENST00000435026	0.04711	0.04711	T	T
ATXN7L1	ENST00000478915	0.1641	0.1641	T	T
AURKB	ENST00000581511	0.01203	0.01203	T	T
AUTS2	ENST00000449547	0.0006699	0.0006699	T	T
AVPI1	ENST00000370626	0.03852	0.03852	T	T
B2M	ENST00000648006	0.01537	0.01537	T	T
