Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.02321	0.02321	T	T
A1CF	ENST00000373993	0.07788	0.07788	T	T
A1CF	ENST00000373993	0.1141	0.1141	F	T
A1CF	ENST00000373993	0.117	0.117	F	T
A2M	ENST00000318602	0.02711	0.02711	T	T
A2ML1	ENST00000541459	0.01685	0.01685	T	T
A4GALT	ENST00000401850	0.004389	0.004389	T	T
A4GALT	ENST00000381278	0.02201	0.02201	T	T
A4GALT	ENST00000642412	0.09981	0.09981	F	T
A4GNT	ENST00000236709	0.008414	0.008414	T	T
A4GNT	ENST00000236709	0.02582	0.02582	F	T
AACS	ENST00000316519	0.02455	0.02455	T	T
AACS	ENST00000316519	0.1006	0.1006	F	T
AACS	ENST00000316519	0.1507	0.1507	F	T
AADACL2	ENST00000356517	0.1955	0.1955	T	T
AADACL3	ENST00000359318	0.005805	0.005805	T	T
AADACL4	ENST00000376221	0.03399	0.03399	T	T
AADACL4	ENST00000376221	0.07015	0.07015	F	T
AADAT	ENST00000502392	0.2825	0.2825	T	T
AADAT	ENST00000502392	0.6443	0.6443	F	T
AADAT	ENST00000502392	0.7911	0.7911	F	T
AADAT	ENST00000502392	0.8846	0.8846	F	T
AAGAB	ENST00000560362	0.007257	0.007257	T	T
AAGAB	ENST00000560362	0.05382	0.05382	F	T
AAK1	ENST00000409085	0.04157	0.04157	T	T
AAK1	ENST00000606389	0.05012	0.05012	T	T
AAK1	ENST00000623317	0.05012	0.05012	T	T
AAK1	ENST00000409068	0.08096	0.08096	F	T
AAR2	ENST00000373932	0.01603	0.01603	T	T
AARS1	ENST00000261772	0.006256	0.006256	T	T
AARS2	ENST00000244571	0.01392	0.01392	T	T
AARSD1	ENST00000427569	0.0166	0.0166	T	T
AARSD1	ENST00000427569	0.0438	0.0438	F	T
AATF	ENST00000616434	0.06123	0.06123	T	T
ABAT	ENST00000569156	0.01719	0.01719	T	T
ABAT	ENST00000569156	0.05035	0.05035	F	T
ABAT	ENST00000569156	0.05673	0.05673	F	T
ABCA12	ENST00000272895	0.07383	0.07383	T	T
ABCA13	ENST00000435803	0.01542	0.01542	T	T
ABCA13	ENST00000411975	0.0189	0.0189	T	T
ABCA13	ENST00000435803	0.04305	0.04305	F	T
ABCA13	ENST00000435803	0.04585	0.04585	F	T
ABCA13	ENST00000435803	0.05877	0.05877	F	T
ABCA13	ENST00000544596	0.1198	0.1198	T	T
ABCA13	ENST00000411975	0.1562	0.1562	F	T
ABCA2	ENST00000265662	0.0007674	0.0007674	T	T
ABCA2	ENST00000371605	0.0007674	0.0007674	T	T
ABCA2	ENST00000614293	0.0007674	0.0007674	T	T
ABCA2	ENST00000625103	0.0007674	0.0007674	T	T
ABCA3	ENST00000382381	0.01226	0.01226	T	T
ABCA3	ENST00000567910	0.05606	0.05606	F	T
ABCA4	ENST00000370225	0.05034	0.05034	T	T
ABCA4	ENST00000649773	0.05189	0.05189	F	T
ABCA9	ENST00000585714	0.03907	0.03907	T	T
ABCA9	ENST00000585714	0.04141	0.04141	F	T
ABCB1	ENST00000622132	0.08917	0.08917	T	T
ABCB10	ENST00000344517	0.02249	0.02249	T	T
ABCB11	ENST00000649448	0.01169	0.01169	T	T
ABCB11	ENST00000650372	0.02746	0.02746	T	T
ABCB11	ENST00000649448	0.04581	0.04581	F	T
ABCB4	ENST00000440025	0.04802	0.04802	T	T
ABCB4	ENST00000440025	0.05277	0.05277	F	T
ABCB5	ENST00000406935	0.01815	0.01815	T	T
ABCB5	ENST00000443026	0.01815	0.01815	T	T
ABCB5	ENST00000404938	0.07237	0.07237	F	T
ABCB5	ENST00000258738	0.0808	0.0808	F	T
ABCB5	ENST00000258738	0.08855	0.08855	F	T
ABCB5	ENST00000404938	0.2692	0.2692	F	T
ABCB9	ENST00000541424	0.006483	0.006483	T	T
ABCB9	ENST00000542678	0.008045	0.008045	T	T
ABCC1	ENST00000399410	0.03853	0.03853	T	T
ABCC10	ENST00000372515	0.009533	0.009533	T	T
ABCC11	ENST00000569991	0.03666	0.03666	T	T
ABCC11	ENST00000394747	0.06617	0.06617	T	T
ABCC12	ENST00000527640	0.008657	0.008657	T	T
ABCC12	ENST00000527640	0.06986	0.06986	F	T
ABCC12	ENST00000311303	0.1153	0.1153	F	T
ABCC12	ENST00000311303	0.1412	0.1412	F	T
ABCC2	ENST00000647814	0.01094	0.01094	T	T
ABCC2	ENST00000648689	0.01094	0.01094	T	T
ABCC2	ENST00000647814	0.03719	0.03719	F	T
ABCC2	ENST00000648689	0.03719	0.03719	F	T
ABCC2	ENST00000647814	0.04597	0.04597	F	T
ABCC2	ENST00000648689	0.04597	0.04597	F	T
ABCC4	ENST00000645237	0.05165	0.05165	T	T
ABCC4	ENST00000646439	0.0573	0.0573	F	T
ABCC4	ENST00000646439	0.1995	0.1995	F	T
ABCC4	ENST00000646439	0.4646	0.4646	F	T
ABCC4	ENST00000646439	0.5727	0.5727	F	T
ABCC5	ENST00000437341	0.01929	0.01929	T	T
ABCC5	ENST00000437341	0.02915	0.02915	F	T
ABCC5	ENST00000437341	0.09977	0.09977	F	T
ABCC6	ENST00000205557	0.003556	0.003556	T	T
ABCC8	ENST00000528374	0.002225	0.002225	T	T
ABCC8	ENST00000528374	0.007506	0.007506	F	T
ABCC8	ENST00000528374	0.01256	0.01256	F	T
ABCC8	ENST00000302539	0.03636	0.03636	T	T
ABCC8	ENST00000389817	0.03636	0.03636	T	T
ABCC8	ENST00000643260	0.03636	0.03636	T	T
ABCC9	ENST00000261200	0.02048	0.02048	T	T
ABCC9	ENST00000261201	0.02048	0.02048	T	T
ABCC9	ENST00000621589	0.02048	0.02048	T	T
ABCC9	ENST00000544039	0.12	0.12	F	T
ABCD2	ENST00000308666	0.1608	0.1608	F	T
ABCD3	ENST00000370214	0.08612	0.08612	T	T
ABCD4	ENST00000556517	0.004157	0.004157	T	T
ABCF1	ENST00000376545	0.01226	0.01226	T	T
ABCF3	ENST00000292808	0.001902	0.001902	T	T
ABCF3	ENST00000429586	0.001902	0.001902	T	T
ABCG1	ENST00000347800	0.004299	0.004299	T	T
ABCG2	ENST00000237612	0.003001	0.003001	T	T
ABCG2	ENST00000503830	0.0644	0.0644	F	T
ABCG5	ENST00000405322	0.004505	0.004505	F	T
ABCG8	ENST00000644611	0.001035	0.001035	T	T
ABCG8	ENST00000272286	0.001615	0.001615	T	T
ABCG8	ENST00000644611	0.05479	0.05479	F	T
ABHD12	ENST00000576316	0.01587	0.01587	T	T
ABHD12	ENST00000471287	0.02044	0.02044	T	T
ABHD15	ENST00000307201	0.04743	0.04743	T	T
ABHD16A	ENST00000440843	0.0107	0.0107	T	T
ABHD17A	ENST00000590661	0.01032	0.01032	T	T
ABHD17C	ENST00000558464	0.03243	0.03243	T	T
ABHD17C	ENST00000560609	0.1545	0.1545	F	T
