Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A2M	ENST00000318602	0.1032	0.1032	T	T
ABCA9	ENST00000495634	0.06315	0.06315	T	T
ABCC4	ENST00000645237	0.1151	0.1151	T	T
ACSL1	ENST00000515030	0.001387	0.001387	T	T
ACTL8	ENST00000617065	0.05256	0.05256	T	T
ADIPOR2	ENST00000357103	0.09603	0.09603	T	T
ADRA1B	ENST00000641205	0.3008	0.3008	T	T
AFAP1	ENST00000382543	0.01733	0.01733	T	T
AFDN	ENST00000423229	0.05157	0.05157	T	T
AKAIN1	ENST00000434239	0.6842	0.6842	T	T
ALG10	ENST00000538927	0.5622	0.5622	T	T
AMDHD1	ENST00000553023	0.003462	0.003462	T	T
AMPD3	ENST00000532250	0.1119	0.1119	T	T
ANKRD11	ENST00000646838	0.02721	0.02721	T	T
ANKRD50	ENST00000504087	0.5713	0.5713	T	T
ANKRD50	ENST00000515641	0.5713	0.5713	T	T
AP2A2	ENST00000524559	0.002866	0.002866	T	T
AP5M1	ENST00000554863	0.06208	0.06208	T	T
APOBEC3F	ENST00000308521	0.0228	0.0228	T	T
ARHGAP24	ENST00000395183	0.02615	0.02615	T	T
ARHGAP28	ENST00000532723	0.04279	0.04279	T	T
ARMC1	ENST00000518908	0.701	0.701	T	T
ARSJ	ENST00000315366	0.4682	0.4682	T	T
ASTN1	ENST00000424564	0.04918	0.04918	T	T
ATP13A4	ENST00000295548	0.04822	0.04822	T	T
ATP2B1	ENST00000551310	0.06944	0.06944	T	T
B4GALNT1	ENST00000449184	0.006902	0.006902	T	T
BCAN	ENST00000361588	0.002858	0.002858	T	T
BCL2L11	ENST00000438054	0.6434	0.6434	T	T
BICC1	ENST00000263103	0.2189	0.2189	T	T
BICC1	ENST00000263103	0.3779	0.3779	F	T
BMP7	ENST00000433911	0.04201	0.04201	T	T
BRI3BP	ENST00000341446	0.008443	0.008443	T	T
BTC	ENST00000395743	0.113	0.113	T	T
BUD13	ENST00000260210	0.9122	0.9122	T	T
BUD13	ENST00000375445	0.9122	0.9122	T	T
C1GALT1	ENST00000402468	0.03174	0.03174	T	T
C1QL2	ENST00000272520	0.1634	0.1634	T	T
CALB1	ENST00000523716	0.3053	0.3053	T	T
CAMK2D	ENST00000509594	0.1047	0.1047	T	T
CAMK2D	ENST00000509594	0.1118	0.1118	F	T
CAMKMT	ENST00000403853	0.001185	0.001185	T	T
CCDC141	ENST00000446116	0.05339	0.05339	T	T
CCDC141	ENST00000446116	0.06816	0.06816	F	T
CCDC178	ENST00000406524	0.008753	0.008753	T	T
CCDC60	ENST00000539847	0.1684	0.1684	T	T
