Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.05091	0.05091	T	T
A1CF	ENST00000373995	0.05091	0.05091	T	T
A1CF	ENST00000374001	0.05091	0.05091	T	T
A1CF	ENST00000395489	0.05091	0.05091	T	T
A1CF	ENST00000395495	0.05091	0.05091	T	T
A1CF	ENST00000414883	0.05091	0.05091	T	T
A2ML1	ENST00000299698	0.08737	0.08737	T	T
A4GALT	ENST00000401850	0.008857	0.008857	T	T
AACS	ENST00000316519	0.02341	0.02341	T	T
AACS	ENST00000316519	0.02626	0.02626	F	T
AACS	ENST00000316519	0.02757	0.02757	F	T
AADAT	ENST00000502392	0.3277	0.3277	T	T
AARS1	ENST00000261772	0.007265	0.007265	T	T
AASS	ENST00000393376	0.1048	0.1048	T	T
AATF	ENST00000619387	0.01352	0.01352	T	T
AATF	ENST00000616434	0.07101	0.07101	F	T
ABCA2	ENST00000614293	0.002275	0.002275	T	T
ABCB4	ENST00000417608	0.0504	0.0504	T	T
ABCC1	ENST00000572882	0.1105	0.1105	T	T
ABCC11	ENST00000569991	0.0612	0.0612	T	T
ABCC5	ENST00000437341	0.1014	0.1014	F	T
ABCC6	ENST00000205557	0.04122	0.04122	T	T
ABCD3	ENST00000370214	0.08623	0.08623	T	T
ABHD12	ENST00000471287	0.003757	0.003757	T	T
ABHD12	ENST00000471287	0.03681	0.03681	F	T
ABHD5	ENST00000463153	0.1154	0.1154	T	T
ABLIM2	ENST00000505872	0.05664	0.05664	T	T
ABLIM2	ENST00000510277	0.09994	0.09994	T	T
ABLIM2	ENST00000510277	0.1001	0.1001	F	T
ABLIM3	ENST00000356541	0.06987	0.06987	T	T
ABLIM3	ENST00000517451	0.06987	0.06987	T	T
ABR	ENST00000574544	0.01129	0.01129	T	T
ABT1	ENST00000274849	0.001408	0.001408	T	T
ABTB2	ENST00000435224	0.0116	0.0116	T	T
ACACA	ENST00000612895	0.01922	0.01922	T	T
ACACA	ENST00000617649	0.01922	0.01922	T	T
ACACA	ENST00000618053	0.0765	0.0765	T	T
ACBD3	ENST00000366812	0.08151	0.08151	T	T
ACBD3	ENST00000366812	0.1065	0.1065	F	T
ACBD3	ENST00000366812	0.1126	0.1126	F	T
ACCSL	ENST00000378832	0.07545	0.07545	T	T
ACER3	ENST00000533873	0.1391	0.1391	T	T
ACO1	ENST00000541043	0.76	0.76	F	T
ACOX3	ENST00000503233	0.002232	0.002232	T	T
ACSL1	ENST00000515030	0.000192	0.000192	T	T
ACSL1	ENST00000515030	0.1124	0.1124	F	T
ACTBL2	ENST00000423391	0.4445	0.4445	T	T
ACTN1	ENST00000553779	0.04329	0.04329	T	T
ACTN1	ENST00000553779	0.04354	0.04354	F	T
ACTN1	ENST00000544964	0.05311	0.05311	T	T
ACTR10	ENST00000554642	0.003642	0.003642	T	T
ACTR3C	ENST00000613959	0.336	0.336	T	T
ACTRT2	ENST00000378404	0.001482	0.001482	T	T
ACTRT2	ENST00000378404	0.07172	0.07172	F	T
ACVR2A	ENST00000535787	0.9935	0.9935	F	T
ACY3	ENST00000255082	0.001834	0.001834	T	T
ADA	ENST00000537820	0.03621	0.03621	T	T
ADAM15	ENST00000355956	0.01529	0.01529	T	T
ADAM15	ENST00000356955	0.01529	0.01529	T	T
ADAM15	ENST00000359280	0.01529	0.01529	T	T
ADAM15	ENST00000360674	0.01529	0.01529	T	T
ADAM15	ENST00000368412	0.01529	0.01529	T	T
ADAM15	ENST00000449910	0.01529	0.01529	T	T
ADAM18	ENST00000265707	0.1512	0.1512	T	T
ADAM23	ENST00000444281	0.05826	0.05826	T	T
ADAM30	ENST00000369400	0.02606	0.02606	T	T
ADAM30	ENST00000369400	0.04369	0.04369	F	T
ADAMTS15	ENST00000299164	0.003208	0.003208	T	T
ADAMTS15	ENST00000299164	0.003423	0.003423	F	T
ADAMTS17	ENST00000561355	0.1004	0.1004	T	T
ADAMTS18	ENST00000282849	0.06774	0.06774	T	T
ADAMTS20	ENST00000549670	0.5774	0.5774	T	T
ADAMTS5	ENST00000284987	0.02556	0.02556	T	T
ADAMTS5	ENST00000284987	0.2803	0.2803	F	T
ADAMTS5	ENST00000284987	0.522	0.522	F	T
ADAMTS5	ENST00000284987	0.9124	0.9124	F	T
ADAMTS6	ENST00000381055	0.5205	0.5205	T	T
ADAMTS9	ENST00000498707	0.635	0.635	T	T
ADAMTSL3	ENST00000567476	0.1485	0.1485	T	T
ADAMTSL3	ENST00000286744	0.3178	0.3178	F	T
ADAMTSL4	ENST00000271643	0.01698	0.01698	T	T
ADAMTSL4	ENST00000369039	0.01698	0.01698	T	T
ADAP1	ENST00000437486	0.009321	0.009321	T	T
ADAP1	ENST00000617043	0.009321	0.009321	T	T
ADARB2	ENST00000381312	0.1549	0.1549	T	T
ADARB2	ENST00000381312	0.1552	0.1552	F	T
ADARB2	ENST00000381312	0.1556	0.1556	F	T
ADARB2	ENST00000381312	0.156	0.156	F	T
ADARB2	ENST00000381312	0.1568	0.1568	F	T
ADARB2	ENST00000381312	0.1576	0.1576	F	T
ADCY2	ENST00000338316	0.06667	0.06667	T	T
ADCY8	ENST00000286355	0.6597	0.6597	T	T
ADCY8	ENST00000286355	0.6951	0.6951	F	T
ADCYAP1	ENST00000579794	0.2192	0.2192	F	T
ADD1	ENST00000651918	0.002424	0.002424	T	T
ADD1	ENST00000651918	0.003326	0.003326	F	T
ADD1	ENST00000398123	0.01222	0.01222	T	T
ADD1	ENST00000398129	0.01222	0.01222	T	T
ADD1	ENST00000398123	0.01268	0.01268	F	T
ADD1	ENST00000398129	0.01268	0.01268	F	T
