Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
ABCA13	ENST00000411975	0.04451	0.04451	T	T
ABCA9	ENST00000495634	0.0635	0.0635	T	T
ABCB5	ENST00000258738	0.09218	0.09218	T	T
ABCD2	ENST00000308666	0.0881	0.0881	T	T
ABHD17B	ENST00000333421	0.03536	0.03536	T	T
ABHD2	ENST00000352732	0.02016	0.02016	T	T
ACAA1	ENST00000452171	0.01402	0.01402	T	T
ACBD3	ENST00000366812	0.08135	0.08135	T	T
ACBD3	ENST00000366812	0.08165	0.08165	F	T
ACKR2	ENST00000494619	0.00672	0.00672	T	T
ACO1	ENST00000541043	0.07834	0.07834	T	T
ACOT13	ENST00000230048	0.03415	0.03415	T	T
ACSL3	ENST00000540115	0.03762	0.03762	T	T
ACTB	ENST00000432588	0.008385	0.008385	T	T
ACTL8	ENST00000617065	0.05235	0.05235	T	T
ACTR10	ENST00000254286	0.03721	0.03721	T	T
ACTR10	ENST00000254286	0.03775	0.03775	F	T
ADAMTS16	ENST00000274181	0.07901	0.07901	T	T
ADAMTS16	ENST00000511368	0.07901	0.07901	T	T
ADAMTS16	ENST00000274181	0.0794	0.0794	F	T
ADAMTS16	ENST00000511368	0.0794	0.0794	F	T
ADAMTS18	ENST00000562332	0.06216	0.06216	T	T
ADAMTS20	ENST00000549670	0.1206	0.1206	T	T
ADAMTS20	ENST00000549670	0.2468	0.2468	F	T
ADAMTS3	ENST00000622135	0.1053	0.1053	T	T
ADAMTS3	ENST00000622135	0.2189	0.2189	F	T
ADAMTS3	ENST00000622135	0.2193	0.2193	F	T
ADAMTSL1	ENST00000380545	7e-05	7e-05	T	T
ADCY1	ENST00000432715	0.2113	0.2113	T	T
ADCY2	ENST00000338316	0.2925	0.2925	T	T
ADGRA1	ENST00000607359	0.01499	0.01499	T	T
ADGRB3	ENST00000546190	0.2825	0.2825	T	T
ADGRD1	ENST00000543617	0.1083	0.1083	T	T
ADGRL2	ENST00000359929	0.02246	0.02246	T	T
ADGRL2	ENST00000359929	0.03386	0.03386	F	T
ADGRL2	ENST00000370721	0.5479	0.5479	T	T
ADGRL2	ENST00000370723	0.5479	0.5479	T	T
ADGRL2	ENST00000370725	0.5479	0.5479	T	T
ADGRL2	ENST00000370727	0.5479	0.5479	T	T
ADGRL2	ENST00000370728	0.5479	0.5479	T	T
ADGRL2	ENST00000370730	0.5479	0.5479	T	T
ADGRL2	ENST00000402328	0.6694	0.6694	F	T
ADGRL2	ENST00000402328	0.6698	0.6698	F	T
ADGRV1	ENST00000638975	9.999e-05	9.999e-05	T	T
ADGRV1	ENST00000638975	0.0006339	0.0006339	F	T
ADIPOR2	ENST00000357103	0.01776	0.01776	T	T
ADTRP	ENST00000503285	0.1701	0.1701	T	T
AFDN	ENST00000423229	0.05171	0.05171	T	T
AFDN	ENST00000400825	0.357	0.357	F	T
AGFG2	ENST00000300176	0.0242	0.0242	T	T
AGMO	ENST00000342526	0.1441	0.1441	T	T
AGPAT4	ENST00000320285	0.04967	0.04967	T	T
AGPAT4	ENST00000320285	0.2464	0.2464	F	T
AK4	ENST00000545314	0.1673	0.1673	T	T
AK5	ENST00000478407	0.1595	0.1595	T	T
AKAIN1	ENST00000434239	0.3175	0.3175	T	T
AKAIN1	ENST00000434239	0.6848	0.6848	F	T
AKT3	ENST00000552631	0.08985	0.08985	T	T
ALDH1B1	ENST00000377698	0.02324	0.02324	T	T
ALDH1B1	ENST00000377698	0.2613	0.2613	F	T
ALDH3B1	ENST00000527514	0.006475	0.006475	T	T
ALG10	ENST00000266483	0.6078	0.6078	T	T
ALG10	ENST00000266483	0.6425	0.6425	F	T
ALK	ENST00000642122	0.1047	0.1047	T	T
AMBRA1	ENST00000314845	0.03038	0.03038	T	T
AMOTL2	ENST00000505596	0.02366	0.02366	T	T
AMPD3	ENST00000532250	0.02737	0.02737	T	T
ANKH	ENST00000284268	0.6079	0.6079	T	T
ANKRD50	ENST00000504087	0.5711	0.5711	T	T
ANKRD50	ENST00000515641	0.5711	0.5711	T	T
ANKRD50	ENST00000504087	0.7455	0.7455	F	T
ANKRD50	ENST00000515641	0.7455	0.7455	F	T
ANKRD50	ENST00000504087	0.7459	0.7459	F	T
ANKRD50	ENST00000515641	0.7459	0.7459	F	T
ANKS1B	ENST00000550778	0.01763	0.01763	T	T
ANLN	ENST00000418118	0.01973	0.01973	T	T
ANO1	ENST00000355303	0.03574	0.03574	T	T
ANP32B	ENST00000339399	0.01985	0.01985	T	T
ANP32D	ENST00000266594	0.1138	0.1138	T	T
ANTXR1	ENST00000482235	0.209	0.209	T	T
ANXA10	ENST00000359299	0.1316	0.1316	T	T
ANXA10	ENST00000359299	0.1342	0.1342	F	T
ANXA10	ENST00000359299	0.1345	0.1345	F	T
AOPEP	ENST00000428313	0.01499	0.01499	T	T
AOPEP	ENST00000277198	0.04831	0.04831	T	T
AP5M1	ENST00000431972	0.007218	0.007218	T	T
APLP1	ENST00000587274	0.01316	0.01316	T	T
APPL1	ENST00000444459	0.01238	0.01238	T	T
APPL1	ENST00000444459	0.01275	0.01275	F	T
AQP4	ENST00000383168	0.04762	0.04762	T	T
AQP4	ENST00000578776	0.04762	0.04762	T	T
ARAP2	ENST00000618163	0.2667	0.2667	T	T
ARFGEF1	ENST00000518789	0.08652	0.08652	T	T
ARFGEF1	ENST00000262215	0.2486	0.2486	T	T
ARFIP1	ENST00000356064	0.03125	0.03125	T	T
ARGLU1	ENST00000400198	0.3249	0.3249	F	T
ARHGAP10	ENST00000336498	0.03352	0.03352	T	T
ARHGAP10	ENST00000336498	0.04591	0.04591	F	T
ARHGAP42	ENST00000524892	0.02261	0.02261	T	T
ARHGAP42	ENST00000524892	0.02306	0.02306	F	T
ARHGAP42	ENST00000531183	0.128	0.128	T	T
ARHGAP42	ENST00000531183	0.1284	0.1284	F	T
ARHGEF1	ENST00000594417	0.01933	0.01933	T	T
