Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A2M	ENST00000318602	0.02786	0.02786	T	T
A2M	ENST00000318602	0.1009	0.1009	F	T
A2M	ENST00000318602	0.1132	0.1132	F	T
A2ML1	ENST00000299698	0.06798	0.06798	T	T
AACS	ENST00000316519	0.1006	0.1006	T	T
AADACL3	ENST00000359318	0.05272	0.05272	T	T
AADACL4	ENST00000376221	0.0634	0.0634	T	T
AADACL4	ENST00000376221	0.06857	0.06857	F	T
AADAT	ENST00000502392	0.9782	0.9782	F	T
AAK1	ENST00000409085	0.06856	0.06856	T	T
AASS	ENST00000417368	0.03048	0.03048	T	T
AASS	ENST00000393376	0.08905	0.08905	F	T
AASS	ENST00000393376	0.1016	0.1016	F	T
AASS	ENST00000393376	0.1105	0.1105	F	T
AATF	ENST00000616434	0.0381	0.0381	T	T
ABCA1	ENST00000374733	0.05951	0.05951	T	T
ABCA1	ENST00000423487	0.05951	0.05951	T	T
ABCA12	ENST00000389661	0.08005	0.08005	T	T
ABCA4	ENST00000370225	0.02252	0.02252	T	T
ABCA4	ENST00000649773	0.03839	0.03839	F	T
ABCA4	ENST00000536513	0.08913	0.08913	F	T
ABCA7	ENST00000263094	0.00202	0.00202	T	T
ABCA7	ENST00000433129	0.00202	0.00202	T	T
ABCA7	ENST00000524850	0.00202	0.00202	T	T
ABCA7	ENST00000531467	0.00202	0.00202	T	T
ABCA7	ENST00000611490	0.00202	0.00202	T	T
ABCA8	ENST00000430352	0.05766	0.05766	T	T
ABCA8	ENST00000586539	0.05766	0.05766	T	T
ABCA8	ENST00000585531	0.1573	0.1573	F	T
ABCA9	ENST00000495634	0.06308	0.06308	T	T
ABCB11	ENST00000650372	0.02116	0.02116	T	T
ABCB4	ENST00000453593	0.07145	0.07145	T	T
ABCC12	ENST00000311303	0.2944	0.2944	T	T
ABCC4	ENST00000646439	0.09433	0.09433	T	T
ABCC4	ENST00000645237	0.1168	0.1168	F	T
ABCC8	ENST00000642579	0.01195	0.01195	T	T
ABCD3	ENST00000370214	0.1469	0.1469	T	T
ABHD12B	ENST00000337334	0.007252	0.007252	T	T
ABHD13	ENST00000375898	0.01744	0.01744	T	T
ABHD17B	ENST00000333421	0.0254	0.0254	F	T
ABHD2	ENST00000569411	0.006649	0.006649	T	T
ABHD2	ENST00000569411	0.1183	0.1183	F	T
ABI3BP	ENST00000495063	0.005136	0.005136	T	T
ABI3BP	ENST00000284322	0.05129	0.05129	F	T
ABI3BP	ENST00000471714	0.05129	0.05129	F	T
ABL1	ENST00000318560	0.05108	0.05108	T	T
ABLIM1	ENST00000277895	0.001784	0.001784	T	T
