Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.01842	0.01842	T	T
A1CF	ENST00000373995	0.01842	0.01842	T	T
A1CF	ENST00000374001	0.01842	0.01842	T	T
A1CF	ENST00000395489	0.01842	0.01842	T	T
A1CF	ENST00000395495	0.01842	0.01842	T	T
A1CF	ENST00000414883	0.01842	0.01842	T	T
A1CF	ENST00000282641	0.02591	0.02591	F	T
A1CF	ENST00000373995	0.02591	0.02591	F	T
A1CF	ENST00000374001	0.02591	0.02591	F	T
A1CF	ENST00000395489	0.02591	0.02591	F	T
A1CF	ENST00000395495	0.02591	0.02591	F	T
A1CF	ENST00000414883	0.02591	0.02591	F	T
A2M	ENST00000318602	0.1029	0.1029	T	T
A2ML1	ENST00000299698	0.06791	0.06791	T	T
A4GALT	ENST00000642412	0.08129	0.08129	T	T
AADACL2	ENST00000356517	0.09372	0.09372	T	T
AADACL4	ENST00000376221	0.06323	0.06323	T	T
AADAT	ENST00000502392	0.1185	0.1185	F	T
AADAT	ENST00000502392	0.4689	0.4689	F	T
AAK1	ENST00000409085	0.05671	0.05671	T	T
AAK1	ENST00000409085	0.06855	0.06855	F	T
AARSD1	ENST00000430739	0.01063	0.01063	T	T
AASDHPPT	ENST00000278618	0.241	0.241	T	T
AASDHPPT	ENST00000278618	0.9262	0.9262	F	T
AASS	ENST00000417368	0.03431	0.03431	T	T
AASS	ENST00000393376	0.08925	0.08925	F	T
AASS	ENST00000393376	0.1013	0.1013	F	T
AASS	ENST00000393376	0.1107	0.1107	F	T
ABCA12	ENST00000389661	0.08003	0.08003	T	T
ABCA12	ENST00000272895	0.1695	0.1695	T	T
ABCA13	ENST00000435803	0.02747	0.02747	T	T
ABCA13	ENST00000435803	0.02943	0.02943	F	T
ABCA4	ENST00000536513	0.03628	0.03628	T	T
ABCA4	ENST00000649773	0.03853	0.03853	T	T
ABCA4	ENST00000536513	0.08867	0.08867	F	T
ABCA5	ENST00000586811	0.02813	0.02813	T	T
ABCA8	ENST00000430352	0.05742	0.05742	T	T
ABCA8	ENST00000586539	0.05742	0.05742	T	T
ABCA8	ENST00000585531	0.08328	0.08328	F	T
ABCA8	ENST00000585531	0.1575	0.1575	F	T
ABCA9	ENST00000495634	0.06307	0.06307	T	T
ABCB10	ENST00000344517	0.00922	0.00922	T	T
ABCB5	ENST00000258738	0.08304	0.08304	T	T
ABCB5	ENST00000258738	0.08659	0.08659	F	T
ABCC1	ENST00000572882	0.1108	0.1108	T	T
ABCC4	ENST00000645237	0.1153	0.1153	T	T
ABCC4	ENST00000645237	0.1184	0.1184	F	T
ABCD3	ENST00000370214	0.1273	0.1273	T	T
ABHD12	ENST00000450393	0.004673	0.004673	T	T
ABHD13	ENST00000375898	0.01763	0.01763	T	T
ABHD17B	ENST00000333421	0.02517	0.02517	F	T
ABHD2	ENST00000352732	0.00469	0.00469	T	T
ABHD2	ENST00000569411	0.006392	0.006392	T	T
ABHD2	ENST00000352732	0.03365	0.03365	F	T
ABI1	ENST00000376140	0.03011	0.03011	T	T
ABI3BP	ENST00000495063	0.00544	0.00544	T	T
ABL1	ENST00000318560	0.05136	0.05136	T	T
ABLIM1	ENST00000369256	0.0497	0.0497	T	T
ABLIM1	ENST00000392952	0.0605	0.0605	T	T
ABLIM1	ENST00000369256	0.06679	0.06679	F	T
ABLIM1	ENST00000651023	0.07935	0.07935	T	T
ABLIM1	ENST00000392952	0.0903	0.0903	F	T
ABLIM2	ENST00000510277	0.04102	0.04102	T	T
ABRA	ENST00000311955	0.4637	0.4637	F	T
ACAA1	ENST00000452171	0.01396	0.01396	T	T
ACAA1	ENST00000452171	0.02774	0.02774	F	T
ACAA1	ENST00000452171	0.03934	0.03934	F	T
ACAA2	ENST00000585948	0.1135	0.1135	F	T
ACACA	ENST00000619546	0.0749	0.0749	T	T
ACAD9	ENST00000514336	0.04404	0.04404	T	T
ACADS	ENST00000411593	0.007458	0.007458	T	T
ACADS	ENST00000411593	0.01004	0.01004	F	T
ACADSB	ENST00000358776	0.07989	0.07989	T	T
ACBD3	ENST00000366812	0.1062	0.1062	T	T
ACE	ENST00000579409	0.005882	0.005882	T	T
ACKR2	ENST00000494619	0.00686	0.00686	T	T
ACKR3	ENST00000447924	0.0008852	0.0008852	T	T
ACKR3	ENST00000272928	0.2926	0.2926	F	T
ACKR3	ENST00000272928	0.486	0.486	F	T
