Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.02324	0.02324	T	T
A2M	ENST00000318602	0.02645	0.02645	T	T
A4GNT	ENST00000236709	0.04181	0.04181	T	T
A4GNT	ENST00000236709	0.04235	0.04235	F	T
AADAT	ENST00000502392	0.8854	0.8854	T	T
AAMDC	ENST00000525034	0.0191	0.0191	T	T
ABCA7	ENST00000531467	0.0004459	0.0004459	T	T
ABCC4	ENST00000646439	0.09492	0.09492	T	T
ABHD16A	ENST00000395952	0.002495	0.002495	T	T
ACACA	ENST00000619546	0.01473	0.01473	T	T
ACAD9	ENST00000514336	0.04496	0.04496	T	T
ACBD6	ENST00000367595	0.06109	0.06109	T	T
ACBD6	ENST00000367595	0.06161	0.06161	F	T
ACE	ENST00000582761	0.006344	0.006344	T	T
ACER3	ENST00000534206	0.01882	0.01882	T	T
ACMSD	ENST00000392928	0.07659	0.07659	T	T
ACOXL	ENST00000433706	0.04826	0.04826	T	T
ACSL6	ENST00000543479	0.004684	0.004684	T	T
ACSL6	ENST00000543479	0.005247	0.005247	F	T
ACSS1	ENST00000537502	0.01275	0.01275	T	T
ACTN4	ENST00000252699	0.002659	0.002659	T	T
ACTR3C	ENST00000613959	0.261	0.261	T	T
ACTR3C	ENST00000613959	0.2614	0.2614	F	T
ACY1	ENST00000637149	0.005105	0.005105	T	T
ADAM23	ENST00000444281	0.08834	0.08834	T	T
ADAM23	ENST00000444281	0.08905	0.08905	F	T
ADAM23	ENST00000444281	0.09038	0.09038	F	T
ADAMTS14	ENST00000373207	0.02349	0.02349	T	T
ADAMTS16	ENST00000274181	0.1229	0.1229	T	T
ADAMTS16	ENST00000511368	0.1229	0.1229	T	T
ADAMTS16	ENST00000274181	0.1235	0.1235	F	T
ADAMTS16	ENST00000511368	0.1235	0.1235	F	T
ADAMTS17	ENST00000561355	0.007059	0.007059	T	T
ADAMTS18	ENST00000562332	0.03822	0.03822	T	T
ADAMTS8	ENST00000257359	0.01988	0.01988	T	T
ADAMTSL1	ENST00000327883	0.000226	0.000226	T	T
ADAMTSL3	ENST00000286744	0.001092	0.001092	T	T
ADAMTSL3	ENST00000286744	0.05276	0.05276	F	T
