Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.08347	0.08347	T	T
A1CF	ENST00000373995	0.08347	0.08347	T	T
A1CF	ENST00000374001	0.08347	0.08347	T	T
A1CF	ENST00000395489	0.08347	0.08347	T	T
A1CF	ENST00000395495	0.08347	0.08347	T	T
A1CF	ENST00000414883	0.08347	0.08347	T	T
A1CF	ENST00000373993	0.08486	0.08486	T	T
A2M	ENST00000318602	0.02742	0.02742	T	T
A4GALT	ENST00000642412	0.08886	0.08886	T	T
AADACL4	ENST00000376221	0.02186	0.02186	T	T
AADAT	ENST00000502392	0.8837	0.8837	T	T
AADAT	ENST00000502392	0.8992	0.8992	F	T
AAK1	ENST00000409068	0.05837	0.05837	T	T
AANAT	ENST00000392492	0.01047	0.01047	T	T
AATF	ENST00000616434	0.01286	0.01286	T	T
AATF	ENST00000619387	0.01369	0.01369	T	T
AATF	ENST00000610798	0.01384	0.01384	T	T
AATF	ENST00000619387	0.01479	0.01479	F	T
AATF	ENST00000616434	0.03837	0.03837	F	T
ABCA12	ENST00000272895	0.1644	0.1644	T	T
ABCA2	ENST00000614293	0.002146	0.002146	T	T
ABCA3	ENST00000567910	0.02325	0.02325	T	T
ABCA7	ENST00000433129	0.0004888	0.0004888	T	T
ABCA7	ENST00000531467	0.0004888	0.0004888	T	T
ABCA7	ENST00000263094	0.0006506	0.0006506	T	T
ABCA7	ENST00000524850	0.0006506	0.0006506	T	T
ABCA7	ENST00000611490	0.0006506	0.0006506	T	T
ABCA7	ENST00000612569	0.001706	0.001706	T	T
ABCA7	ENST00000435683	0.005173	0.005173	F	T
ABCB1	ENST00000265724	0.006223	0.006223	T	T
ABCB8	ENST00000491920	0.006269	0.006269	T	T
ABCC1	ENST00000572882	0.05454	0.05454	T	T
ABCC1	ENST00000572882	0.1104	0.1104	F	T
ABCC10	ENST00000505344	0.005351	0.005351	T	T
ABCC4	ENST00000646439	0.09451	0.09451	T	T
ABCC5	ENST00000437341	0.001028	0.001028	T	T
ABCC5	ENST00000437341	0.1	0.1	F	T
ABCC8	ENST00000528374	0.01292	0.01292	T	T
ABCC8	ENST00000302539	0.04896	0.04896	T	T
ABCC8	ENST00000389817	0.04896	0.04896	T	T
ABCC8	ENST00000643260	0.04896	0.04896	T	T
ABCD3	ENST00000370214	0.07532	0.07532	T	T
ABCF1	ENST00000326195	0.0276	0.0276	T	T
ABCF1	ENST00000468958	0.0276	0.0276	T	T
ABCG8	ENST00000272286	0.05075	0.05075	T	T
ABHD12	ENST00000471287	0.003689	0.003689	T	T
ABHD12	ENST00000471287	0.03693	0.03693	F	T
ABHD16A	ENST00000395952	0.002074	0.002074	T	T
ABHD16A	ENST00000440843	0.01075	0.01075	F	T
ABHD17A	ENST00000250974	0.0005097	0.0005097	T	T
ABHD17A	ENST00000292577	0.0005097	0.0005097	T	T
ABHD17A	ENST00000590661	0.01079	0.01079	F	T
ABHD2	ENST00000352732	0.002803	0.002803	T	T
ABHD5	ENST00000456453	0.05289	0.05289	T	T
ABHD8	ENST00000593489	0.0209	0.0209	T	T
ABI2	ENST00000261016	0.04711	0.04711	T	T
ABI2	ENST00000261018	0.04711	0.04711	T	T
ABL1	ENST00000318560	0.01054	0.01054	T	T
ABL1	ENST00000318560	0.0508	0.0508	F	T
ABL1	ENST00000393293	0.05891	0.05891	F	T
