Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.0228	0.0228	T	T
A1CF	ENST00000282641	0.0465	0.0465	T	T
A1CF	ENST00000373995	0.0465	0.0465	T	T
A1CF	ENST00000374001	0.0465	0.0465	T	T
A1CF	ENST00000395489	0.0465	0.0465	T	T
A1CF	ENST00000395495	0.0465	0.0465	T	T
A1CF	ENST00000414883	0.0465	0.0465	T	T
A1CF	ENST00000373993	0.0646	0.0646	T	T
A1CF	ENST00000373993	0.07793	0.07793	F	T
A1CF	ENST00000373993	0.1158	0.1158	F	T
A2M	ENST00000318602	0.02713	0.02713	T	T
A2M	ENST00000318602	0.09979	0.09979	F	T
A2ML1	ENST00000541459	0.017	0.017	T	T
A2ML1	ENST00000541459	0.01982	0.01982	F	T
A4GALT	ENST00000401850	0.004677	0.004677	T	T
A4GALT	ENST00000401850	0.008812	0.008812	F	T
A4GALT	ENST00000381278	0.0215	0.0215	T	T
A4GALT	ENST00000642412	0.09986	0.09986	F	T
A4GNT	ENST00000236709	0.008056	0.008056	T	T
A4GNT	ENST00000236709	0.02576	0.02576	F	T
AAAS	ENST00000209873	0.001016	0.001016	T	T
AAAS	ENST00000394384	0.001016	0.001016	T	T
AAAS	ENST00000547757	0.001016	0.001016	T	T
AACS	ENST00000316519	0.004562	0.004562	T	T
AACS	ENST00000316519	0.02455	0.02455	F	T
AACS	ENST00000316519	0.02831	0.02831	F	T
AACS	ENST00000316519	0.1507	0.1507	F	T
AACS	ENST00000316519	0.2011	0.2011	F	T
AADAC	ENST00000488869	0.04791	0.04791	T	T
AADACL2	ENST00000356517	0.1952	0.1952	F	T
AADACL3	ENST00000359318	0.00599	0.00599	T	T
AADACL4	ENST00000376221	0.03367	0.03367	T	T
AADACL4	ENST00000376221	0.07123	0.07123	F	T
AADAT	ENST00000502392	0.2002	0.2002	T	T
AADAT	ENST00000502392	0.2824	0.2824	F	T
AADAT	ENST00000502392	0.6309	0.6309	F	T
AADAT	ENST00000502392	0.6442	0.6442	F	T
AADAT	ENST00000502392	0.791	0.791	F	T
AADAT	ENST00000502392	0.8846	0.8846	F	T
AADAT	ENST00000502392	0.8967	0.8967	F	T
AAGAB	ENST00000560362	0.007554	0.007554	T	T
AAGAB	ENST00000560362	0.05412	0.05412	F	T
AAK1	ENST00000409085	0.04113	0.04113	T	T
AAK1	ENST00000606389	0.04974	0.04974	T	T
AAK1	ENST00000623317	0.04974	0.04974	T	T
AAK1	ENST00000409068	0.08082	0.08082	F	T
AAR2	ENST00000373932	0.01614	0.01614	T	T
