Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.02292	0.02292	T	T
A1CF	ENST00000282641	0.04703	0.04703	T	T
A1CF	ENST00000373995	0.04703	0.04703	T	T
A1CF	ENST00000374001	0.04703	0.04703	T	T
A1CF	ENST00000395489	0.04703	0.04703	T	T
A1CF	ENST00000395495	0.04703	0.04703	T	T
A1CF	ENST00000414883	0.04703	0.04703	T	T
A1CF	ENST00000373993	0.06411	0.06411	T	T
A1CF	ENST00000373993	0.06583	0.06583	F	T
A1CF	ENST00000373993	0.0704	0.0704	F	T
A1CF	ENST00000373993	0.07788	0.07788	F	T
A1CF	ENST00000373993	0.1144	0.1144	F	T
A1CF	ENST00000373993	0.1153	0.1153	F	T
A1CF	ENST00000373993	0.1173	0.1173	F	T
A2M	ENST00000318602	0.02692	0.02692	T	T
A2ML1	ENST00000541459	0.01713	0.01713	T	T
A2ML1	ENST00000541459	0.01979	0.01979	F	T
A2ML1	ENST00000299698	0.02497	0.02497	F	T
A4GALT	ENST00000381278	0.02149	0.02149	T	T
A4GALT	ENST00000642412	0.09996	0.09996	F	T
A4GNT	ENST00000236709	0.008259	0.008259	T	T
A4GNT	ENST00000236709	0.02565	0.02565	F	T
AAAS	ENST00000209873	0.0003449	0.0003449	T	T
AAAS	ENST00000394384	0.0003449	0.0003449	T	T
AAAS	ENST00000547757	0.0003449	0.0003449	T	T
AACS	ENST00000316519	0.02438	0.02438	T	T
AACS	ENST00000316519	0.04598	0.04598	F	T
AACS	ENST00000316519	0.04739	0.04739	F	T
AACS	ENST00000316519	0.1507	0.1507	F	T
AACS	ENST00000316519	0.2013	0.2013	F	T
AADAC	ENST00000488869	0.04821	0.04821	T	T
AADACL2	ENST00000356517	0.1953	0.1953	F	T
AADACL3	ENST00000359318	0.006141	0.006141	T	T
AADACL4	ENST00000376221	0.03382	0.03382	T	T
AADACL4	ENST00000376221	0.07103	0.07103	F	T
AADAT	ENST00000502392	0.2825	0.2825	F	T
AADAT	ENST00000502392	0.6315	0.6315	F	T
AADAT	ENST00000502392	0.6449	0.6449	F	T
AADAT	ENST00000502392	0.7918	0.7918	F	T
AADAT	ENST00000502392	0.8853	0.8853	F	T
AADAT	ENST00000502392	0.8979	0.8979	F	T
AAGAB	ENST00000560362	0.007347	0.007347	T	T
AAGAB	ENST00000560362	0.05387	0.05387	F	T
AAK1	ENST00000409085	0.04084	0.04084	T	T
AAK1	ENST00000606389	0.05009	0.05009	T	T
AAK1	ENST00000623317	0.05009	0.05009	T	T
AAK1	ENST00000409068	0.08144	0.08144	F	T
AAR2	ENST00000373932	0.01639	0.01639	T	T
AARS1	ENST00000261772	0.003085	0.003085	T	T
AARS1	ENST00000261772	0.004808	0.004808	F	T
AARS1	ENST00000261772	0.005704	0.005704	F	T
AARS1	ENST00000261772	0.006522	0.006522	F	T
AARS1	ENST00000261772	0.007207	0.007207	F	T
AARS2	ENST00000244571	0.01376	0.01376	T	T
AARSD1	ENST00000427569	0.01653	0.01653	T	T
AARSD1	ENST00000427569	0.04279	0.04279	F	T
AARSD1	ENST00000427569	0.04366	0.04366	F	T
AASDHPPT	ENST00000278618	0.1403	0.1403	F	T
AASDHPPT	ENST00000278618	0.2252	0.2252	F	T
AASDHPPT	ENST00000278618	0.7565	0.7565	F	T
AASS	ENST00000417368	0.04963	0.04963	T	T
AASS	ENST00000417368	0.05739	0.05739	F	T
AASS	ENST00000393376	0.07117	0.07117	F	T
AASS	ENST00000417368	0.09302	0.09302	F	T
AATF	ENST00000616434	0.0611	0.0611	T	T
AATF	ENST00000616434	0.06961	0.06961	F	T
ABAT	ENST00000569156	0.01766	0.01766	T	T
ABAT	ENST00000569156	0.05038	0.05038	F	T
ABAT	ENST00000569156	0.05685	0.05685	F	T
ABCA12	ENST00000272895	0.03968	0.03968	T	T
ABCA12	ENST00000272895	0.07379	0.07379	F	T
ABCA12	ENST00000389661	0.1762	0.1762	T	T
ABCA13	ENST00000435803	0.01531	0.01531	T	T
ABCA13	ENST00000411975	0.01901	0.01901	T	T
ABCA13	ENST00000435803	0.04271	0.04271	F	T
ABCA13	ENST00000435803	0.04626	0.04626	F	T
ABCA13	ENST00000435803	0.05915	0.05915	F	T
ABCA13	ENST00000544596	0.1195	0.1195	T	T
ABCA13	ENST00000544596	0.1201	0.1201	F	T
ABCA13	ENST00000435451	0.1213	0.1213	F	T
ABCA13	ENST00000411975	0.1565	0.1565	F	T
ABCA3	ENST00000382381	0.01207	0.01207	T	T
ABCA3	ENST00000567910	0.05607	0.05607	F	T
ABCA4	ENST00000370225	0.05062	0.05062	T	T
ABCA4	ENST00000649773	0.05179	0.05179	F	T
ABCA5	ENST00000589975	0.01645	0.01645	T	T
ABCA6	ENST00000590645	0.05501	0.05501	T	T
ABCA9	ENST00000585714	0.03924	0.03924	T	T
ABCA9	ENST00000585714	0.04105	0.04105	F	T
ABCB1	ENST00000543898	0.05514	0.05514	T	T
ABCB1	ENST00000622132	0.08921	0.08921	T	T
ABCB11	ENST00000649448	0.005888	0.005888	T	T
ABCB11	ENST00000649448	0.01152	0.01152	F	T
ABCB11	ENST00000649448	0.01341	0.01341	F	T
ABCB11	ENST00000650372	0.02757	0.02757	T	T
ABCB11	ENST00000649448	0.04586	0.04586	F	T
ABCB11	ENST00000649448	0.04664	0.04664	F	T
ABCB4	ENST00000440025	0.04751	0.04751	T	T
ABCB4	ENST00000440025	0.04828	0.04828	F	T
ABCB4	ENST00000440025	0.05284	0.05284	F	T
ABCB5	ENST00000406935	0.01798	0.01798	T	T
ABCB5	ENST00000443026	0.01798	0.01798	T	T
ABCB5	ENST00000404938	0.07232	0.07232	F	T
ABCB5	ENST00000258738	0.08107	0.08107	F	T
ABCB5	ENST00000258738	0.08873	0.08873	F	T
ABCB5	ENST00000404938	0.1347	0.1347	F	T
ABCB5	ENST00000404938	0.2687	0.2687	F	T
ABCB5	ENST00000404938	0.2695	0.2695	F	T
ABCB6	ENST00000295750	0.004925	0.004925	T	T
ABCB9	ENST00000541424	0.005766	0.005766	T	T
ABCB9	ENST00000541424	0.00655	0.00655	F	T
ABCC1	ENST00000399410	0.03851	0.03851	T	T
ABCC10	ENST00000372515	0.01011	0.01011	T	T
ABCC11	ENST00000569991	0.03678	0.03678	T	T
ABCC11	ENST00000394747	0.06591	0.06591	T	T
ABCC11	ENST00000394747	0.06658	0.06658	F	T
ABCC12	ENST00000311303	0.001683	0.001683	T	T
ABCC12	ENST00000527640	0.008645	0.008645	T	T
ABCC12	ENST00000527640	0.06973	0.06973	F	T
ABCC12	ENST00000311303	0.1154	0.1154	F	T
ABCC12	ENST00000311303	0.1408	0.1408	F	T
ABCC12	ENST00000311303	0.1416	0.1416	F	T
ABCC2	ENST00000647814	0.005714	0.005714	T	T
ABCC2	ENST00000648689	0.005714	0.005714	T	T
ABCC2	ENST00000647814	0.01099	0.01099	F	T
ABCC2	ENST00000648689	0.01099	0.01099	F	T
ABCC2	ENST00000647814	0.03736	0.03736	F	T
ABCC2	ENST00000648689	0.03736	0.03736	F	T
ABCC2	ENST00000647814	0.04614	0.04614	F	T
ABCC2	ENST00000648689	0.04614	0.04614	F	T
ABCC2	ENST00000647814	0.04799	0.04799	F	T
ABCC2	ENST00000648689	0.04799	0.04799	F	T
ABCC4	ENST00000645237	0.02333	0.02333	T	T
ABCC4	ENST00000645237	0.0511	0.0511	F	T
