Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
ACTR1A	ENST00000487599	0.006512	0.006512	T	T
ADCY5	ENST00000462833	0.04961	0.04961	T	T
ALOX5	ENST00000612635	0.06479	0.06479	T	T
ANKRD50	ENST00000504087	0.2829	0.2829	T	T
ANKRD50	ENST00000515641	0.2829	0.2829	T	T
ANXA2	ENST00000559176	0.1704	0.1704	T	T
ATP2B1	ENST00000551310	0.07509	0.07509	T	T
ATP2B1	ENST00000551310	0.08385	0.08385	F	T
BID	ENST00000317361	0.05308	0.05308	T	T
CALN1	ENST00000431984	0.2475	0.2475	T	T
CAMKMT	ENST00000428929	0.2921	0.2921	T	T
CCDC34	ENST00000317945	0.1086	0.1086	T	T
CCDC8	ENST00000307522	0.05574	0.05574	T	T
CDH12	ENST00000522262	0.001736	0.001736	T	T
CENPF	ENST00000614578	0.06484	0.06484	T	T
CHAF1B	ENST00000314103	0.01304	0.01304	T	T
CLIP2	ENST00000493166	0.008416	0.008416	T	T
DHRS12	ENST00000461948	0.1853	0.1853	T	T
DLG1	ENST00000658155	0.02511	0.02511	T	T
ENSG00000196166	ENST00000358138	0.1266	0.1266	T	T
GIMAP5	ENST00000358647	0.04477	0.04477	T	T
GRIN2A	ENST00000535259	0.3877	0.3877	T	T
H1-2	ENST00000343677	0.02046	0.02046	T	T
JCAD	ENST00000375377	0.2693	0.2693	T	T
KCNJ6	ENST00000609713	0.1802	0.1802	T	T
KCNK12	ENST00000327876	0.002943	0.002943	T	T
KIF26A	ENST00000315264	0.4152	0.4152	T	T
LOXHD1	ENST00000398705	0.09991	0.09991	T	T
LYRM1	ENST00000396052	0.01986	0.01986	T	T
MBD5	ENST00000627651	0.08632	0.08632	T	T
MORC2	ENST00000397641	0.002233	0.002233	T	T
NCKAP5	ENST00000427594	0.686	0.686	T	T
OR2AE1	ENST00000316368	0.01817	0.01817	T	T
PARD3	ENST00000544292	0.1507	0.1507	T	T
PARD3B	ENST00000613457	0.3635	0.3635	T	T
PARD3B	ENST00000614500	0.3635	0.3635	T	T
PARD3B	ENST00000622699	0.3635	0.3635	T	T
PARVA	ENST00000334956	0.002952	0.002952	T	T
PDGFA	ENST00000405692	0.04592	0.04592	T	T
PDZRN3	ENST00000466780	0.0018	0.0018	T	T
PLA2G6	ENST00000452542	0.02961	0.02961	T	T
PLCL1	ENST00000437704	0.468	0.468	T	T
POLR2F	ENST00000651769	0.02359	0.02359	T	T
PSMG4	ENST00000380306	0.001729	0.001729	T	T
QRICH2	ENST00000636395	0.009997	0.009997	T	T
RANBP17	ENST00000522734	0.2795	0.2795	T	T
RBFOX3	ENST00000582043	0.1562	0.1562	T	T
RNPEP	ENST00000295640	0.006516	0.006516	T	T
SEC23A	ENST00000537403	0.8199	0.8199	T	T
SERF1A	ENST00000317633	0.3173	0.3173	T	T
SIPA1L1	ENST00000557151	0.2018	0.2018	T	T
SLC15A1	ENST00000376503	0.1323	0.1323	T	T
SLC22A23	ENST00000467177	0.07105	0.07105	T	T
SLC39A9	ENST00000557046	0.01229	0.01229	T	T
SLC4A3	ENST00000413743	0.9647	0.9647	T	T
SLC6A6	ENST00000452151	0.02331	0.02331	T	T
SMOC2	ENST00000417208	0.0988	0.0988	T	T
SPATA31D1	ENST00000344803	0.3956	0.3956	T	T
STRIT1	ENST00000489090	0.04132	0.04132	T	T
TAS1R2	ENST00000375371	0.1042	0.1042	T	T
TBC1D22A	ENST00000406733	0.002472	0.002472	T	T
THADA	ENST00000407351	0.2968	0.2968	T	T
TNNC2	ENST00000372555	0.004317	0.004317	T	T
TNRC6C	ENST00000636222	0.04142	0.04142	T	T
TNS3	ENST00000415929	0.05778	0.05778	T	T
TNS3	ENST00000428457	0.1348	0.1348	T	T
VAMP5	ENST00000306384	0.005731	0.005731	T	T
