Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AAK1	ENST00000409068	0.03746	0.03746	T	T
AARSD1	ENST00000427569	0.02071	0.02071	T	T
ABCA12	ENST00000389661	0.05228	0.05228	T	T
ABCA13	ENST00000411975	0.1225	0.1225	T	T
ABCC10	ENST00000372515	0.0202	0.0202	T	T
ABRACL	ENST00000461027	0.07638	0.07638	T	T
ACAP2	ENST00000326793	0.09397	0.09397	T	T
ACER3	ENST00000534206	0.02593	0.02593	T	T
ACSM1	ENST00000524149	0.03573	0.03573	T	T
ACSM3	ENST00000561795	0.004878	0.004878	T	T
ADA2	ENST00000399839	0.03102	0.03102	T	T
ADA2	ENST00000399839	0.03333	0.03333	F	T
ADAMTS16	ENST00000274181	0.7834	0.7834	T	T
ADAMTS16	ENST00000511368	0.7834	0.7834	T	T
ADAMTS6	ENST00000381055	0.4795	0.4795	T	T
ADAMTSL3	ENST00000567476	0.1657	0.1657	T	T
ADCY2	ENST00000338316	0.3065	0.3065	T	T
ADCY5	ENST00000466617	0.1519	0.1519	T	T
ADD1	ENST00000536424	0.002672	0.002672	T	T
ADRA2B	ENST00000620793	0.01799	0.01799	T	T
ADRA2C	ENST00000509482	0.176	0.176	T	T
AFDN	ENST00000400825	0.405	0.405	T	T
AFG1L	ENST00000437715	0.2402	0.2402	T	T
AGAP1	ENST00000418654	0.08728	0.08728	T	T
AHCYL2	ENST00000446544	0.1053	0.1053	T	T
AIG1	ENST00000458219	0.1489	0.1489	T	T
AJM1	ENST00000436881	0.01994	0.01994	T	T
AKAP8L	ENST00000397410	0.0005936	0.0005936	T	T
AKAP8L	ENST00000595067	0.0005936	0.0005936	T	T
AKAP8L	ENST00000595465	0.0005936	0.0005936	T	T
AKAP8L	ENST00000596195	0.0005936	0.0005936	T	T
AKAP8L	ENST00000600247	0.0005936	0.0005936	T	T
AKAP8L	ENST00000600247	0.004425	0.004425	F	T
ALDH3A2	ENST00000446398	0.03352	0.03352	T	T
ALG14	ENST00000370205	0.1065	0.1065	T	T
AMBRA1	ENST00000526545	0.01377	0.01377	T	T
AMOTL1	ENST00000433060	0.1756	0.1756	T	T
ANKH	ENST00000284268	0.3682	0.3682	T	T
ANKRD30B	ENST00000358984	0.2408	0.2408	T	T
ANKRD30B	ENST00000665241	0.2408	0.2408	T	T
ANKRD46	ENST00000519316	0.1869	0.1869	T	T
ANO2	ENST00000650848	0.1192	0.1192	T	T
ANO4	ENST00000392979	0.193	0.193	T	T
ANO5	ENST00000324559	0.6648	0.6648	T	T
ANXA10	ENST00000359299	0.02273	0.02273	T	T
AP1S3	ENST00000446015	0.2116	0.2116	T	T
AP1S3	ENST00000446015	0.2126	0.2126	F	T
AP3B1	ENST00000519295	0.01926	0.01926	T	T
AP3B1	ENST00000522901	0.03688	0.03688	T	T
AP3D1	ENST00000643010	0.04701	0.04701	T	T
APBB2	ENST00000513611	0.1036	0.1036	T	T
APOBEC3H	ENST00000613996	0.0007175	0.0007175	T	T
AQP7	ENST00000447660	0.09991	0.09991	T	T
ARHGAP26	ENST00000443674	0.05873	0.05873	T	T
ARHGAP32	ENST00000392657	0.07792	0.07792	T	T
ARHGEF1	ENST00000594417	0.01598	0.01598	T	T
ARHGEF10	ENST00000349830	0.003318	0.003318	T	T
ARHGEF3	ENST00000497267	0.01543	0.01543	T	T
ARHGEF3	ENST00000497267	0.01672	0.01672	F	T
ARHGEF3	ENST00000497267	0.05003	0.05003	F	T
ARL4C	ENST00000339728	0.2349	0.2349	T	T
ARPIN	ENST00000460685	0.004159	0.004159	T	T
ASAP3	ENST00000495646	0.01517	0.01517	T	T
ASB1	ENST00000409297	0.03232	0.03232	T	T
ASCC2	ENST00000542393	0.03832	0.03832	T	T
ASH1L	ENST00000368346	0.07523	0.07523	T	T
ASPG	ENST00000546892	0.04514	0.04514	T	T
ATP2A1	ENST00000564112	0.007832	0.007832	T	T
AUTS2	ENST00000644939	0.126	0.126	T	T
AVP	ENST00000380293	0.03348	0.03348	T	T
B3GALT2	ENST00000367434	0.1545	0.1545	T	T
B3GAT1	ENST00000524765	0.002806	0.002806	T	T
B3GNT2	ENST00000405767	0.149	0.149	T	T
BAG4	ENST00000287322	0.02051	0.02051	T	T
BAIAP2L1	ENST00000005260	0.06785	0.06785	T	T
BAMBI	ENST00000375533	0.06866	0.06866	T	T
BAMBI	ENST00000375533	0.4667	0.4667	F	T
BBC3	ENST00000439096	0.006024	0.006024	T	T
BBS9	ENST00000442858	0.04645	0.04645	T	T
BCAR1	ENST00000393422	0.01794	0.01794	T	T
BCKDHB	ENST00000320393	0.3823	0.3823	T	T
