Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.02298	0.02298	T	T
ABCA13	ENST00000435451	0.3028	0.3028	T	T
ABCA9	ENST00000495634	0.06369	0.06369	T	T
ABCD3	ENST00000370214	0.1459	0.1459	T	T
ABCF1	ENST00000326195	0.02289	0.02289	T	T
ABCF1	ENST00000468958	0.02289	0.02289	T	T
ABCG2	ENST00000503830	0.05725	0.05725	T	T
ABHD15	ENST00000307201	0.009392	0.009392	T	T
ABLIM1	ENST00000651023	0.01808	0.01808	T	T
ACACB	ENST00000544726	0.08316	0.08316	T	T
ACADL	ENST00000233710	0.01472	0.01472	T	T
ACO2	ENST00000396512	0.03712	0.03712	T	T
ACOXL	ENST00000433706	0.01707	0.01707	T	T
ACTR10	ENST00000254286	0.03733	0.03733	T	T
ACTR3B	ENST00000397282	0.2534	0.2534	T	T
ACTR8	ENST00000486794	0.000249	0.000249	T	T
ADAM19	ENST00000517905	0.0257	0.0257	T	T
ADAM2	ENST00000347580	0.03352	0.03352	T	T
ADAM28	ENST00000265769	0.2851	0.2851	T	T
ADAM28	ENST00000265769	0.3104	0.3104	F	T
ADAMTS10	ENST00000597188	0.01421	0.01421	T	T
ADAMTS17	ENST00000568565	0.006148	0.006148	T	T
ADAMTS20	ENST00000549670	0.211	0.211	T	T
ADAMTS4	ENST00000367995	0.006443	0.006443	T	T
ADAMTS5	ENST00000284987	0.02551	0.02551	T	T
ADAMTS5	ENST00000284987	0.2806	0.2806	F	T
ADAMTS5	ENST00000284987	0.281	0.281	F	T
ADAMTS6	ENST00000381055	0.08259	0.08259	T	T
ADAMTS6	ENST00000381055	0.08304	0.08304	F	T
ADAMTS8	ENST00000257359	0.003179	0.003179	T	T
ADAMTS9	ENST00000481060	0.04138	0.04138	T	T
ADAMTS9	ENST00000498707	0.2322	0.2322	F	T
ADCY10	ENST00000476818	0.01682	0.01682	T	T
ADCY10	ENST00000476818	0.01709	0.01709	F	T
ADCY2	ENST00000338316	0.1864	0.1864	T	T
ADGRE5	ENST00000358600	0.043	0.043	T	T
ADGRL2	ENST00000359929	0.1457	0.1457	T	T
ADGRL2	ENST00000370721	0.5482	0.5482	T	T
ADGRL2	ENST00000370723	0.5482	0.5482	T	T
ADGRL2	ENST00000370725	0.5482	0.5482	T	T
ADGRL2	ENST00000370727	0.5482	0.5482	T	T
ADGRL2	ENST00000370728	0.5482	0.5482	T	T
ADGRL2	ENST00000370730	0.5482	0.5482	T	T
ADGRL4	ENST00000661030	0.02645	0.02645	T	T
ADGRL4	ENST00000661030	0.6984	0.6984	F	T
ADH4	ENST00000265512	0.04128	0.04128	T	T
ADH4	ENST00000508393	0.04128	0.04128	T	T
ADRA1B	ENST00000641205	0.4013	0.4013	T	T
ADRA2C	ENST00000330055	0.3232	0.3232	T	T
ADRB2	ENST00000305988	0.0748	0.0748	T	T
ADRM1	ENST00000491935	0.02492	0.02492	T	T
ADTRP	ENST00000503285	0.1698	0.1698	T	T
AGAP1	ENST00000304032	0.2721	0.2721	T	T
AGBL4	ENST00000416121	0.1013	0.1013	T	T
AGBL4	ENST00000371836	0.5627	0.5627	T	T
AICDA	ENST00000537228	0.003601	0.003601	T	T
AIFM2	ENST00000373248	0.06369	0.06369	T	T
AIFM2	ENST00000373248	0.06411	0.06411	F	T
ALCAM	ENST00000306107	0.5599	0.5599	T	T
ALDH1A2	ENST00000559517	0.03035	0.03035	T	T
ALDH6A1	ENST00000350259	0.004597	0.004597	T	T
ALG1	ENST00000544428	0.02334	0.02334	T	T
ALG10	ENST00000266483	0.3057	0.3057	T	T
ALG10B	ENST00000308742	0.002275	0.002275	T	T
ALKBH3	ENST00000532129	0.02512	0.02512	T	T
ALMS1	ENST00000614410	0.1111	0.1111	T	T
ALS2	ENST00000409632	0.0539	0.0539	T	T
AMPD3	ENST00000532250	0.1125	0.1125	T	T
ANK2	ENST00000634436	0.113	0.113	T	T
ANK3	ENST00000373827	0.01661	0.01661	T	T
ANKFY1	ENST00000341657	0.01229	0.01229	T	T
ANKH	ENST00000646501	0.08099	0.08099	T	T
ANKRD13C	ENST00000370944	0.08537	0.08537	T	T
ANKRD31	ENST00000274361	0.05449	0.05449	T	T
ANKRD31	ENST00000506364	0.05449	0.05449	T	T
ANKRD45	ENST00000333279	0.02835	0.02835	T	T
ANKRD50	ENST00000504087	0.8839	0.8839	T	T
ANKRD50	ENST00000515641	0.8839	0.8839	T	T
ANKS1B	ENST00000552748	0.004723	0.004723	T	T
ANO2	ENST00000612575	0.04974	0.04974	T	T
ANO3	ENST00000531568	0.06351	0.06351	T	T
ANO8	ENST00000630631	0.01734	0.01734	T	T
ANP32E	ENST00000534437	0.0366	0.0366	T	T
ANXA2R	ENST00000616064	0.03999	0.03999	T	T
AOPEP	ENST00000445181	0.1654	0.1654	T	T
AP3B1	ENST00000519295	0.1421	0.1421	T	T
AP3D1	ENST00000345016	0.000135	0.000135	T	T
AP3S2	ENST00000560940	0.03136	0.03136	T	T
AP4S1	ENST00000556480	0.05039	0.05039	T	T
AP5B1	ENST00000532090	0.02221	0.02221	T	T
AP5M1	ENST00000431972	0.007259	0.007259	T	T
API5	ENST00000534695	0.9661	0.9661	F	T
AQP10	ENST00000324978	0.04648	0.04648	T	T
ARHGAP26	ENST00000642734	0.02796	0.02796	T	T
ARHGAP32	ENST00000310343	0.02436	0.02436	T	T
ARHGAP42	ENST00000531183	0.1281	0.1281	T	T
ARHGAP42	ENST00000298815	0.2573	0.2573	T	T
ARHGEF28	ENST00000512883	0.3542	0.3542	T	T
ARHGEF33	ENST00000411874	0.001968	0.001968	T	T
ARHGEF33	ENST00000433605	0.0358	0.0358	F	T
ARIH1	ENST00000562891	0.09085	0.09085	T	T
ARL15	ENST00000504924	0.01069	0.01069	T	T
ARL15	ENST00000620747	0.01069	0.01069	T	T
ARL4C	ENST00000390645	0.0433	0.0433	T	T
ARL4C	ENST00000339728	0.2502	0.2502	F	T
ARL5A	ENST00000428992	0.006481	0.006481	T	T
ARMC1	ENST00000518908	0.7041	0.7041	T	T
ARMH1	ENST00000453711	0.008652	0.008652	T	T
ARRDC2	ENST00000222250	0.0709	0.0709	T	T
ARSJ	ENST00000315366	0.01177	0.01177	T	T
ARSJ	ENST00000315366	0.0121	0.0121	F	T
ASAP1	ENST00000521426	0.1116	0.1116	T	T
ASB1	ENST00000409297	0.1532	0.1532	T	T
ASB3	ENST00000406053	0.9352	0.9352	T	T
ASIC2	ENST00000359872	0.486	0.486	T	T
ASIC2	ENST00000225823	0.8357	0.8357	T	T
ASIP	ENST00000374954	0.01498	0.01498	T	T
ASPM	ENST00000294732	0.04797	0.04797	T	T
ASRGL1	ENST00000528206	0.004071	0.004071	T	T
ASS1	ENST00000443588	0.05164	0.05164	T	T
ASTN1	ENST00000424564	0.2597	0.2597	T	T
ASTN1	ENST00000424564	0.26	0.26	F	T
ASXL3	ENST00000269197	0.05126	0.05126	T	T
ATF7IP	ENST00000542508	0.002584	0.002584	T	T
ATP2B1	ENST00000551310	0.785	0.785	T	T
ATP5IF1	ENST00000465645	0.01013	0.01013	T	T
ATP5MC3	ENST00000284727	0.03525	0.03525	T	T
ATP5MC3	ENST00000284727	0.2782	0.2782	F	T
ATP6V0A4	ENST00000310018	0.04048	0.04048	T	T
ATP8B1	ENST00000585322	0.01748	0.01748	T	T
ATPSCKMT	ENST00000511437	0.1846	0.1846	T	T
ATRNL1	ENST00000526373	0.7556	0.7556	T	T
AUTS2	ENST00000664521	0.3957	0.3957	T	T
AUTS2	ENST00000644939	0.4628	0.4628	T	T
B2M	ENST00000648006	0.0174	0.0174	T	T
B3GALNT2	ENST00000313984	0.1073	0.1073	T	T
B3GALT2	ENST00000367434	0.9341	0.9341	T	T
B3GAT1	ENST00000524765	0.04957	0.04957	T	T
B3GLCT	ENST00000343307	0.01602	0.01602	T	T
BABAM2	ENST00000436924	0.006556	0.006556	T	T
BANK1	ENST00000444316	0.445	0.445	T	T
BANP	ENST00000393207	0.02901	0.02901	T	T
BCL2L2	ENST00000553824	0.0004819	0.0004819	T	T
BCL7C	ENST00000572628	0.0821	0.0821	F	T
BICC1	ENST00000263103	0.2192	0.2192	T	T
BICRA	ENST00000594866	0.013	0.013	T	T
BICRA	ENST00000594866	0.01327	0.01327	F	T
BLCAP	ENST00000414542	0.05361	0.05361	T	T
BLOC1S5	ENST00000397457	0.0007749	0.0007749	T	T
BMP2	ENST00000378827	0.7304	0.7304	T	T
BMP2K	ENST00000335016	0.01518	0.01518	T	T
BMP2K	ENST00000502871	0.01518	0.01518	T	T
BMP2K	ENST00000628286	0.01518	0.01518	T	T
BMP2K	ENST00000335016	0.01553	0.01553	F	T
BMP2K	ENST00000502871	0.01553	0.01553	F	T
BMP2K	ENST00000628286	0.01553	0.01553	F	T
BMP6	ENST00000283147	0.08161	0.08161	T	T
BMS1	ENST00000374518	0.2694	0.2694	T	T
BOD1	ENST00000462674	0.2261	0.2261	T	T
BPNT2	ENST00000517461	0.0124	0.0124	T	T
BRCA1	ENST00000357654	0.02636	0.02636	T	T
BRCA1	ENST00000471181	0.02636	0.02636	T	T
BRCA1	ENST00000652672	0.02636	0.02636	T	T
BRINP1	ENST00000373964	0.9034	0.9034	T	T
BSPH1	ENST00000344839	0.009204	0.009204	T	T
BTBD17	ENST00000375366	0.02345	0.02345	T	T
BTG1	ENST00000552315	0.6313	0.6313	T	T
BTG3	ENST00000348354	0.00241	0.00241	T	T
BUD13	ENST00000260210	0.1286	0.1286	T	T
BUD13	ENST00000375445	0.1286	0.1286	T	T
BUD13	ENST00000260210	0.9126	0.9126	F	T
BUD13	ENST00000375445	0.9126	0.9126	F	T
BZW2	ENST00000407633	0.02003	0.02003	T	T
C1QTNF4	ENST00000302514	0.01231	0.01231	T	T
C1R	ENST00000649804	0.01794	0.01794	T	T
C8A	ENST00000361249	0.09596	0.09596	T	T
CA10	ENST00000451037	0.2023	0.2023	T	T
CA5A	ENST00000649794	0.06453	0.06453	T	T
CA8	ENST00000317995	0.008729	0.008729	T	T
CABIN1	ENST00000398319	0.09631	0.09631	T	T
CACNA1A	ENST00000637297	0.003182	0.003182	T	T
CACNA1A	ENST00000637297	0.0317	0.0317	F	T
CACNA1A	ENST00000585802	0.0509	0.0509	F	T
CACNA1A	ENST00000636473	0.0509	0.0509	F	T
CACNA2D1	ENST00000443883	0.1369	0.1369	T	T
CALHM6	ENST00000368604	0.009985	0.009985	T	T
CALN1	ENST00000329008	0.07424	0.07424	T	T
CALU	ENST00000493278	0.01648	0.01648	T	T
CAMK2A	ENST00000398376	0.01026	0.01026	T	T
CAMK2D	ENST00000509594	0.102	0.102	T	T
CAMK2D	ENST00000509594	0.1028	0.1028	F	T
CAMK2D	ENST00000509594	0.1051	0.1051	F	T
CAMK2D	ENST00000509594	0.112	0.112	F	T
CAMK2D	ENST00000509594	0.2194	0.2194	F	T
CAMK2D	ENST00000509594	0.2197	0.2197	F	T
CAMKMT	ENST00000613618	0.1124	0.1124	T	T
CAMKMT	ENST00000613618	0.2309	0.2309	F	T
CAMLG	ENST00000297156	0.008843	0.008843	T	T
CAMSAP1	ENST00000409386	0.001694	0.001694	T	T
CAMSAP3	ENST00000160298	0.006204	0.006204	T	T
CAMSAP3	ENST00000446248	0.006204	0.006204	T	T
CAPRIN1	ENST00000529307	0.03998	0.03998	T	T
CAPSL	ENST00000651391	0.05899	0.05899	T	T
CAPZA2	ENST00000490693	0.006299	0.006299	T	T
CARD8	ENST00000522431	0.002159	0.002159	T	T
CARTPT	ENST00000296777	0.2667	0.2667	F	T
CAST	ENST00000510500	0.009729	0.009729	T	T
CBX6	ENST00000407418	0.06105	0.06105	T	T
CC2D2B	ENST00000602648	0.08473	0.08473	T	T
CCDC107	ENST00000378409	0.0008559	0.0008559	T	T
CCDC179	ENST00000532798	0.1682	0.1682	T	T
CCDC187	ENST00000624277	0.04188	0.04188	T	T
CCDC187	ENST00000638797	0.04188	0.04188	T	T
CCDC196	ENST00000636229	0.456	0.456	T	T
CCDC196	ENST00000636229	0.6105	0.6105	F	T
CCDC7	ENST00000375028	0.1008	0.1008	T	T
CCDC7	ENST00000375028	0.1011	0.1011	F	T
CCDC9	ENST00000643617	0.01419	0.01419	T	T
CCDC92	ENST00000545135	0.007834	0.007834	T	T
CCL22	ENST00000219235	0.04968	0.04968	T	T
CCM2L	ENST00000262659	0.04212	0.04212	T	T
CCM2L	ENST00000452892	0.04212	0.04212	T	T
CCN2	ENST00000367976	0.003882	0.003882	T	T
CCND2	ENST00000261254	0.1786	0.1786	T	T
CCNI	ENST00000505609	0.01066	0.01066	T	T
CCR4	ENST00000330953	0.02224	0.02224	T	T
CD36	ENST00000435819	0.04926	0.04926	T	T
CD55	ENST00000367064	0.1941	0.1941	T	T
CD55	ENST00000367064	0.1945	0.1945	F	T
CD79A	ENST00000221972	0.0138	0.0138	T	T
CDAN1	ENST00000356231	0.002771	0.002771	T	T
CDC27	ENST00000571643	0.07453	0.07453	T	T
CDCA7L	ENST00000457951	0.03504	0.03504	T	T
CDH12	ENST00000522262	0.8283	0.8283	T	T
CDH13	ENST00000268613	0.3055	0.3055	T	T
CDH18	ENST00000507958	0.8528	0.8528	T	T
CDH19	ENST00000262150	0.0144	0.0144	T	T
CDH4	ENST00000614565	0.6169	0.6169	T	T
CDH6	ENST00000265071	0.3767	0.3767	T	T
CDH9	ENST00000513289	0.4323	0.4323	T	T
CDIN1	ENST00000566621	0.002908	0.002908	T	T
CDIN1	ENST00000562489	0.3395	0.3395	F	T
CDK19	ENST00000323817	0.03433	0.03433	T	T
CDK5R1	ENST00000313401	0.03021	0.03021	T	T
CDK5RAP1	ENST00000427097	0.06543	0.06543	T	T
CDKAL1	ENST00000378610	0.1293	0.1293	T	T
CDON	ENST00000534818	0.03635	0.03635	T	T
CEACAM3	ENST00000596544	0.03837	0.03837	T	T
CEACAM6	ENST00000199764	0.0295	0.0295	T	T
CELF1	ENST00000358597	0.01545	0.01545	T	T
CELF4	ENST00000603232	0.4242	0.4242	T	T
CENPL	ENST00000345664	0.06081	0.06081	T	T
CEP104	ENST00000438539	0.02412	0.02412	T	T
CEP162	ENST00000257766	0.05995	0.05995	T	T
CEP295	ENST00000325212	0.05631	0.05631	T	T
CEP350	ENST00000357434	0.04598	0.04598	T	T
CES5A	ENST00000521992	0.1263	0.1263	T	T
CETN3	ENST00000522864	0.7252	0.7252	T	T
CFAP20DC	ENST00000295966	0.05875	0.05875	T	T
CFAP36	ENST00000339012	0.04639	0.04639	T	T
CFAP418	ENST00000286688	0.7682	0.7682	T	T
CFAP43	ENST00000434629	0.0103	0.0103	T	T
CFAP43	ENST00000434629	0.01269	0.01269	F	T
CFAP43	ENST00000369720	0.02257	0.02257	T	T
CFAP58	ENST00000369703	0.2531	0.2531	T	T
CHAMP1	ENST00000643483	0.9815	0.9815	F	T
CHERP	ENST00000198939	0.01986	0.01986	T	T
CHGA	ENST00000334654	0.0421	0.0421	T	T
CHN2	ENST00000446446	0.1448	0.1448	T	T
CHORDC1	ENST00000529726	0.0414	0.0414	T	T
CHPT1	ENST00000229266	0.0471	0.0471	T	T
CHPT1	ENST00000229266	0.04744	0.04744	F	T
CHRNB3	ENST00000289957	0.002086	0.002086	T	T
CHST11	ENST00000546689	0.002613	0.002613	T	T
CIAO3	ENST00000540986	0.0009809	0.0009809	T	T
CKAP5	ENST00000526876	0.0143	0.0143	T	T
CLIC4	ENST00000374379	0.008474	0.008474	T	T
CLTA	ENST00000433436	0.004979	0.004979	T	T
CLTA	ENST00000538225	0.004979	0.004979	T	T
CLTA	ENST00000540080	0.004979	0.004979	T	T
CLYBL	ENST00000376355	0.08725	0.08725	T	T
CMTM6	ENST00000205636	0.003049	0.003049	T	T
CMTR1	ENST00000457419	0.01508	0.01508	T	T
CNBD1	ENST00000620844	0.1805	0.1805	T	T
CNGA4	ENST00000379936	0.01511	0.01511	T	T
CNIH4	ENST00000366856	0.04608	0.04608	T	T
CNN1	ENST00000592338	0.0006708	0.0006708	T	T
CNTNAP3	ENST00000377656	0.06547	0.06547	T	T
CNTNAP3	ENST00000377659	0.06547	0.06547	T	T
COA6	ENST00000366612	0.05808	0.05808	T	T
COG6	ENST00000630730	0.8174	0.8174	T	T
COL11A2	ENST00000395194	0.04765	0.04765	T	T
COL11A2	ENST00000395194	0.04799	0.04799	F	T
COL1A2	ENST00000297268	0.1786	0.1786	T	T
COL1A2	ENST00000297268	0.3377	0.3377	F	T
COL5A1	ENST00000371820	0.07442	0.07442	T	T
COL5A2	ENST00000649966	0.007242	0.007242	T	T
COL5A2	ENST00000374866	0.02196	0.02196	T	T
COL6A3	ENST00000491233	0.1115	0.1115	T	T
COL9A2	ENST00000642679	0.005921	0.005921	T	T
COLEC11	ENST00000402794	0.03336	0.03336	T	T
COLEC11	ENST00000402922	0.03336	0.03336	T	T
COLEC11	ENST00000404205	0.03336	0.03336	T	T
COLEC12	ENST00000400256	0.029	0.029	T	T
COMMD1	ENST00000427417	0.08785	0.08785	T	T
COMMD1	ENST00000458337	0.08785	0.08785	T	T
COMMD2	ENST00000473414	0.006419	0.006419	T	T
COPB1	ENST00000534771	0.01515	0.01515	T	T
CORO2B	ENST00000261861	0.01792	0.01792	T	T
CORO2B	ENST00000566799	0.01792	0.01792	T	T
COX20	ENST00000366528	0.03877	0.03877	T	T
COX6C	ENST00000524245	0.2218	0.2218	T	T
CP	ENST00000479771	0.01599	0.01599	T	T
CPD	ENST00000584221	0.06289	0.06289	T	T
CPHXL	ENST00000640559	0.215	0.215	T	T
CPLX2	ENST00000515502	0.03853	0.03853	T	T
CPM	ENST00000546373	0.2348	0.2348	T	T
CPNE5	ENST00000244751	0.006308	0.006308	T	T
CPNE5	ENST00000633280	0.006308	0.006308	T	T
CPNE7	ENST00000319518	0.001807	0.001807	T	T
CPNE8	ENST00000538596	0.02148	0.02148	T	T
CPQ	ENST00000521142	0.08123	0.08123	T	T
CRABP2	ENST00000368220	0.01026	0.01026	T	T
CRABP2	ENST00000621784	0.01026	0.01026	T	T
CRADD	ENST00000542893	0.03674	0.03674	T	T
CRB2	ENST00000359999	0.02731	0.02731	T	T
