Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1BG	ENST00000600966	0.02295	0.02295	T	T
A1CF	ENST00000282641	0.003951	0.003951	T	T
A1CF	ENST00000373995	0.003951	0.003951	T	T
A1CF	ENST00000374001	0.003951	0.003951	T	T
A1CF	ENST00000395489	0.003951	0.003951	T	T
A1CF	ENST00000395495	0.003951	0.003951	T	T
A1CF	ENST00000414883	0.003951	0.003951	T	T
A1CF	ENST00000282641	0.04699	0.04699	F	T
A1CF	ENST00000373995	0.04699	0.04699	F	T
A1CF	ENST00000374001	0.04699	0.04699	F	T
A1CF	ENST00000395489	0.04699	0.04699	F	T
A1CF	ENST00000395495	0.04699	0.04699	F	T
A1CF	ENST00000414883	0.04699	0.04699	F	T
A1CF	ENST00000373993	0.06414	0.06414	F	T
A1CF	ENST00000373993	0.07486	0.07486	F	T
A1CF	ENST00000373993	0.07791	0.07791	F	T
A1CF	ENST00000373993	0.08262	0.08262	F	T
A1CF	ENST00000373993	0.1144	0.1144	F	T
A1CF	ENST00000373993	0.1174	0.1174	F	T
A2M	ENST00000318602	0.02688	0.02688	T	T
A2M	ENST00000318602	0.09806	0.09806	F	T
A2ML1	ENST00000545692	0.01013	0.01013	T	T
A2ML1	ENST00000545692	0.01097	0.01097	F	T
A2ML1	ENST00000545692	0.01141	0.01141	F	T
A2ML1	ENST00000541459	0.01589	0.01589	F	T
A2ML1	ENST00000541459	0.01671	0.01671	F	T
A2ML1	ENST00000541459	0.01719	0.01719	F	T
A2ML1	ENST00000299698	0.02497	0.02497	F	T
A4GALT	ENST00000401850	0.004756	0.004756	T	T
A4GALT	ENST00000249005	0.01923	0.01923	F	T
A4GALT	ENST00000381278	0.02146	0.02146	T	T
A4GALT	ENST00000381278	0.02274	0.02274	F	T
A4GALT	ENST00000401850	0.03051	0.03051	F	T
A4GALT	ENST00000642412	0.03748	0.03748	F	T
A4GALT	ENST00000401850	0.04097	0.04097	F	T
A4GALT	ENST00000642412	0.0586	0.0586	F	T
A4GALT	ENST00000642412	0.06641	0.06641	F	T
A4GALT	ENST00000642412	0.08782	0.08782	F	T
A4GALT	ENST00000642412	0.08883	0.08883	F	T
A4GALT	ENST00000642412	0.1001	0.1001	F	T
A4GNT	ENST00000236709	0.008299	0.008299	T	T
A4GNT	ENST00000236709	0.02582	0.02582	F	T
A4GNT	ENST00000236709	0.04247	0.04247	F	T
AAAS	ENST00000394384	0.0003129	0.0003129	T	T
AAAS	ENST00000547757	0.0003129	0.0003129	T	T
AACS	ENST00000316519	0.004531	0.004531	T	T
AACS	ENST00000316519	0.02439	0.02439	F	T
AACS	ENST00000316519	0.02556	0.02556	F	T
AACS	ENST00000316519	0.02694	0.02694	F	T
AACS	ENST00000316519	0.02782	0.02782	F	T
AACS	ENST00000316519	0.0284	0.0284	F	T
AACS	ENST00000316519	0.1508	0.1508	F	T
AACS	ENST00000316519	0.2012	0.2012	F	T
AADAC	ENST00000488869	0.0483	0.0483	T	T
AADACL2	ENST00000356517	0.1954	0.1954	F	T
AADACL3	ENST00000359318	0.0062	0.0062	T	T
AADACL4	ENST00000376221	0.02316	0.02316	T	T
AADACL4	ENST00000376221	0.03387	0.03387	F	T
AADACL4	ENST00000376221	0.065	0.065	F	T
AADACL4	ENST00000376221	0.06789	0.06789	F	T
AADACL4	ENST00000376221	0.07093	0.07093	F	T
AADAT	ENST00000510340	0.03026	0.03026	T	T
AADAT	ENST00000502392	0.2004	0.2004	F	T
AADAT	ENST00000502392	0.2826	0.2826	F	T
AADAT	ENST00000502392	0.6314	0.6314	F	T
AADAT	ENST00000502392	0.6449	0.6449	F	T
AADAT	ENST00000502392	0.7918	0.7918	F	T
AADAT	ENST00000502392	0.7986	0.7986	F	T
