Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
A1CF	ENST00000282641	0.02555	0.02555	T	T
A1CF	ENST00000373995	0.02555	0.02555	T	T
A1CF	ENST00000374001	0.02555	0.02555	T	T
A1CF	ENST00000395489	0.02555	0.02555	T	T
A1CF	ENST00000395495	0.02555	0.02555	T	T
A1CF	ENST00000414883	0.02555	0.02555	T	T
A2M	ENST00000318602	0.1031	0.1031	T	T
A2ML1	ENST00000299698	0.05973	0.05973	T	T
A4GALT	ENST00000642412	0.0886	0.0886	T	T
A4GALT	ENST00000642412	0.1089	0.1089	F	T
AACS	ENST00000316519	0.1743	0.1743	T	T
AADAC	ENST00000488869	0.07087	0.07087	T	T
AADACL2	ENST00000356517	0.2409	0.2409	F	T
AADACL3	ENST00000359318	0.05248	0.05248	F	T
AAK1	ENST00000409085	0.0651	0.0651	T	T
AARS1	ENST00000261772	0.007287	0.007287	T	T
AASDHPPT	ENST00000278618	0.5269	0.5269	T	T
AASDHPPT	ENST00000278618	0.7757	0.7757	F	T
AASS	ENST00000417368	0.124	0.124	T	T
AATF	ENST00000610798	0.01403	0.01403	T	T
ABCA12	ENST00000389661	0.05241	0.05241	T	T
ABCA12	ENST00000272895	0.09676	0.09676	T	T
ABCA13	ENST00000435803	0.003083	0.003083	T	T
ABCA13	ENST00000435803	0.02748	0.02748	F	T
ABCA13	ENST00000435803	0.02944	0.02944	F	T
ABCA13	ENST00000411975	0.1091	0.1091	T	T
ABCA5	ENST00000592568	0.002611	0.002611	T	T
ABCA9	ENST00000495634	0.06239	0.06239	T	T
ABCA9	ENST00000495634	0.06369	0.06369	F	T
ABCB10	ENST00000344517	0.009195	0.009195	T	T
ABCB11	ENST00000649448	0.01536	0.01536	T	T
ABCB5	ENST00000404938	0.04836	0.04836	T	T
ABCB5	ENST00000258738	0.08649	0.08649	T	T
ABCB5	ENST00000258738	0.09215	0.09215	F	T
ABCB9	ENST00000542678	0.007726	0.007726	T	T
ABCC1	ENST00000399408	0.02211	0.02211	T	T
ABCC12	ENST00000311303	0.4108	0.4108	T	T
ABCC8	ENST00000644649	0.007631	0.007631	T	T
ABCD2	ENST00000308666	0.1279	0.1279	T	T
ABCD3	ENST00000370214	0.0327	0.0327	T	T
ABHD2	ENST00000352732	0.001384	0.001384	T	T
ABHD2	ENST00000352732	0.004616	0.004616	F	T
ABHD2	ENST00000352732	0.005935	0.005935	F	T
ABHD2	ENST00000569411	0.01179	0.01179	F	T
ABHD2	ENST00000352732	0.03384	0.03384	F	T
ABHD2	ENST00000569411	0.1188	0.1188	F	T
ABHD3	ENST00000580477	0.01131	0.01131	T	T
ABHD5	ENST00000463153	0.52	0.52	F	T
ABI1	ENST00000376140	0.11	0.11	T	T
ABI3BP	ENST00000527258	0.00979	0.00979	T	T
ABI3BP	ENST00000284322	0.05136	0.05136	T	T
ABI3BP	ENST00000471714	0.05136	0.05136	T	T
ABI3BP	ENST00000284322	0.09008	0.09008	F	T
ABI3BP	ENST00000471714	0.09008	0.09008	F	T
ABL1	ENST00000318560	0.05178	0.05178	T	T
ABL2	ENST00000344730	0.04935	0.04935	T	T
ABLIM1	ENST00000277895	0.0009426	0.0009426	T	T
ABLIM1	ENST00000369256	0.01071	0.01071	T	T
ABLIM1	ENST00000369256	0.05386	0.05386	F	T
ABLIM1	ENST00000369256	0.05974	0.05974	F	T
ABLIM1	ENST00000369256	0.06577	0.06577	F	T
ABLIM2	ENST00000510277	0.0407	0.0407	T	T
ABLIM2	ENST00000510277	0.05052	0.05052	F	T
ABT1	ENST00000274849	0.0003089	0.0003089	T	T
ABTB2	ENST00000435224	0.1992	0.1992	T	T
ACAA1	ENST00000452171	0.0139	0.0139	T	T
ACAA1	ENST00000452171	0.02039	0.02039	F	T
ACAA1	ENST00000452171	0.0278	0.0278	F	T
ACAA1	ENST00000452171	0.03922	0.03922	F	T
ACACA	ENST00000619546	0.07472	0.07472	T	T
ACAD10	ENST00000507683	0.03948	0.03948	T	T
ACAN	ENST00000560601	0.1072	0.1072	T	T
ACAT1	ENST00000265838	0.05578	0.05578	T	T
ACBD3	ENST00000366812	0.09997	0.09997	T	T
ACBD5	ENST00000375888	0.02277	0.02277	T	T
ACE	ENST00000579409	0.005806	0.005806	T	T
ACHE	ENST00000441605	0.05073	0.05073	F	T
ACKR1	ENST00000537147	0.009531	0.009531	T	T
ACKR2	ENST00000494619	0.006601	0.006601	T	T
ACKR2	ENST00000492609	0.00703	0.00703	T	T
ACO1	ENST00000541043	0.4387	0.4387	F	T
ACOT11	ENST00000343744	0.05809	0.05809	T	T
ACOT11	ENST00000371316	0.05809	0.05809	T	T
ACOT12	ENST00000513751	0.08535	0.08535	T	T
ACOX2	ENST00000474098	0.005852	0.005852	T	T
ACOX2	ENST00000459701	0.02116	0.02116	F	T
ACOX3	ENST00000503233	0.005405	0.005405	T	T
ACOXL	ENST00000433706	0.01701	0.01701	T	T
ACOXL	ENST00000389811	0.03434	0.03434	T	T
ACOXL	ENST00000439055	0.03434	0.03434	T	T
ACP3	ENST00000507647	0.02254	0.02254	T	T
ACSBG1	ENST00000560817	0.008551	0.008551	T	T
ACSL1	ENST00000515030	0.03009	0.03009	T	T
ACSL3	ENST00000540115	0.03778	0.03778	T	T
ACSL3	ENST00000540115	0.03934	0.03934	F	T
ACSL3	ENST00000540115	0.05981	0.05981	F	T
ACSL3	ENST00000392066	0.1296	0.1296	F	T
ACSL5	ENST00000354655	0.007328	0.007328	T	T
ACSL5	ENST00000354273	0.04995	0.04995	F	T
ACSM1	ENST00000307493	0.008	0.008	T	T
ACSM6	ENST00000341686	0.07235	0.07235	T	T
ACSS3	ENST00000548058	0.1981	0.1981	T	T
ACSS3	ENST00000548058	0.2053	0.2053	F	T
