Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
AADACL2	ENST00000356517	0.03402	0.03402	T	T
AAGAB	ENST00000560362	0.0447	0.0447	T	T
AASDHPPT	ENST00000278618	0.7772	0.7772	T	T
AASS	ENST00000417368	0.1242	0.1242	T	T
ABCA4	ENST00000370225	0.0316	0.0316	T	T
ABCA4	ENST00000370225	0.04807	0.04807	F	T
ABCA5	ENST00000592568	0.002599	0.002599	T	T
ABCA5	ENST00000588665	0.03265	0.03265	F	T
ABCA9	ENST00000495634	0.06374	0.06374	T	T
ABCB5	ENST00000258738	0.1181	0.1181	T	T
ABCC12	ENST00000311303	0.1198	0.1198	T	T
ABCC12	ENST00000311303	0.1233	0.1233	F	T
ABCC2	ENST00000647814	0.03306	0.03306	T	T
ABCC2	ENST00000648689	0.03306	0.03306	T	T
ABCC4	ENST00000646439	0.2858	0.2858	T	T
ABCG1	ENST00000398437	0.03809	0.03809	T	T
ABI1	ENST00000376140	0.1097	0.1097	T	T
ABL2	ENST00000392043	0.06242	0.06242	T	T
ABR	ENST00000570441	0.003073	0.003073	T	T
ABRAXAS1	ENST00000505489	0.02824	0.02824	T	T
ABT1	ENST00000274849	0.04005	0.04005	T	T
ACAT1	ENST00000265838	0.0542	0.0542	T	T
ACBD5	ENST00000375888	0.05553	0.05553	T	T
ACO1	ENST00000309951	0.02347	0.02347	T	T
ACO1	ENST00000541043	0.2388	0.2388	F	T
ACOT11	ENST00000343744	0.01675	0.01675	T	T
ACOT11	ENST00000371316	0.01675	0.01675	T	T
ACP3	ENST00000507647	0.02249	0.02249	T	T
ACSL3	ENST00000413316	0.03258	0.03258	T	T
ACSL3	ENST00000392066	0.1519	0.1519	F	T
ACTBL2	ENST00000423391	0.01778	0.01778	T	T
ACTL7B	ENST00000374667	0.8359	0.8359	T	T
ACTR10	ENST00000254286	0.03726	0.03726	T	T
ACTR3	ENST00000263238	0.04779	0.04779	T	T
ACVR2A	ENST00000535787	0.2882	0.2882	T	T
ACVR2B	ENST00000352511	0.0293	0.0293	T	T
ADAM18	ENST00000265707	0.09145	0.09145	T	T
ADAM19	ENST00000257527	0.0353	0.0353	T	T
ADAM2	ENST00000347580	0.1105	0.1105	T	T
ADAM23	ENST00000444281	0.113	0.113	T	T
ADAM29	ENST00000514159	0.6469	0.6469	F	T
ADAMTS12	ENST00000352040	0.2456	0.2456	F	T
ADAMTS18	ENST00000562332	0.0322	0.0322	T	T
ADAMTS18	ENST00000562345	0.0497	0.0497	T	T
ADAMTS20	ENST00000389420	0.07406	0.07406	T	T
ADAMTS20	ENST00000395541	0.07406	0.07406	T	T
ADAMTS20	ENST00000553158	0.07406	0.07406	T	T
ADAMTS20	ENST00000549670	0.2111	0.2111	F	T
ADAMTS20	ENST00000549670	0.247	0.247	F	T
ADAMTS3	ENST00000622135	0.1939	0.1939	T	T
ADAMTS3	ENST00000286657	0.3088	0.3088	F	T
ADAMTS5	ENST00000284987	0.1178	0.1178	T	T
ADAMTS9	ENST00000498707	0.3392	0.3392	T	T
ADAMTSL1	ENST00000636209	0.08678	0.08678	T	T
ADAMTSL1	ENST00000327883	0.1025	0.1025	T	T
ADAMTSL1	ENST00000636209	0.2114	0.2114	F	T
ADAMTSL1	ENST00000636209	0.2599	0.2599	F	T
ADAR	ENST00000649724	0.05681	0.05681	T	T
ADCY1	ENST00000432715	0.2113	0.2113	T	T
ADCY2	ENST00000338316	0.1863	0.1863	T	T
ADCY2	ENST00000338316	0.2927	0.2927	F	T
ADCY5	ENST00000466617	0.1693	0.1693	T	T
ADCY8	ENST00000286355	0.5188	0.5188	T	T
ADD3	ENST00000360162	0.0091	0.0091	T	T
ADD3	ENST00000277900	0.1505	0.1505	F	T
ADGB	ENST00000473647	0.05727	0.05727	T	T
ADGRA3	ENST00000334304	0.1626	0.1626	T	T
ADGRA3	ENST00000508133	0.3755	0.3755	F	T
ADGRB3	ENST00000238918	0.1527	0.1527	T	T
ADGRB3	ENST00000238918	0.5838	0.5838	F	T
ADGRG6	ENST00000230173	0.04705	0.04705	T	T
ADGRL2	ENST00000370721	0.02569	0.02569	T	T
ADGRL2	ENST00000370723	0.02569	0.02569	T	T
ADGRL2	ENST00000370725	0.02569	0.02569	T	T
ADGRL2	ENST00000370727	0.02569	0.02569	T	T
ADGRL2	ENST00000370728	0.02569	0.02569	T	T
ADGRL2	ENST00000370730	0.02569	0.02569	T	T
ADGRL2	ENST00000370721	0.5478	0.5478	F	T
ADGRL2	ENST00000370723	0.5478	0.5478	F	T
ADGRL2	ENST00000370725	0.5478	0.5478	F	T
ADGRL2	ENST00000370727	0.5478	0.5478	F	T
ADGRL2	ENST00000370728	0.5478	0.5478	F	T
ADGRL2	ENST00000370730	0.5478	0.5478	F	T
ADGRL4	ENST00000401034	0.005777	0.005777	T	T
ADIPOR2	ENST00000357103	0.01015	0.01015	T	T
ADRA1A	ENST00000380573	0.2749	0.2749	T	T
ADRA2A	ENST00000280155	0.315	0.315	T	T
ADSS2	ENST00000366535	0.08295	0.08295	T	T
AEBP2	ENST00000512223	0.04943	0.04943	T	T
AFAP1	ENST00000358461	0.02159	0.02159	T	T
AFAP1	ENST00000420658	0.02159	0.02159	T	T
AFDN	ENST00000400825	0.2813	0.2813	T	T
AGA	ENST00000264595	0.1349	0.1349	T	T
AGA	ENST00000264595	0.6088	0.6088	F	T
AGAP1	ENST00000418654	0.002186	0.002186	T	T
AGAP1	ENST00000409538	0.1343	0.1343	T	T
AGBL1	ENST00000441037	0.2112	0.2112	T	T
AGBL4	ENST00000416121	0.1982	0.1982	T	T
AGBL4	ENST00000416121	0.646	0.646	F	T
AGO1	ENST00000373206	0.02544	0.02544	T	T
AGPAT4	ENST00000366911	0.1179	0.1179	T	T
AGTR1	ENST00000474935	0.0162	0.0162	T	T
AGTR1	ENST00000475347	0.0162	0.0162	T	T
AGXT2	ENST00000510428	0.1158	0.1158	T	T
AHCYL2	ENST00000460109	0.05046	0.05046	T	T
AHI1	ENST00000457866	0.2302	0.2302	T	T
AIG1	ENST00000458219	0.2904	0.2904	T	T
AJAP1	ENST00000378191	0.1319	0.1319	T	T
AJAP1	ENST00000378191	0.417	0.417	F	T
AKIRIN2	ENST00000257787	0.09452	0.09452	F	T
AKR1E2	ENST00000533295	0.7816	0.7816	T	T
ALCAM	ENST00000486979	0.03624	0.03624	T	T
ALCAM	ENST00000472644	0.1194	0.1194	T	T
ALCAM	ENST00000306107	0.4661	0.4661	F	T
ALDH1A2	ENST00000558239	0.143	0.143	T	T
ALDH2	ENST00000261733	0.02097	0.02097	T	T
ALDH8A1	ENST00000460753	0.5367	0.5367	T	T
ALG12	ENST00000486602	0.02717	0.02717	T	T
ALG14	ENST00000370205	0.1248	0.1248	T	T
ALK	ENST00000642122	0.11	0.11	T	T
ALKAL2	ENST00000452023	0.1464	0.1464	T	T
AMPD3	ENST00000532250	0.02758	0.02758	T	T
ANAPC10	ENST00000514390	0.06462	0.06462	T	T
ANAPC10	ENST00000613466	0.06462	0.06462	T	T
ANK3	ENST00000617800	0.1129	0.1129	T	T
ANKDD1A	ENST00000319580	0.0607	0.0607	T	T
ANKEF1	ENST00000378392	0.09658	0.09658	T	T
ANKFN1	ENST00000635860	0.09521	0.09521	T	T
ANKRD1	ENST00000371697	0.007282	0.007282	T	T
