Gene_ID	TSS_ID	Distance_P_Value	CnD_P_Value	Closest_Locus	Closest_TSS
ACSM1	ENST00000307493	0.00804	0.00804	T	T
ADD3	ENST00000277900	0.1506	0.1506	T	T
ALPK2	ENST00000361673	0.2074	0.2074	T	T
ANK2	ENST00000503271	0.2109	0.2109	T	T
ANK2	ENST00000503423	0.2109	0.2109	T	T
ANK2	ENST00000506722	0.2109	0.2109	T	T
ANKRD50	ENST00000504087	0.8249	0.8249	T	T
ANKRD50	ENST00000515641	0.8249	0.8249	T	T
ANKRD50	ENST00000504087	0.9734	0.9734	F	T
ANKRD50	ENST00000515641	0.9734	0.9734	F	T
ANO1	ENST00000355303	0.03926	0.03926	T	T
ANO5	ENST00000324559	0.9329	0.9329	T	T
ARFGEF1	ENST00000520381	0.02169	0.02169	T	T
ARL4A	ENST00000404894	0.6279	0.6279	T	T
ARSB	ENST00000565165	0.2521	0.2521	T	T
ATAD2	ENST00000287394	0.09043	0.09043	T	T
ATP10A	ENST00000555756	0.06167	0.06167	T	T
ATP11B	ENST00000493826	0.7185	0.7185	T	T
ATP5MC3	ENST00000284727	0.1511	0.1511	T	T
ATP5MK	ENST00000369811	0.0113	0.0113	T	T
AUH	ENST00000303617	0.3898	0.3898	T	T
AUH	ENST00000375731	0.3898	0.3898	T	T
AUTS2	ENST00000647140	0.02248	0.02248	T	T
AVPR1B	ENST00000367126	0.0415	0.0415	T	T
BOD1L1	ENST00000040738	0.5716	0.5716	T	T
BRINP2	ENST00000361539	0.2083	0.2083	T	T
BTAF1	ENST00000544642	0.2884	0.2884	T	T
CACNG2	ENST00000300105	0.1357	0.1357	T	T
CBR1	ENST00000530908	0.008676	0.008676	T	T
CCDC190	ENST00000367911	0.007044	0.007044	T	T
CCDC200	ENST00000615433	0.06821	0.06821	T	T
CCDC59	ENST00000256151	0.2789	0.2789	T	T
CD82	ENST00000530601	0.02002	0.02002	T	T
CDH20	ENST00000262717	0.5962	0.5962	T	T
CDH8	ENST00000584506	0.1221	0.1221	T	T
CEACAM21	ENST00000632983	0.02515	0.02515	T	T
CHSY1	ENST00000254190	0.0169	0.0169	T	T
CLMN	ENST00000555336	0.04728	0.04728	T	T
CMTM6	ENST00000205636	0.002301	0.002301	T	T
CNTLN	ENST00000380641	0.105	0.105	T	T
CNTLN	ENST00000380647	0.105	0.105	T	T
CNTN5	ENST00000619298	0.7331	0.7331	T	T
COG6	ENST00000630730	0.8672	0.8672	T	T
COL8A2	ENST00000303143	0.006209	0.006209	T	T
COL8A2	ENST00000481785	0.006209	0.006209	T	T
COLEC10	ENST00000332843	0.09729	0.09729	T	T
CRYBG1	ENST00000651520	0.04241	0.04241	T	T
CYRIA	ENST00000406434	0.307	0.307	T	T
CYTH3	ENST00000396741	0.05095	0.05095	T	T
DAOA	ENST00000375936	0.4655	0.4655	T	T
DCC	ENST00000579941	0.04797	0.04797	T	T
DDR1	ENST00000502955	0.06182	0.06182	T	T
DENND2B	ENST00000527473	0.009717	0.009717	T	T
DLC1	ENST00000631382	0.2158	0.2158	T	T
DLG2	ENST00000457267	0.1806	0.1806	T	T
DNAH11	ENST00000605912	0.1522	0.1522	T	T
DOCK10	ENST00000258390	0.03878	0.03878	T	T
DOCK7	ENST00000635827	0.0392	0.0392	T	T
DPP10	ENST00000409163	0.2453	0.2453	T	T
DUSP10	ENST00000366899	0.4116	0.4116	T	T
DYRK2	ENST00000543747	0.3068	0.3068	T	T
EIF2S3B	ENST00000538173	0.02292	0.02292	T	T
ELL2	ENST00000237853	0.3631	0.3631	T	T
EMC1	ENST00000486405	0.0009661	0.0009661	T	T
ENPEP	ENST00000265162	0.01253	0.01253	T	T
ENSG00000125462	ENST00000615748	0.01446	0.01446	T	T
ENSG00000173728	ENST00000308105	0.2821	0.2821	T	T
ENSG00000173728	ENST00000366537	0.2821	0.2821	T	T
ENSG00000234511	ENST00000524171	0.04825	0.04825	T	T
ENSG00000235162	ENST00000549934	0.03276	0.03276	T	T
ENSG00000243444	ENST00000497711	0.004938	0.004938	T	T
ENSG00000258728	ENST00000556278	0.001129	0.001129	T	T
ERC1	ENST00000539802	0.01108	0.01108	T	T
ERGIC3	ENST00000451605	0.03878	0.03878	T	T
EVA1A	ENST00000410010	0.2304	0.2304	T	T
F11	ENST00000264691	0.01971	0.01971	T	T
FAH	ENST00000561421	0.07212	0.07212	T	T
FAM177B	ENST00000445590	0.1422	0.1422	T	T
FAM189A1	ENST00000261275	0.09539	0.09539	T	T
FAM53B	ENST00000392754	0.2137	0.2137	T	T
FBXL4	ENST00000229971	0.05151	0.05151	T	T
FGF14	ENST00000376131	0.1926	0.1926	T	T
FKBP5	ENST00000542713	0.02156	0.02156	T	T
FZD8	ENST00000374694	0.8353	0.8353	T	T
GALNT16	ENST00000337827	0.0006646	0.0006646	T	T
GALNT16	ENST00000448469	0.0006646	0.0006646	T	T
GALNT16	ENST00000553669	0.0006646	0.0006646	T	T
GALNT17	ENST00000333538	0.03163	0.03163	T	T
GALT	ENST00000378842	0.001129	0.001129	T	T
GALT	ENST00000450095	0.001129	0.001129	T	T
GFM1	ENST00000486715	0.04228	0.04228	T	T
GLRA1	ENST00000274576	0.166	0.166	T	T
GOT2	ENST00000434819	0.937	0.937	T	T
GPR78	ENST00000382487	0.03707	0.03707	T	T
